# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
8.900000000000063019e-07	1.926478605220736995e+00	-1.912285079317900538e-01	1.263371148794288084e-12	1.944198559315428954e+00	6.960096024017664584e-02	1.242470822661598907e-12
9.000000000000062061e-07	1.924576304341097055e+00	-2.076154916451072863e-01	1.269176264697352905e-12	1.942639905544212064e+00	7.526930926642891317e-02	1.248583831316963570e-12
9.100000000000061104e-07	1.922674960268961009e+00	-2.251330469505008480e-01	1.275033925257901540e-12	1.941084869229400045e+00	8.133394819553621535e-02	1.254761317226526123e-12
9.200000000000060147e-07	1.920774104624257017e+00	-2.437757788636746026e-01	1.280944771343292927e-12	1.939532983806421917e+00	8.780090480146318654e-02	1.261003831950381831e-12
9.300000000000059189e-07	1.918873298852119991e+00	-2.635170907768582538e-01	1.286909446736778039e-12	1.937983813012976064e+00	9.466706999337845541e-02	1.267311925767008150e-12
9.400000000000058232e-07	1.916972132232320103e+00	-2.843173714169757171e-01	1.292928598236885754e-12	1.936436948882999998e+00	1.019255452323448441e-01	1.273686147611706820e-12
9.500000000000057274e-07	1.915070220042000892e+00	-3.061233067552234233e-01	1.299002875735878596e-12	1.934892009894372933e+00	1.095645181440300375e-01	1.280127045048070573e-12
9.600000000000056317e-07	1.913167201858605004e+00	-3.288694757286270698e-01	1.305132932291751374e-12	1.933348639256734947e+00	1.175674992368014454e-01	1.286635164224135296e-12
9.700000000000055359e-07	1.911262739990940096e+00	-3.524804926907538771e-01	1.311319424191643382e-12	1.931806503327464952e+00	1.259137274180726351e-01	1.293211049821673007e-12
9.800000000000054402e-07	1.909356518027482075e+00	-3.768736329714995059e-01	1.317563011007062803e-12	1.930265290144890011e+00	1.345787252989250338e-01	1.299855244998870824e-12
9.900000000000053444e-07	1.907448239492085973e+00	-4.019618684464610348e-01	1.323864355641079217e-12	1.928724708068926041e+00	1.435349999452492364e-01	1.306568291326670170e-12
1.000000000000005249e-06	1.905537626598148959e+00	-4.276572143487001876e-01	1.330224124367644977e-12	1.927184484520169105e+00	1.527528751261964246e-01	1.313350728718937459e-12
1.010000000000005153e-06	1.903624419093167042e+00	-4.538742488981622469e-01	1.336642986863291815e-12	1.925644364809385056e+00	1.622014129611443478e-01	1.320203095356723960e-12
1.020000000000005057e-06	1.901708373186294931e+00	-4.805336983213165936e-01	1.343121616231306082e-12	1.924104111050007004e+00	1.718494137423016155e-01	1.327125927606806680e-12
1.030000000000004961e-06	1.899789260552233960e+00	-5.075658973932444251e-01	1.349660689018517529e-12	1.922563501146963949e+00	1.816664515656736811e-01	1.334119759934638107e-12
1.040000000000004866e-06	1.897866867405384017e+00	-5.349139828742703884e-01	1.356260885224891248e-12	1.921022327855774092e+00	1.916239069687795116e-01	1.341185124811812651e-12
1.050000000000004770e-06	1.895940993638721039e+00	-5.625366808686653730e-01	1.362922888305906221e-12	1.919480397906341063e+00	2.016959657812386619e-01	1.348322552618245866e-12
1.060000000000004674e-06	1.894011452022291930e+00	-5.904104928214860548e-01	1.369647385168023395e-12	1.917937531186381994e+00	2.118605359456798842e-01	1.355532571539133724e-12
1.070000000000004578e-06	1.892078067456798074e+00	-6.185311236191750606e-01	1.376435066157265297e-12	1.916393559979908012e+00	2.221000495728707447e-01	1.362815707456800562e-12
1.080000000000004483e-06	1.890140676278007081e+00	-6.469141042376314044e-01	1.383286625040982524e-12	1.914848328256522958e+00	2.324021075066417807e-01	1.370172483837356762e-12
1.090000000000004387e-06	1.888199125608146067e+00	-6.755943867540299408e-01	1.390202758983145754e-12	1.913301691007667893e+00	2.427599387158050070e-01	1.377603421612477353e-12
1.100000000000004291e-06	1.886253272750791021e+00	-7.046249202153589408e-01	1.397184168512912278e-12	1.911753513626321954e+00	2.531726320228032678e-01	1.385109039056050922e-12
1.110000000000004196e-06	1.884302984625956912e+00	-7.340741465102591512e-01	1.404231557487047652e-12	1.910203671326863972e+00	2.636451463877040879e-01	1.392689851655922599e-12
1.120000000000004100e-06	1.882348137242533914e+00	-7.640223822794638409e-01	1.411345633045911843e-12	1.908652048602216933e+00	2.741880321006132104e-01	1.400346371980634974e-12
1.130000000000004004e-06	1.880388615205244029e+00	-7.945571838260923059e-01	1.418527105563426319e-12	1.907098538715445102e+00	2.848169083131008583e-01	1.408079109541179883e-12
1.140000000000003908e-06	1.878424311253723999e+00	-8.257677535931667867e-01	1.425776688590891603e-12	1.905543043223403954e+00	2.955516702539635054e-01	1.415888570647783273e-12
1.150000000000003813e-06	1.876455125831393067e+00	-8.577385525364494834e-01	1.433095098794951148e-12	1.903985471530075024e+00	3.064154255192925724e-01	1.423775258261672458e-12
1.160000000000003717e-06	1.874480966682011918e+00	-8.905422712078316927e-01	1.440483055889591474e-12	1.902425740467504900e+00	3.174332089307698723e-01	1.431739671841820110e-12
1.170000000000003621e-06	1.872501748472019001e+00	-9.242324694144368191e-01	1.447941282562316711e-12	1.900863773902391030e+00	3.286304727384318225e-01	1.439782307186679321e-12
1.180000000000003525e-06	1.870517392436827020e+00	-9.588361027265290826e-01	1.455470504394548206e-12	1.899299502366518011e+00	3.400314218194219196e-01	1.447903656270850576e-12
1.190000000000003430e-06	1.868527826049453999e+00	-9.943463167480612874e-01	1.463071449776059200e-12	1.897732862709393897e+00	3.516572136253849346e-01	1.456104207076714748e-12
1.200000000000003334e-06	1.866532982709971034e+00	-1.030715842891052558e+00	1.470744849813635990e-12	1.896163797771547976e+00	3.635241073630951503e-01	1.464384443421029914e-12
1.210000000000003238e-06	1.864532801454352962e+00	-1.067851427121183860e+00	1.478491438233611779e-12	1.894592256077104908e+00	3.756415997935068640e-01	1.472744844776455220e-12
1.220000000000003142e-06	1.862527226681444104e+00	-1.105609651471858079e+00	1.486311951278286336e-12	1.893018191544296958e+00	3.880106467142180882e-01	1.481185886088155288e-12
1.230000000000003047e-06	1.860516207896834917e+00	-1.143794686091717416e+00	1.494207127595966309e-12	1.891441563212739929e+00	4.006220063154850575e-01	1.489708037585428005e-12
1.240000000000002951e-06	1.858499699472538014e+00	-1.182158278244417993e+00	1.502177708124347501e-12	1.889862334986351033e+00	4.134548466588913729e-01	1.498311764588355500e-12
1.250000000000002855e-06	1.856477661060655038e+00	-1.222435478622410088e+00	1.510224453562284151e-12	1.888280475287926974e+00	4.235139007322112903e-01	1.506997520847831333e-12
1.260000000000002759e-06	1.854450055636982952e+00	-1.269225918441139189e+00	1.518348095893848582e-12	1.886695957096848009e+00	4.339753931731488712e-01	1.515765765211833171e-12
1.270000000000002664e-06	1.852416850107128088e+00	-1.319681529220052552e+00	1.526549361089198056e-12	1.885108757634496035e+00	4.483390785231360365e-01	1.524616954804934736e-12
1.280000000000002568e-06	1.850378016771007994e+00	-1.372539683863005289e+00	1.534829014299438395e-12	1.883518857874312946e+00	4.632011688512724934e-01	1.533551527495057572e-12
1.290000000000002472e-06	1.848333531189074064e+00	-1.427888145985347634e+00	1.543187805171227796e-12	1.881926242670376004e+00	4.787149250439507453e-01	1.542569921301553420e-12
1.300000000000002376e-06	1.846283372626946084e+00	-1.485694139921766244e+00	1.551626484960837758e-12	1.880330900470106092e+00	4.949050649126354728e-01	1.551672567898027859e-12
