# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
8.900000000000063019e-07	1.915949615661715066e+00	4.831743134169549370e-01	1.226637425733310799e-12	1.923637899170935084e+00	-2.940691830283487795e-01	1.230592856878339543e-12
9.000000000000062061e-07	1.913798553241867095e+00	5.205092332317541315e-01	1.233361959241119452e-12	1.921697180885703071e+00	-3.172396041589495841e-01	1.236376750344430828e-12
9.100000000000061104e-07	1.911646028088120897e+00	5.601276696920232112e-01	1.240166666799189695e-12	1.919757636128949008e+00	-3.419303365246764703e-01	1.242212631757781176e-12
9.200000000000060147e-07	1.909491604484532035e+00	6.019552289083170971e-01	1.247052388091625169e-12	1.917818803157506968e+00	-3.681187590560960898e-01	1.248101133388576468e-12
9.300000000000059189e-07	1.907334877195639100e+00	6.458813177155238172e-01	1.254019965499504849e-12	1.915880249915181022e+00	-3.957601846826231951e-01	1.254042890048973442e-12
9.400000000000058232e-07	1.905175469470691052e+00	6.917617074112758502e-01	1.261070244071608203e-12	1.913941572044479900e+00	-4.247886413033641895e-01	1.260038539188226067e-12
9.500000000000057274e-07	1.903013031201447935e+00	7.394225133353266033e-01	1.268204071485741866e-12	1.912002391051830008e+00	-4.551184652615902215e-01	1.266088720978531176e-12
9.600000000000056317e-07	1.900847237220163910e+00	7.886655206511549165e-01	1.275422298000892420e-12	1.910062352612875047e+00	-4.866466889966281628e-01	1.272194078392140247e-12
9.700000000000055359e-07	1.898677785725751965e+00	8.392746957818770781e-01	1.282725776400582488e-12	1.908121125005870944e+00	-5.192561715392297605e-01	1.278355257269909359e-12
9.800000000000054402e-07	1.896504396827235039e+00	8.910236896509284854e-01	1.290115361927711083e-12	1.906178397662245949e+00	-5.528193909553118512e-01	1.284572906381527483e-12
9.900000000000053444e-07	1.894326811194650961e+00	9.436840634446588272e-01	1.297591912210939575e-12	1.904233879824537068e+00	-5.872027782542637020e-01	1.290847677477783142e-12
1.000000000000005249e-06	1.892144788808461042e+00	9.970339352169560465e-01	1.305156287183025381e-12	1.902287299302700907e+00	-6.222714563362280460e-01	1.297180225334896128e-12
1.010000000000005153e-06	1.889958107799398102e+00	1.050866686237098335e+00	1.312809348990971086e-12	1.900338401320788018e+00	-6.578942043992697108e-01	1.303571207791140432e-12
1.020000000000005057e-06	1.887766563371370054e+00	1.104999341655759526e+00	1.320551961898219424e-12	1.898386947446542017e+00	-6.939484702436859997e-01	1.310021285776025187e-12
1.030000000000004961e-06	1.885569966800739961e+00	1.159280245462514403e+00	1.328384992178846253e-12	1.896432714597297897e+00	-7.303252101994034406e-01	1.316531123332039660e-12
1.040000000000004866e-06	1.883368144505912056e+00	1.213595597070225685e+00	1.336309308003681455e-12	1.894475494116073966e+00	-7.669333516899463632e-01	1.323101387629188890e-12
1.050000000000004770e-06	1.881160937181673098e+00	1.267874499787057019e+00	1.344325779318193770e-12	1.892515090912348041e+00	-8.037036637512575687e-01	1.329732748972389649e-12
1.060000000000004674e-06	1.878948198993187102e+00	1.322092134695174392e+00	1.352435277712065462e-12	1.890551322662403999e+00	-8.405918216517704877e-01	1.336425880802037913e-12
1.070000000000004578e-06	1.876729796825078012e+00	1.376270779762889473e+00	1.360638676280228392e-12	1.888584019064706077e+00	-8.775804798854981437e-01	1.343181459687736545e-12
1.080000000000004483e-06	1.874505609581353038e+00	1.430478416241154349e+00	1.368936849474889369e-12	1.886613021146064995e+00	-9.146801870207814655e-01	1.350000165315403521e-12
1.090000000000004387e-06	1.872275527532268002e+00	1.484824782564716283e+00	1.377330672948441361e-12	1.884638180614736092e+00	-9.519289989367070159e-01	1.356882680467890333e-12
1.100000000000004291e-06	1.870039451704673006e+00	1.539454795206011362e+00	1.385821023386782763e-12	1.882659359256974918e+00	-9.893907120567656532e-01	1.363829690999469448e-12
1.110000000000004196e-06	1.867797293312466023e+00	1.594539406075592192e+00	1.394408778332655165e-12	1.880676428373746045e+00	-1.027151649747321205e+00	1.370841885803945441e-12
1.120000000000004100e-06	1.865548973224331109e+00	1.650264036456777994e+00	1.403094815998559778e-12	1.878689268254742029e+00	-1.065316026087674617e+00	1.377919956777044331e-12
1.130000000000004004e-06	1.863294421465865103e+00	1.706814901206385127e+00	1.411880015068891025e-12	1.876697767686891005e+00	-1.103999940956877479e+00	1.385064598772838774e-12
1.140000000000003908e-06	1.861033576753696961e+00	1.764363624174942968e+00	1.420765254490842808e-12	1.874701823494947073e+00	-1.143324131197960503e+00	1.392276509554613612e-12
1.150000000000003813e-06	1.858766386059224063e+00	1.823050684640474817e+00	1.429751413253693258e-12	1.872701340111839086e+00	-1.183405673540134151e+00	1.399556389740149371e-12
1.160000000000003717e-06	1.856492804199852076e+00	1.882968365198534944e+00	1.438839370155995597e-12	1.870696229176687098e+00	-1.224348877661009638e+00	1.406904942741620203e-12
1.170000000000003621e-06	1.854212793455787045e+00	1.944143968443307946e+00	1.448030003560636550e-12	1.868686409158557993e+00	-1.266235690829812466e+00	1.414322874700108475e-12
1.180000000000003525e-06	1.851926323210560055e+00	2.006524169243140587e+00	1.457324191137182107e-12	1.866671805004157081e+00	-1.309115979070137215e+00	1.421810894414879222e-12
1.190000000000003430e-06	1.849633369613636891e+00	2.069961459858872033e+00	1.466722809591606756e-12	1.864652347807846056e+00	-1.352998088650514186e+00	1.429369713267283359e-12
1.200000000000003334e-06	1.847333915263557058e+00	2.134203683510468075e+00	1.476226734383079445e-12	1.862627974502427897e+00	-1.397840175491266157e+00	1.437000045139438520e-12
1.210000000000003238e-06	1.845027948910227922e+00	2.198887710612647428e+00	1.485836839428104744e-12	1.860598627569348018e+00	-1.443542774350666580e+00	1.444702606327322791e-12
1.220000000000003142e-06	1.842715465175577938e+00	2.263584173315178028e+00	1.495553991980151868e-12	1.858564254762699930e+00	-1.490027613756740088e+00	1.452478113134961496e-12
1.230000000000003047e-06	1.840396462267944955e+00	2.322978915280464296e+00	1.505379025966907933e-12	1.856524809814183996e+00	-1.519660437583796320e+00	1.460327318223444172e-12
1.240000000000002951e-06	1.838070949406193089e+00	2.402908595339178888e+00	1.515312884948467074e-12	1.854480248652657925e+00	-1.571942532890653332e+00	1.468250894259923970e-12
1.250000000000002855e-06	1.835738935700548025e+00	2.486899057047267103e+00	1.525356398252187376e-12	1.852430534110246940e+00	-1.626895526779348344e+00	1.476249587452554709e-12
1.260000000000002759e-06	1.833400436802093969e+00	2.575004728434048928e+00	1.535510427856759961e-12	1.850375632649073010e+00	-1.684652040830911579e+00	1.484324124432465887e-12
1.270000000000002664e-06	1.831055473070271056e+00	2.667202545862529917e+00	1.545775832335696485e-12	1.848315514878341892e+00	-1.745307141648849036e+00	1.492475233514681770e-12
1.280000000000002568e-06	1.828704069378725983e+00	2.763388691647715945e+00	1.556153466494640938e-12	1.846250155368245105e+00	-1.808914237096271194e+00	1.500703644555667192e-12
1.290000000000002472e-06	1.826346254932313062e+00	2.863377571784507136e+00	1.566644180996852508e-12	1.844179532475161976e+00	-1.875481892483463975e+00	1.509010088803219722e-12
1.300000000000002376e-06	1.823982063094498951e+00	2.966903114337778646e+00	1.577248821977201836e-12	1.842103628177435892e+00	-1.944971647991406094e+00	1.517395298738585401e-12
1.310000000000002281e-06	1.821611531224532898e+00	3.073622515344434092e+00	1.587968230644576631e-12	1.840022427921065962e+00	-2.017296963695342171e+00	1.525860007910415160e-12
1.320000000000002185e-06	1.819234700523788995e+00	3.183122440141212817e+00	1.598803242872973342e-12	1.837935920474710105e+00	-2.092323382032508672e+00	1.534404950760390862e-12
1.330000000000002089e-06	1.816851615890709981e+00	3.294927601635964098e+00	1.609754688781408147e-12	1.835844097793436047e+00	-2.169869953000050256e+00	1.543030862440076493e-12
1.340000000000001993e-06	1.814462325783819940e+00	3.408511577464399700e+00	1.620823392302852460e-12	1.833746954890641989e+00	-2.249711923780688849e+00	1.551738478618896740e-12
1.350000000000001898e-06	1.812066882092338904e+00	3.523309669933771371e+00	1.632010170742398525e-12	1.831644489717699997e+00	-2.331584694714548434e+00	1.560528535282731846e-12
1.360000000000001802e-06	1.809665340013947077e+00	3.638733415384677095e+00	1.643315834324713869e-12	1.829536703050840041e+00	-2.415189016630671759e+00	1.569401768522966153e-12
1.370000000000001706e-06	1.807257757939239040e+00	3.754186461439896316e+00	1.654741185731230522e-12	1.827423598384799064e+00	-2.500197276862625717e+00	1.578358914315599375e-12
1.380000000000001610e-06	1.804844197342551082e+00	3.869081212510876888e+00	1.666287019626688116e-12	1.825305181832912016e+00	-2.586260793897961374e+00	1.587400708290067189e-12
1.390000000000001515e-06	1.802424722678696911e+00	3.982855833075100271e+00	1.677954122175730630e-12	1.823181462033174105e+00	-2.673017976038456922e+00	1.596527885487599681e-12
1.400000000000001419e-06	1.799999401285353962e+00	4.094990908081191705e+00	1.689743270549175687e-12	1.821052450059990946e+00	-2.760103074178983373e+00	1.605741180108589767e-12
1.410000000000001323e-06	1.797568303290715042e+00	4.205025175414984773e+00	1.701655232420115957e-12	1.818918159341250895e+00	-2.847155334080253564e+00	1.615041325248913823e-12
1.420000000000001227e-06	1.795131501526116891e+00	4.312569672116841168e+00	1.713690765449744217e-12	1.816778605580398054e+00	-2.933828326315127022e+00	1.624429052624834958e-12
1.430000000000001132e-06	1.792689071443378079e+00	4.417319589073757768e+00	1.725850616762776243e-12	1.814633806683265016e+00	-3.019799078473199838e+00	1.633905092286096149e-12
1.440000000000001036e-06	1.790241091036516075e+00	4.519063205820176066e+00	1.738135522412396225e-12	1.812483782689346956e+00	-3.104776779599766279e+00	1.643470172317444755e-12
1.450000000000000940e-06	1.787787640767642960e+00	4.617687294572840884e+00	1.750546206834180635e-12	1.810328555707291009e+00	-3.188510681104699263e+00	1.653125018527866662e-12
1.460000000000000844e-06	1.785328803496724070e+00	4.713178425170398533e+00	1.763083382288832957e-12	1.808168149854350926e+00	-3.270796969102873764e+00	1.662870354128049857e-12
1.470000000000000749e-06	1.782864664415023004e+00	4.805619722040621156e+00	1.775747748293361501e-12	1.806002591199620921e+00	-3.351484133393185072e+00	1.672706899395510177e-12
1.480000000000000653e-06	1.780395310981941925e+00	4.895182743770469358e+00	1.788539991039964227e-12	1.803831907710804927e+00	-3.430476712414164631e+00	1.682635371327966075e-12
1.490000000000000557e-06	1.777920832865073963e+00	4.982114255616365561e+00	1.801460782802372164e-12	1.801656129204362022e+00	-3.507737046688768956e+00	1.692656483284647381e-12
1.500000000000000462e-06	1.775441321883231893e+00	5.066717898479224047e+00	1.814510781328744481e-12	1.799475287298845982e+00	-3.583284783660909856e+00	1.702770944616006567e-12
1.510000000000000366e-06	1.772956871952261038e+00	5.149330841120198343e+00	1.827690629220707875e-12	1.797289415371275068e+00	-3.657194037903197525e+00	1.712979460281892903e-12
1.520000000000000270e-06	1.770467579033419891e+00	5.230295852277136781e+00	1.841000953297776115e-12	1.795098548516389947e+00	-3.729587996555733920e+00	1.723282730458477481e-12
1.530000000000000174e-06	1.767973541084153055e+00	5.309929319708681206e+00	1.854442363946638799e-12	1.792902723508648100e+00	-3.800630976919375126e+00	1.733681450134014941e-12
1.540000000000000079e-06	1.765474858011063963e+00	5.388486012067260411e+00	1.868015454454353210e-12	1.790701978766843006e+00	-3.870517854177975003e+00	1.744176308693621619e-12
1.549999999999999983e-06	1.762971631624902002e+00	5.466121024058941735e+00	1.881720800318091578e-12	1.788496354321295945e+00	-3.939464628808531099e+00	1.754767989406726693e-12
1.559999999999999887e-06	1.760463965597520941e+00	5.542854445285349207e+00	1.895558958579502624e-12	1.786285891783029989e+00	-4.007676524954367991e+00	1.765457169395536933e-12
1.569999999999999791e-06	1.757951965420317952e+00	5.618528153409871884e+00	1.909530467045191169e-12	1.784070634316174075e+00	-4.075360823444169611e+00	1.776244518457314475e-12
1.579999999999999696e-06	1.755435738367836063e+00	5.692911063242494407e+00	1.923635845225392030e-12	1.781850626630828049e+00	-4.143343120773346655e+00	1.787130676239718632e-12
1.589999999999999600e-06	1.752915393446023096e+00	5.765126004027988138e+00	1.937875587107673340e-12	1.779625914884020110e+00	-4.210403694472511837e+00	1.798116342021071478e-12
1.599999999999999504e-06	1.750391041375189083e+00	5.834428550534354940e+00	1.952250170017446871e-12	1.777396546767578966e+00	-4.277244556070076698e+00	1.809202140843116914e-12
1.609999999999999408e-06	1.747862794540834042e+00	5.899659074794717739e+00	1.966760047456909968e-12	1.775162571417213897e+00	-4.343808104208732424e+00	1.820388710345760510e-12
1.619999999999999313e-06	1.745330766962327029e+00	5.959368609569107633e+00	1.981405649882756083e-12	1.772924039411686969e+00	-4.409921650600752585e+00	1.831676678853075376e-12
1.629999999999999217e-06	1.742795074259342991e+00	6.011825974690511387e+00	1.996187383888359310e-12	1.770681002756560041e+00	-4.475279244210766727e+00	1.843066664864399485e-12
1.639999999999999121e-06	1.740255833619364978e+00	6.055040135045302030e+00	2.011105631371671485e-12	1.768433514869687029e+00	-4.539425962068817988e+00	1.854559276535877004e-12
1.649999999999999025e-06	1.737713163883398026e+00	6.087989723050190705e+00	2.026160752684998330e-12	1.766181630528462110e+00	-4.603196366528421457e+00	1.866155121649579458e-12
1.659999999999998930e-06	1.735167177325610099e+00	6.160297467609901823e+00	2.041352909741146716e-12	1.763925408549104956e+00	-4.612492105854378188e+00	1.877854807739112782e-12
1.669999999999998834e-06	1.732618001514296013e+00	6.306507025993485449e+00	2.056682527051204275e-12	1.761664905135243098e+00	-4.627706158097739220e+00	1.889658913630356066e-12
1.679999999999998738e-06	1.730065769495352068e+00	6.416457279267967273e+00	2.072150090292331790e-12	1.759400175768722985e+00	-4.700105040199153983e+00	1.901567913240471194e-12
1.689999999999998642e-06	1.727510598296678079e+00	6.532200328378888088e+00	2.087755684664991847e-12	1.757131283154055090e+00	-4.776642097301082579e+00	1.913582407066256807e-12
1.699999999999998547e-06	1.724952614072406964e+00	6.653295004640302324e+00	2.103499529655434487e-12	1.754858288930867039e+00	-4.857590395595567045e+00	1.925702928984301451e-12
1.709999999999998451e-06	1.722391944378860007e+00	6.779128720891329785e+00	2.119381814607831531e-12	1.752581256079168037e+00	-4.943140003202634247e+00	1.937929998374638163e-12
1.719999999999998355e-06	1.719828718152236036e+00	6.908927969791599288e+00	2.135402697868399498e-12	1.750300248914330004e+00	-5.033390167770425805e+00	1.950264119492160710e-12
1.729999999999998259e-06	1.717263065687131052e+00	7.041774284990157895e+00	2.151562305924666887e-12	1.748015333083128953e+00	-5.128343323564802603e+00	1.962705780827025973e-12
1.739999999999998164e-06	1.714695118615841007e+00	7.176625480691257941e+00	2.167860732541106386e-12	1.745726575560758942e+00	-5.227901174654543404e+00	1.975255454454254513e-12
1.749999999999998068e-06	1.712125009888483040e+00	7.312341855765450482e+00	2.184298037892605011e-12	1.743434044648797032e+00	-5.331863025990843497e+00	1.987913595372090289e-12
1.759999999999997972e-06	1.709552873753890978e+00	7.447716727521616953e+00	2.200874247696797698e-12	1.741137809974028894e+00	-5.439926558195168127e+00	2.000680640829651046e-12
1.769999999999997876e-06	1.706978845741343065e+00	7.581510637607840053e+00	2.217589352346879493e-12	1.738837942488117072e+00	-5.551691201379354013e+00	2.013557009643459433e-12
1.779999999999997781e-06	1.704403062643047084e+00	7.712488097115082653e+00	2.234443306045810394e-12	1.736534514468009105e+00	-5.666664095977914428e+00	2.026543101503374246e-12
1.789999999999997685e-06	1.701825662497457925e+00	7.839455849673679921e+00	2.251436025943392698e-12	1.734227599517089047e+00	-5.784268681076168761e+00	2.039639296267360391e-12
1.799999999999997589e-06	1.699246784573390068e+00	7.961301177225249326e+00	2.268567391277071065e-12	1.731917272566972033e+00	-5.903855814755464948e+00	2.052845953245788633e-12
1.809999999999997493e-06	1.696666569354891019e+00	8.077028786670840788e+00	2.285837242517368112e-12	1.729603609879895032e+00	-6.024717299665837800e+00	2.066163410474977147e-12
1.819999999999997398e-06	1.694085158526914991e+00	8.185794638510676791e+00	2.303245380518816631e-12	1.727286689051678925e+00	-6.146101508619882026e+00	2.079591983980312126e-12
1.829999999999997302e-06	1.691502694961722897e+00	8.286934996467444137e+00	2.320791565676963991e-12	1.724966589015163976e+00	-6.267230868739900096e+00	2.093131967029027828e-12
