# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
8.900000000000063019e-07	1.923637899170667964e+00	-2.940710433495200560e-01	1.230592856704488433e-12	1.938950984246718079e+00	1.101470422418370093e-01	1.220701207738623925e-12
9.000000000000062061e-07	1.921697180885399092e+00	-3.172409179786270239e-01	1.236376750141002155e-12	1.937295957484669096e+00	1.183752327008961158e-01	1.227167227137500865e-12
9.100000000000061104e-07	1.919757636128621048e+00	-3.419317786579516572e-01	1.242212631522512511e-12	1.935644187898571955e+00	1.271510777170101469e-01	1.233704430362690079e-12
9.200000000000060147e-07	1.917818803157153029e+00	-3.681203353228911235e-01	1.248101133118391129e-12	1.933995223085887893e+00	1.364745377457412812e-01	1.240313410667263156e-12
9.300000000000059189e-07	1.915880249914801103e+00	-3.957619003993079199e-01	1.254042889740639648e-12	1.932348640933460926e+00	1.463386748903826584e-01	1.246994758927302167e-12
9.400000000000058232e-07	1.913941572044072892e+00	-4.247905003025056470e-01	1.260038538838338563e-12	1.930704047611699004e+00	1.567290828211633791e-01	1.253749063562889574e-12
9.500000000000057274e-07	1.912002391051395023e+00	-4.551204706385324483e-01	1.266088720583502149e-12	1.929061075722259044e+00	1.676240899630693226e-01	1.260576910450562998e-12
9.600000000000056317e-07	1.910062352612412973e+00	-4.866488425241639049e-01	1.272194077948211839e-12	1.927419382585831897e+00	1.789952083003995276e-01	1.267478882828233071e-12
9.700000000000055359e-07	1.908121125005380003e+00	-5.192584738218172236e-01	1.278355256773141357e-12	1.925778648658049930e+00	1.908078203763980130e-01	1.274455561192832355e-12
9.800000000000054402e-07	1.906178397661727031e+00	-5.528218404561687782e-01	1.284572905827810438e-12	1.924138576062575989e+00	2.030220905102735063e-01	1.281507523190989366e-12
9.900000000000053444e-07	1.904233879823989062e+00	-5.872053711408236065e-01	1.290847676862839182e-12	1.922498887231588904e+00	2.155940775523289277e-01	1.288635343503057495e-12
1.000000000000005249e-06	1.902287299302126033e+00	-6.222741858280134153e-01	1.297180224654250076e-12	1.920859323644668049e+00	2.284770175016893612e-01	1.295839593720766382e-12
1.010000000000005153e-06	1.900338401320184056e+00	-6.578970621716142553e-01	1.303571207040176758e-12	1.919219644658032964e+00	2.416227362942353629e-01	1.303120842218649465e-12
1.020000000000005057e-06	1.898386947445910078e+00	-6.939514442684567852e-01	1.310021284949975889e-12	1.917579626416761940e+00	2.549831480116933058e-01	1.310479654019599657e-12
1.030000000000004961e-06	1.896432714596637981e+00	-7.303282842142484466e-01	1.316531122425988507e-12	1.915939060843278030e+00	2.685117883827817797e-01	1.317916590654643654e-12
1.040000000000004866e-06	1.894475494115386960e+00	-7.669365052968390994e-01	1.323101386638087172e-12	1.914297754696069997e+00	2.821653269621827165e-01	1.325432210017202248e-12
1.050000000000004770e-06	1.892515090911635944e+00	-8.037068725096947475e-01	1.329732747891114137e-12	1.912655528693079088e+00	2.959050040172253593e-01	1.333027066211797048e-12
1.060000000000004674e-06	1.890551322661667033e+00	-8.405950561071855454e-01	1.336425879625391667e-12	1.911012216694661037e+00	3.096979328394744435e-01	1.340701709397648926e-12
1.070000000000004578e-06	1.888584019063944019e+00	-8.775837044751882976e-01	1.343181458410471330e-12	1.909367664941568066e+00	3.235182134095710982e-01	1.348456685626923212e-12
1.080000000000004483e-06	1.886613021145280955e+00	-9.146833601808069814e-01	1.350000163932287864e-12	1.907721731343702043e+00	3.373478046794493590e-01	1.356292536678004130e-12
1.090000000000004387e-06	1.884638180613930958e+00	-9.519320749741172483e-01	1.356882678973772936e-12	1.906074284815769904e+00	3.511771109022506776e-01	1.364209799883680337e-12
1.100000000000004291e-06	1.882659359256150911e+00	-9.893936362865118905e-01	1.363829689389292108e-12	1.904425204656363890e+00	3.650052416455475957e-01	1.372209007954326992e-12
1.110000000000004196e-06	1.880676428372904940e+00	-1.027154362702231927e+00	1.370841884072858569e-12	1.902774379967145046e+00	3.788399142449574986e-01	1.380290688796251959e-12
1.120000000000004100e-06	1.878689268253886047e+00	-1.065318460759274277e+00	1.377919954920451785e-12	1.901121709109268032e+00	3.926969852509223369e-01	1.388455365324993722e-12
1.130000000000004004e-06	1.876697767686021923e+00	-1.104002024159715489e+00	1.385064596786512157e-12	1.899467099194233954e+00	4.065995966120170002e-01	1.396703555273815330e-12
1.140000000000003908e-06	1.874701823494066000e+00	-1.143325784271915113e+00	1.392276507434804964e-12	1.897810465606722063e+00	4.205769475831325765e-01	1.405035770997316256e-12
1.150000000000003813e-06	1.872701340110950019e+00	-1.183406811947129933e+00	1.399556387483691739e-12	1.896151731557087938e+00	4.346627067961725821e-01	1.413452519270144377e-12
1.160000000000003717e-06	1.870696229175792036e+00	-1.224349414509078748e+00	1.406904940346068192e-12	1.894490827661408971e+00	4.488931052135773925e-01	1.421954301080849475e-12
1.170000000000003621e-06	1.868686409157658046e+00	-1.266235537141306766e+00	1.414322872163887091e-12	1.892827691547134927e+00	4.633047467778066419e-01	1.430541611420892811e-12
1.180000000000003525e-06	1.866671805003254025e+00	-1.309115044643943016e+00	1.421810891737440780e-12	1.891162267482545900e+00	4.779322052448561342e-01	1.439214939068911717e-12
1.190000000000003430e-06	1.864652347806941002e+00	-1.352996287320503033e+00	1.429369710449295904e-12	1.889494506028362109e+00	4.928054765083291766e-01	1.447974766370096834e-12
1.200000000000003334e-06	1.862627974501523953e+00	-1.397837428590007036e+00	1.437000042182915075e-12	1.887824363709972975e+00	5.079473713197991680e-01	1.456821569010939883e-12
1.210000000000003238e-06	1.860598627568444963e+00	-1.443539014244238361e+00	1.444702603235862075e-12	1.886151802708897041e+00	5.233709398696821946e-01	1.465755815789292806e-12
1.220000000000003142e-06	1.858564254766051027e+00	-1.489938320312146125e+00	1.452478112227383007e-12	1.884476790572132909e+00	5.390770318584326981e-01	1.474777968379893162e-12
