# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
8.600000000000065891e-07	1.947570899879611961e+00	1.088350236680333746e-02	1.127986688120542403e-12	1.954745231016880913e+00	-6.435449870784185414e-03	1.101817636298367784e-12
8.700000000000064934e-07	1.945970147945770945e+00	1.199867267582814187e-02	1.133553337400809069e-12	1.953357124337536943e+00	-7.094184035286656316e-03	1.105806827672573400e-12
8.800000000000063976e-07	1.944374395776728992e+00	1.320715719402722893e-02	1.139179253814746727e-12	1.951977222363874942e+00	-7.808903681460427001e-03	1.109817673334059742e-12
8.900000000000063019e-07	1.942783074053080927e+00	1.457793644203671767e-02	1.144864982892111115e-12	1.950604944561582066e+00	-8.603059431396723605e-03	1.113850420222345729e-12
9.000000000000062061e-07	1.941195650863219102e+00	1.604715297795102774e-02	1.150611070427842868e-12	1.949239747088681085e+00	-9.467689041608945075e-03	1.117905313887382775e-12
9.100000000000061104e-07	1.939611629123948022e+00	1.764058884603628141e-02	1.156418060972377674e-12	1.947881120252390019e+00	-1.040683501288376146e-02	1.121982599224490426e-12
9.200000000000060147e-07	1.938030544233688923e+00	1.936063345899241214e-02	1.162286498824923587e-12	1.946528586152431073e+00	-1.142225529609875063e-02	1.126082520200953175e-12
9.300000000000059189e-07	1.936451961896100027e+00	2.120939696148355785e-02	1.168216927765468439e-12	1.945181696516947945e+00	-1.251580245190736344e-02	1.130205320059939870e-12
9.400000000000058232e-07	1.934875476108167902e+00	2.340035043298462764e-02	1.174209890555681153e-12	1.943840030708753108e+00	-1.377079410206485770e-02	1.134351241688037873e-12
9.500000000000057274e-07	1.933300707333960089e+00	2.564833939546774799e-02	1.180265930834527789e-12	1.942503193866877975e+00	-1.509285221156449197e-02	1.138520526674047134e-12
9.600000000000056317e-07	1.931727300756304944e+00	2.806533848814331614e-02	1.186385590325758059e-12	1.941170815223183022e+00	-1.651679686194005084e-02	1.142713416879200424e-12
9.700000000000055359e-07	1.930154924716654063e+00	3.065376652383544273e-02	1.192569410568278916e-12	1.939842546513478982e+00	-1.804484296121599413e-02	1.146930153577562134e-12
9.800000000000054402e-07	1.928583269243254072e+00	3.341453289464832443e-02	1.198817932452250427e-12	1.938518060521913000e+00	-1.967837133389354828e-02	1.151170977757538433e-12
9.900000000000053444e-07	1.927012044692298920e+00	3.634702016491023202e-02	1.205131696171419685e-12	1.937197049729622034e+00	-2.141789614480928833e-02	1.155436130194049180e-12
1.000000000000005249e-06	1.925440980487536979e+00	3.944911876851278643e-02	1.211511241169423949e-12	1.935879225061778008e+00	-2.326305851693777002e-02	1.159725851516217594e-12
1.010000000000005153e-06	1.923869823950260960e+00	4.271731552137146559e-02	1.217957106080306339e-12	1.934564314724958045e+00	-2.521264788534694976e-02	1.164040382270722674e-12
1.020000000000005057e-06	1.922298339212296980e+00	4.614683561275381707e-02	1.224469828663245307e-12	1.933252063127470111e+00	-2.726465162082990570e-02	1.168379962981199290e-12
1.030000000000004961e-06	1.920726306205321032e+00	4.973183556246727616e-02	1.231049945731893706e-12	1.931942229875944994e+00	-2.941633253717684804e-02	1.172744834203825487e-12
1.040000000000004866e-06	1.919153519720415924e+00	5.346564241406086271e-02	1.237697993078208093e-12	1.930634588842133903e+00	-3.166433269623590563e-02	1.177135236579408207e-12
1.050000000000004770e-06	1.917579788532342011e+00	5.734103227221692967e-02	1.244414505391019909e-12	1.929328927294365004e+00	-3.400480102611060790e-02	1.181551410882047401e-12
1.060000000000004674e-06	1.916004934583410035e+00	6.135053918879030538e-02	1.251200016169426479e-12	1.928025045088568090e+00	-3.643354110366369553e-02	1.185993598064689118e-12
1.070000000000004578e-06	1.914428792222407916e+00	6.548678349948308663e-02	1.258055057631136932e-12	1.926722753914309916e+00	-3.894617457179615216e-02	1.190462039301672806e-12
1.080000000000004483e-06	1.912851207494336903e+00	6.974280722381245856e-02	1.264980160615721360e-12	1.925421876591596915e+00	-4.153831483284874809e-02	1.194956976028372162e-12
1.090000000000004387e-06	1.911272037477071084e+00	7.411240278597183706e-02	1.271975854483087311e-12	1.924122246414581960e+00	-4.420574494470108640e-02	1.199478649978246203e-12
1.100000000000004291e-06	1.909691149661485010e+00	7.859042064569052299e-02	1.279042667006960506e-12	1.922823706538691946e+00	-4.694459307058054809e-02	1.204027303217186036e-12
1.110000000000004196e-06	1.908108421371718100e+00	8.317304105552469906e-02	1.286181124263626614e-12	1.921526109407869054e+00	-4.975149875365518504e-02	1.208603178175539844e-12
1.120000000000004100e-06	1.906523739222717007e+00	8.785799541734934381e-02	1.293391750515939978e-12	1.920229316219068894e+00	-5.262376292686853085e-02	1.213206517677720932e-12
1.130000000000004004e-06	1.904936998612235088e+00	9.264472352776581543e-02	1.300675068092575840e-12	1.918933196421179987e+00	-5.555947485400807018e-02	1.217837564969646467e-12
