# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
8.600000000000065891e-07	1.928761062643066015e+00	5.427695955755506008e-01	1.277849305485468682e-12	1.934685808969613952e+00	-3.320756801824469306e-01	1.291590407843792040e-12
8.700000000000064934e-07	1.926737585198698977e+00	5.875611900540459454e-01	1.284171053129140822e-12	1.932833543402908028e+00	-3.587620851831941904e-01	1.297262254601816333e-12
8.800000000000063976e-07	1.924714849008813067e+00	6.307178815316658582e-01	1.290564935703166132e-12	1.930984399379978012e+00	-3.855833307871480709e-01	1.302982387699848868e-12
8.900000000000063019e-07	1.922692296657201982e+00	6.765702918649743047e-01	1.297031698670212603e-12	1.929137803128083917e+00	-4.141802856545074851e-01	1.308751384283635663e-12
9.000000000000062061e-07	1.920669408469108053e+00	7.250314095166042749e-01	1.303572099811605242e-12	1.927293217567487948e+00	-4.445316772726795596e-01	1.314569816816520064e-12
9.100000000000061104e-07	1.918645699709152996e+00	7.760130657198869297e-01	1.310186897363187437e-12	1.925450139907110003e+00	-4.765897495059863154e-01	1.320438258889181317e-12
9.200000000000060147e-07	1.916620718234609999e+00	8.293396824960325153e-01	1.316876853439234767e-12	1.923608099299678020e+00	-5.102788962336058942e-01	1.326357285203498894e-12
9.300000000000059189e-07	1.914594042326104972e+00	8.848095260324173594e-01	1.323642731670105731e-12	1.921766654681482001e+00	-5.454973022012531425e-01	1.332327471710177289e-12
9.400000000000058232e-07	1.912565278690224080e+00	9.421893543365251755e-01	1.330485298063923224e-12	1.919925392780430062e+00	-5.821222823726375228e-01	1.338349395803740525e-12
9.500000000000057274e-07	1.910534060615159957e+00	1.001217133166104389e+00	1.337405320574117606e-12	1.918083926277543094e+00	-6.200102484188229068e-01	1.344423636201797099e-12
9.600000000000056317e-07	1.908500046266450090e+00	1.061612710616792965e+00	1.344403569354452788e-12	1.916241892108627054e+00	-6.590028704292771877e-01	1.350550773138723845e-12
9.700000000000055359e-07	1.906462917111009014e+00	1.123086631102232724e+00	1.351480816664737130e-12	1.914398949894035029e+00	-6.989316934211782240e-01	1.356731388391168777e-12
9.800000000000054402e-07	1.904422376458474009e+00	1.185350113710387454e+00	1.358637836836192727e-12	1.912554780485633987e+00	-7.396236685294834690e-01	1.362966065327018330e-12
9.900000000000053444e-07	1.902378148110065004e+00	1.248125328831841463e+00	1.365875406229640983e-12	1.910709084621170062e+00	-7.809070354427973815e-01	1.369255388946673992e-12
1.000000000000005249e-06	1.900329975105983893e+00	1.311155561504113276e+00	1.373194303186578799e-12	1.908861581677040897e+00	-8.226173418437109364e-01	1.375599945916597952e-12
1.010000000000005153e-06	1.898277618563303015e+00	1.374214837023319369e+00	1.380595307973173030e-12	1.907012008511441925e+00	-8.646033696418722325e-01	1.382000324595580326e-12
1.020000000000005057e-06	1.896220856596954052e+00	1.437116562208403003e+00	1.388079202717169184e-12	1.905160118390478052e+00	-9.067327293407191346e-01	1.388457115053753001e-12
1.030000000000004961e-06	1.894159483317138903e+00	1.499720764627210601e+00	1.395646771337729299e-12	1.903305679990584087e+00	-9.488968790311559376e-01	1.394970909084712195e-12
1.040000000000004866e-06	1.892093307897078081e+00	1.561939523093429205e+00	1.403298799467889820e-12	1.901448476471174986e+00	-9.910153303167325012e-01	1.401542300210906437e-12
1.050000000000004770e-06	1.890022153705559038e+00	1.623740236874185117e+00	1.411036074369592821e-12	1.899588304611999900e+00	-1.033038824293837310e+00	1.408171883682393377e-12
1.060000000000004674e-06	1.887945857499168989e+00	1.685146437045148993e+00	1.418859384840964837e-12	1.897724974010090992e+00	-1.074951278536047550e+00	1.414860256469467857e-12
1.070000000000004578e-06	1.885864268669658061e+00	1.746235923768103326e+00	1.426769521115561981e-12	1.895858306331769993e+00	-1.116770343985495462e+00	1.421608017249118447e-12
1.080000000000004483e-06	1.883777248542156002e+00	1.807136098301961313e+00	1.434767274753194424e-12	1.893988134615476993e+00	-1.158546447062991591e+00	1.428415766385669481e-12
1.090000000000004387e-06	1.881684669720383951e+00	1.868016474857644660e+00	1.442853438521992978e-12	1.892114302621547894e+00	-1.200360251432533776e+00	1.435284105905945843e-12
1.100000000000004291e-06	1.879586415475344108e+00	1.929078449336264711e+00	1.451028806271326402e-12	1.890236664225489971e+00	-1.242318508516035092e+00	1.442213639468901349e-12
1.110000000000004196e-06	1.877482379174175930e+00	1.990542545409115460e+00	1.459294172795078710e-12	1.888355082851437050e+00	-1.284548348607381207e+00	1.449204972330280196e-12
1.120000000000004100e-06	1.875372463746296070e+00	2.052633461117406188e+00	1.467650333684956081e-12	1.886469430942935954e+00	-1.327190111689554586e+00	1.456258711302325838e-12
1.130000000000004004e-06	1.873256581183968095e+00	2.115563371444955543e+00	1.476098085173364138e-12	1.884579589468265093e+00	-1.370388880402934717e+00	1.463375464708782642e-12
1.140000000000003908e-06	1.871134652074891047e+00	2.179514058319097281e+00	1.484638223965567839e-12	1.882685447457852046e+00	-1.414284957929023090e+00	1.470555842335331493e-12
1.150000000000003813e-06	1.869006605164432067e+00	2.244618548033660677e+00	1.493271547060631711e-12	1.880786901571489089e+00	-1.459003572519351533e+00	1.477800455375779028e-12
1.160000000000003717e-06	1.866872376945394096e+00	2.310943038760683965e+00	1.501998851561139226e-12	1.878883855693233018e+00	-1.504644169929723274e+00	1.485109916373850861e-12
1.170000000000003621e-06	1.864731911273378007e+00	2.378469976152903342e+00	1.510820934471145461e-12	1.876976220552075025e+00	-1.551269691069967038e+00	1.492484839160859605e-12
1.180000000000003525e-06	1.862585159005913926e+00	2.447083210123310870e+00	1.519738592482456521e-12	1.875063913366568080e+00	-1.598896294088736569e+00	1.499925838789334733e-12
1.190000000000003430e-06	1.860432077663717099e+00	2.516556200074583138e+00	1.528752621749158811e-12	1.873146857511803987e+00	-1.647483998246808357e+00	1.507433531462280060e-12
1.200000000000003334e-06	1.858272631112535933e+00	2.586544264709033758e+00	1.537863817650289079e-12	1.871224982207170928e+00	-1.696928771703949845e+00	1.515008534458435469e-12
1.210000000000003238e-06	1.856106789264208023e+00	2.656581849003151419e+00	1.547072974540984121e-12	1.869298222223539918e+00	-1.747056584720405370e+00	1.522651466052943301e-12
1.220000000000003142e-06	1.853934527795580101e+00	2.726085774166343789e+00	1.556380885492161220e-12	1.867366517608527010e+00	-1.797619967254665330e+00	1.530362945433672658e-12
1.230000000000003047e-06	1.851755825280593903e+00	2.795120562049342006e+00	1.565788274639623246e-12	1.865429814765594108e+00	-1.831899718598195115e+00	1.538143629237427184e-12
1.240000000000002951e-06	1.849570672873581012e+00	2.883886496452845005e+00	1.575296054795082913e-12	1.863488061180917921e+00	-1.890853055345989020e+00	1.545994073170811940e-12
1.250000000000002855e-06	1.847379059914227017e+00	2.977055847088501572e+00	1.584904958290251154e-12	1.861541212284546942e+00	-1.952853041042142967e+00	1.553914927304256802e-12
1.260000000000002759e-06	1.845180982673211956e+00	3.074553188798230252e+00	1.594615771002876992e-12	1.859589226796046102e+00	-2.017897578698629957e+00	1.561906813266735372e-12
