# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
5.500000000000095572e-07	1.998822457634156891e+00	1.022368310474076168e-08	2.477147047758850582e-19	2.001298500689535853e+00	-6.280503751515886156e-09	2.182542593806984508e-19
5.600000000000094614e-07	1.996049031469010027e+00	1.489765103038090631e-08	2.415530879015099612e-19	1.998653109678266926e+00	-9.055299628265355678e-09	2.122136237117952051e-19
5.700000000000093657e-07	1.993352118623245017e+00	2.134153593149122526e-08	2.356770851002902410e-19	1.996087614122322940e+00	-1.284362682087350493e-08	2.064625097086112657e-19
5.800000000000092699e-07	1.990725123026582111e+00	3.007960985302497723e-08	2.300709211279763590e-19	1.993595426705397022e+00	-1.793306755240985840e-08	2.009840288677586312e-19
5.900000000000091742e-07	1.988162062443779909e+00	4.173875698864693884e-08	2.247197605202585016e-19	1.991170572681294049e+00	-2.466379557564990320e-08	1.957623879671136797e-19
6.000000000000090785e-07	1.985657501722883023e+00	5.704992113137132532e-08	2.196096638649462277e-19	1.988807623126674917e+00	-3.342812535146211060e-08	1.907828247477433039e-19
6.100000000000089827e-07	1.983206494437647960e+00	7.684192625624967836e-08	2.147275424432343103e-19	1.986501636587324038e+00	-4.466635001350694302e-08	1.860315448496366702e-19
6.200000000000088870e-07	1.980804531732786034e+00	1.020258736927492500e-07	2.100611117462687769e-19	1.984248107934480032e+00	-5.885708073833925210e-08	1.814956594850073347e-19
6.300000000000087912e-07	1.978447497360408924e+00	1.335702605359091839e-07	2.055988457539204525e-19	1.982042923408219970e+00	-7.650320758724610601e-08	1.771631263789957192e-19
6.400000000000086955e-07	1.976131628062498979e+00	1.627280563369174309e-07	2.013299319107191906e-19	1.979882321010645985e+00	-8.547052695688188338e-08	1.730226929523176029e-19
6.500000000000085997e-07	1.973853478579143950e+00	2.051202139853166658e-07	1.972442275484051470e-19	1.977762855524159979e+00	-1.049140914052145747e-07	1.690638425630365771e-19
6.600000000000085040e-07	1.971609890665442899e+00	2.622397105733477656e-07	1.933322180628785879e-19	1.975681367543766997e+00	-1.303238720405746071e-07	1.652767437661344384e-19
6.700000000000084082e-07	1.969397965609910983e+00	4.657283155981648778e-07	1.895849769554316845e-19	1.973634956001891982e+00	-2.435815052487263757e-07	1.616522027709602040e-19
6.800000000000083125e-07	1.967215039793346998e+00	6.010401157589982530e-07	1.859941281237433346e-19	1.971620953740016891e+00	-3.094150558916461553e-07	1.581816187958599477e-19
6.900000000000082168e-07	1.965058662896634001e+00	7.704605819753253201e-07	1.825518094379423141e-19	1.969636905741618982e+00	-3.902422403869202084e-07	1.548569426964408944e-19
7.000000000000081210e-07	1.962926578480943096e+00	9.816331425776154821e-07	1.792506399808086493e-19	1.967680549705060011e+00	-4.889832927468829006e-07	1.516706379384498690e-19
7.100000000000080253e-07	1.960816706580496893e+00	1.243826518708207327e-06	1.760836877713418536e-19	1.965749798662532966e+00	-6.090771973569081271e-07	1.486156447862562912e-19
7.200000000000079295e-07	1.958727128120461014e+00	1.568259197778974685e-06	1.730444402772975182e-19	1.963842725407477952e+00	-7.545697245902744087e-07	1.456853468158599796e-19
7.300000000000078338e-07	1.956656070924351898e+00	1.968461176500340314e-06	1.701267766938101605e-19	1.961957548514841054e+00	-9.301700086993926161e-07	1.428735398980209431e-19
7.400000000000077380e-07	1.954601897130268995e+00	2.460645353880542291e-06	1.673249420593626762e-19	1.960092619770082978e+00	-1.141333112524344340e-06	1.401744034491760623e-19
7.500000000000076423e-07	1.952563091855171962e+00	3.064083288312370889e-06	1.646335231157783541e-19	1.958246412846156970e+00	-1.394260471651581372e-06	1.375824737996964535e-19
7.600000000000075466e-07	1.950538252966891983e+00	3.801428904138133671e-06	1.620474258154668878e-19	1.956417513088114957e+00	-1.695908979603241617e-06	1.350926195333836515e-19
7.700000000000074508e-07	1.948526081841255975e+00	4.698959131440697169e-06	1.595618543786507655e-19	1.954604608282713096e+00	-2.053892699664404836e-06	1.327000186580714929e-19
7.800000000000073551e-07	1.946525374996721069e+00	4.648126367710309179e-06	1.571722917996297884e-19	1.952806480305369075e+00	-1.110808347111158163e-06	1.304001374735800071e-19
7.900000000000072593e-07	1.944535016512001002e+00	1.496633738396977304e-05	1.548744817108821012e-19	1.951021997550242082e+00	-6.728586010305690074e-06	1.281887110277881305e-19
8.000000000000071636e-07	1.942553971144242997e+00	1.806253250572831189e-05	1.526644115886458682e-19	1.949250108059809916e+00	-7.989605465110782956e-06	1.260617249563584335e-19
8.100000000000070678e-07	1.940581278073038041e+00	2.171059570750498571e-05	1.505382969632385250e-19	1.947489833281675908e+00	-9.441332773699770246e-06	1.240153987958060551e-19
8.200000000000069721e-07	1.938616045207355976e+00	2.599735323858103357e-05	1.484925669210393204e-19	1.945740262386780994e+00	-1.110688606852327682e-05	1.220461704143517378e-19
8.300000000000068763e-07	1.936657443996885997e+00	3.101981314055323840e-05	1.465238505322671300e-19	1.944000547092523012e+00	-1.301091216627832963e-05	1.201506816459984646e-19
8.400000000000067806e-07	1.934704704697562949e+00	3.688464247397221112e-05	1.446289642487424366e-19	1.942269896939798013e+00	-1.517907574536779067e-05	1.183257649696172980e-19
8.500000000000066849e-07	1.932757112046129100e+00	4.370699158826299495e-05	1.428049001838269643e-19	1.940547574978952028e+00	-1.763731163588743521e-05	1.165684311623907651e-19
8.600000000000065891e-07	1.930814001303656990e+00	5.160865940925361844e-05	1.410488152106743570e-19	1.938832893824558923e+00	-2.041082707773509856e-05	1.148758578517912992e-19
8.700000000000064934e-07	1.928874754638006062e+00	6.071558143469088455e-05	1.393580206386086757e-19	1.937125212044030098e+00	-2.352287183534652724e-05	1.132453789511509653e-19
8.800000000000063976e-07	1.926938797779752965e+00	7.115473158296269736e-05	1.377299734965041611e-19	1.935423930844434981e+00	-2.699327212983998434e-05	1.116744745864944834e-19
8.900000000000063019e-07	1.925005597006919977e+00	8.267622084268800133e-05	1.361622666658510240e-19	1.933728491038477992e+00	-3.035685214383064242e-05	1.101607622706139447e-19
9.000000000000062061e-07	1.923074656321756004e+00	9.614122742568121966e-05	1.346526214001895590e-19	1.932038370251746073e+00	-3.438339527006842517e-05	1.087019881992940451e-19
9.100000000000061104e-07	1.921145514879923022e+00	1.113464406648579980e-04	1.331988795502881635e-19	1.930353080357759987e+00	-3.873493890271372669e-05	1.072960193901637494e-19
9.200000000000060147e-07	1.919217744619504895e+00	1.327196008109610961e-04	1.317989964317961297e-19	1.928672165116791959e+00	-4.521677261273234535e-05	1.059408363340711343e-19
9.300000000000059189e-07	1.917290948071227907e+00	1.530694594893211656e-04	1.304510342440425539e-19	1.926995197999715081e+00	-5.051507249360843337e-05	1.046345262334092290e-19
9.400000000000058232e-07	1.915364756347464947e+00	1.768544361659641294e-04	1.291531558460014333e-19	1.925321780182976950e+00	-5.670037956743103664e-05	1.033752765139913267e-19
9.500000000000057274e-07	1.913438827276529919e+00	2.036080517397199636e-04	1.279036190175033586e-19	1.923651538696151908e+00	-6.335365248854403150e-05	1.021613690144447972e-19
9.600000000000056317e-07	1.911512843682555030e+00	2.335361384919477088e-04	1.267007710794897798e-19	1.921984124711560105e+00	-7.044811501943687351e-05	1.009911744248482339e-19
9.700000000000055359e-07	1.909586511793508024e+00	2.668272005999039551e-04	1.255430438703010616e-19	1.920319211962532080e+00	-7.794118560037083818e-05	9.986314714994530843e-20
9.800000000000054402e-07	1.907659559767157953e+00	3.036472429695894772e-04	1.244289490543815148e-19	1.918656495279623009e+00	-8.577264282502581249e-05	9.877582051207454040e-20
9.900000000000053444e-07	1.905731736325132930e+00	3.441350615542814991e-04	1.233570737380698898e-19	1.916995689234884948e+00	-9.386286442233834600e-05	9.772780227466574895e-20
1.000000000000005249e-06	1.903802809486015102e+00	3.883980955557016202e-04	1.223260763708901579e-19	1.915336526885139001e+00	-1.021112471742851072e-04	9.671777046335737969e-20
1.010000000000005153e-06	1.901872565389354008e+00	4.365091738126953744e-04	1.213346829119854532e-19	1.913678758606154107e+00	-1.103951357091735835e-04	9.574446946322720970e-20
1.020000000000005057e-06	1.899940807203170934e+00	4.885044757081480685e-04	1.203816832432787590e-19	1.912022151010289939e+00	-1.185696706870103330e-04	9.480670637061482542e-20
1.030000000000004961e-06	1.898007354108196099e+00	5.443828260632476920e-04	1.194659278119733801e-19	1.910366485940871994e+00	-1.264679648734901409e-04	9.390334757947415933e-20
1.040000000000004866e-06	1.896072040352738908e+00	6.041063380580198160e-04	1.185863244864883903e-19	1.908711559537193958e+00	-1.339008781436439033e-04	9.303331558682682265e-20
1.050000000000004770e-06	1.894134714372591954e+00	6.676022158162257802e-04	1.177418356111826221e-19	1.907057181364562037e+00	-1.406565457832947147e-04	9.219558600368611491e-20
