# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
5.500000000000095572e-07	2.062653262188494985e+00	2.218394344446626162e-07	9.100322481342264986e-19	2.065138157794359941e+00	-2.988600850491896464e-07	8.827730771256514257e-19
5.600000000000094614e-07	2.059088695516277046e+00	-9.129768481606455832e-07	9.175755994869951286e-19	2.061507691359325989e+00	1.253823879008433989e-06	8.909263690297007981e-19
5.700000000000093657e-07	2.055621025701305005e+00	-1.270169913563658445e-06	9.249589237561621736e-19	2.057969394644242112e+00	1.746386698437890354e-06	8.989878902833743638e-19
5.800000000000092699e-07	2.052243097647073800e+00	-1.780496993827146877e-06	9.321857113986440578e-19	2.054516124462649085e+00	2.451919564588369846e-06	9.069618517080653680e-19
5.900000000000091742e-07	2.048948409716127017e+00	-2.521595408133975618e-06	9.392592796149050973e-19	2.051141395565169834e+00	3.480968045635326191e-06	9.148523517552539147e-19
6.000000000000090785e-07	2.045731042001211808e+00	-3.609038461498917393e-06	9.461827966452160619e-19	2.047839310154575987e+00	5.000081711130284715e-06	9.226634199565014761e-19
6.100000000000089827e-07	2.042585593315262127e+00	-5.208569655308138859e-06	9.529593094609015963e-19	2.044604496538612981e+00	7.251119656312360405e-06	9.303990708118759244e-19
6.200000000000088870e-07	2.039507125526561993e+00	-7.547647341124488486e-06	9.595917781029500615e-19	2.041432055750965979e+00	1.057052062337284846e-05	9.380633743971810462e-19
6.300000000000087912e-07	2.036491114009754799e+00	-1.092267070975508921e-05	9.660831221752980239e-19	2.038317515230354982e+00	1.540357299900258704e-05	9.456605537162350760e-19
6.400000000000086955e-07	2.033533403052556032e+00	-1.569602757468445219e-05	9.724362891908920600e-19	2.035256788911348202e+00	2.230548760110374413e-05	9.531951253385547301e-19
6.500000000000085997e-07	2.030630165027135003e+00	-2.227422528556162291e-05	9.786543624649562762e-19	2.032246143387801851e+00	3.191684954887220643e-05	9.606721115119758842e-19
6.600000000000085040e-07	2.027777861945819993e+00	-3.105477771524697036e-05	9.847407419904361802e-19	2.029282170228734916e+00	4.489581594748334243e-05	9.680973734290530385e-19
6.700000000000084082e-07	2.024973207548280918e+00	-4.232226931469653970e-05	9.906994638039685356e-19	2.026361765190678010e+00	6.178135176625648749e-05	9.754781563089793451e-19
6.800000000000083125e-07	2.022213127039604874e+00	-5.598873809390701793e-05	9.965357911729986695e-19	2.023482116259113006e+00	8.268726950204152238e-05	9.828240178176602940e-19
6.900000000000082168e-07	2.019494709401485011e+00	-2.267235047404285615e-05	1.002257359905275099e-18	2.020640704783490005e+00	3.243737599899623530e-05	9.901484758297277306e-19
7.000000000000081210e-07	2.016815142374856151e+00	-2.614717485930470793e-05	1.007876496947546408e-18	2.017835328910035031e+00	3.786318200824643262e-05	9.974720540067877581e-19
7.100000000000080253e-07	2.014171609190829049e+00	-2.918786846900792777e-05	1.013415107782029400e-18	2.015064169629214863e+00	4.300340067812187441e-05	1.004828098242000048e-18
7.200000000000079295e-07	2.011561099683417897e+00	-3.111406313540917342e-05	1.018915208522537445e-18	2.012325946287766953e+00	4.708893400677605562e-05	1.012273950827177633e-18
7.300000000000078338e-07	2.008980023772676038e+00	-3.078379161787265941e-05	1.024460700345931784e-18	2.009620273122290968e+00	4.884244949492434534e-05	1.019910366799608505e-18
7.400000000000077380e-07	2.006423370330252087e+00	-2.627385275459261777e-05	1.030209746351132908e-18	2.006948473411405143e+00	4.614874374615957514e-05	1.027896006832900889e-18
7.500000000000076423e-07	2.003883010109563045e+00	-1.480699999197061795e-05	1.036350541730097493e-18	2.004315252221708921e+00	3.597233437826730356e-05	1.036316328591430355e-18
7.600000000000075466e-07	2.001346003929089790e+00	4.213363093147196565e-06	1.042641458066027345e-18	2.001730366268084094e+00	1.738538027244949924e-05	1.044410243467947253e-18
7.700000000000074508e-07	1.998799698798285895e+00	2.084604091901185154e-05	1.048273309675820055e-18	1.999203507921329059e+00	-9.220890509474656589e-08	1.050203815510882715e-18
7.800000000000073551e-07	1.996244314278178056e+00	2.135325045418565715e-05	1.053632321578239263e-18	1.996731700865610915e+00	-3.217624592334371937e-06	1.053841109132849326e-18
7.900000000000072593e-07	1.993689512226209049e+00	3.127854025349585462e-06	1.059424341103682634e-18	1.994302714038965973e+00	1.002757295589902105e-05	1.057102906091591029e-18
8.000000000000071636e-07	1.991142818846570961e+00	-3.256477056774830360e-05	1.065610760856111460e-18	1.991906624766087042e+00	3.771197517538594991e-05	1.060609303912937183e-18
8.100000000000070678e-07	1.988607766203400073e+00	-8.629123647441145446e-05	1.072005101159888084e-18	1.989537663769544995e+00	7.966853244081222116e-05	1.064332171147789707e-18
8.200000000000069721e-07	1.986085638830002997e+00	1.562599736714624437e-03	1.078493278069847600e-18	1.987192456285044040e+00	-1.091832452962348448e-03	1.068165950974235945e-18
8.300000000000068763e-07	1.983576680866494968e+00	1.927898874702641419e-03	1.085018599097913534e-18	1.984868803751093980e+00	-1.351646135514896581e-03	1.072036395043817681e-18
8.400000000000067806e-07	1.981080664016739101e+00	2.353624758508916608e-03	1.091553635574216038e-18	1.982565105615184953e+00	-1.651586990818651544e-03	1.075899275808258369e-18
8.500000000000066849e-07	1.978597144920100970e+00	2.845904778599186655e-03	1.098085089127868150e-18	1.980280092643230017e+00	-1.996196880503182079e-03	1.079729007973490389e-18
8.600000000000065891e-07	1.976125585915408100e+00	3.407364415051236835e-03	1.104606647712265847e-18	1.978012697612612891e+00	-2.387653533399677289e-03	1.083510866682014823e-18
8.700000000000064934e-07	1.973665414416021058e+00	4.035542707841804737e-03	1.111115609518974594e-18	1.975761988116754075e+00	-2.824899301277426257e-03	1.087236511634253496e-18
8.800000000000063976e-07	1.971216053240878008e+00	4.720670676312123219e-03	1.117611230190929433e-18	1.973527129064932106e+00	-3.302355141830618304e-03	1.090901471078496597e-18
8.900000000000063019e-07	1.968776936462274918e+00	5.442790970355723158e-03	1.124093878881804977e-18	1.971307360256262964e+00	-3.808232001947320280e-03	1.094503704374855907e-18
9.000000000000062061e-07	1.966347517681767965e+00	6.168174650588892881e-03	1.130564589376890327e-18	1.969101982062239964e+00	-4.322431733358526526e-03	1.098042757502869532e-18
9.100000000000061104e-07	1.963927274188874916e+00	6.844984457798144149e-03	1.137024812427769652e-18	1.966910345714659059e+00	-4.814015335506689752e-03	1.101519251428791299e-18
9.200000000000060147e-07	1.961515708811853997e+00	7.398143262170869469e-03	1.143476274729898984e-18	1.964731846345944000e+00	-5.238227719751499534e-03	1.104934562558525899e-18
9.300000000000059189e-07	1.959112350447556938e+00	7.729417834015510011e-03	1.149920896473849788e-18	1.962565917755626055e+00	-5.533606555877166287e-03	1.108290617285946704e-18
9.400000000000058232e-07	1.956716753829865096e+00	7.692368853823732845e-03	1.156360742334805143e-18	1.960412028308506915e+00	-5.618514992881172912e-03	1.111589756075915621e-18
9.500000000000057274e-07	1.954328498857450969e+00	7.106665323277878282e-03	1.162797991585724066e-18	1.958269677610595894e+00	-5.384097608606436963e-03	1.114834641353625131e-18
9.600000000000056317e-07	1.951947189284340078e+00	7.652131670903346283e-03	1.169234866830230046e-18	1.956138393986208923e+00	-5.678972987166410261e-03	1.118028231461226598e-18
9.700000000000055359e-07	1.949572453147579099e+00	8.507101192521408090e-03	1.175673821232829858e-18	1.954017731188812945e+00	-6.323714215342351834e-03	1.121173592240214588e-18
9.800000000000054402e-07	1.947203939607802026e+00	9.439223006967898538e-03	1.182117254249814704e-18	1.951907267655895062e+00	-7.028888339066912197e-03	1.124274063076568641e-18
9.900000000000053444e-07	1.944841319133034929e+00	1.045344399308438532e-02	1.188567681754942172e-18	1.949806603893849966e+00	-7.799640779555841799e-03	1.127333106324423508e-18
1.000000000000005249e-06	1.942484282103599913e+00	1.155385499975460604e-02	1.195027693148824807e-18	1.947715361072364093e+00	-8.641311381235351058e-03	1.130354317061238659e-18
1.010000000000005153e-06	1.940132537755133946e+00	1.274297513316838271e-02	1.201499950571333191e-18	1.945633179593124984e+00	-9.559289542229142123e-03	1.133341407350095256e-18
1.020000000000005057e-06	1.937785813164836002e+00	1.402077135194955762e-02	1.207987188843456161e-18	1.943559717799455022e+00	-1.055881399472716198e-02	1.136298193346911355e-18
1.030000000000004961e-06	1.935443852286159894e+00	1.538335738917787944e-02	1.214492215872216605e-18	1.941494650806887989e+00	-1.164470472416004668e-02	1.139228584459012277e-18
1.040000000000004866e-06	1.933106415034220982e+00	1.682130897755922463e-02	1.221017913345422571e-18	1.939437669438913048e+00	-1.282103311510103191e-02	1.142136574006943615e-18
1.050000000000004770e-06	1.930773276422377949e+00	1.831751171914133489e-02	1.227567237602714341e-18	1.937388479255127027e+00	-1.409071810506333164e-02	1.145026231008279792e-18
1.060000000000004674e-06	1.928444225749156082e+00	1.984448600796322529e-02	1.234143220609617561e-18	1.935346799661225026e+00	-1.545505867888196348e-02	1.147901692817080155e-18
1.070000000000004578e-06	1.926119065834035027e+00	2.136105509199678898e-02	1.240748970989931056e-18	1.933312363092076103e+00	-1.691320650623738195e-02	1.150767158432619403e-18
1.080000000000004483e-06	1.923797612300123028e+00	2.280836180751132092e-02	1.247387675075892128e-18	1.931284914260356977e+00	-1.846159268500547485e-02	1.153626882347025173e-18
1.090000000000004387e-06	1.921479692901417957e+00	2.410494553117348976e-02	1.254062597986262263e-18	1.929264209464264024e+00	-2.009333647917749613e-02	1.156485168841602234e-18
1.100000000000004291e-06	1.919165146892404028e+00	2.514101475932501578e-02	1.260777084692472062e-18	1.927250015948744011e+00	-2.179766225978986907e-02	1.159346366669286945e-18
1.110000000000004196e-06	1.916853824437450893e+00	2.577159176457359882e-02	1.267534561093158418e-18	1.925242111315218940e+00	-2.355937664149340000e-02	1.162214864081300835e-18
1.120000000000004100e-06	1.914545586057798010e+00	2.580853287868653534e-02	1.274338535092888470e-18	1.923240282975543947e+00	-2.535845496712194752e-02	1.165095084170080778e-18
1.130000000000004004e-06	1.912240302113680013e+00	2.501121996130557107e-02	1.281192597690988916e-18	1.921244327646191907e+00	-2.716982552194450312e-02	1.167991480510424792e-18
1.140000000000003908e-06	1.909937852319480989e+00	2.307582087321262410e-02	1.288100424089224389e-18	1.919254050879277029e+00	-2.896341935342089391e-02	1.170908533088398538e-18
1.150000000000003813e-06	1.907638125289752073e+00	1.962294926627277530e-02	1.295065774827761407e-18	1.917269266627229962e+00	-3.070463049875389247e-02	1.173850744511666977e-18
1.160000000000003717e-06	1.905341018114093954e+00	1.418354229771980925e-02	1.302092496960744065e-18	1.915289796838324010e+00	-3.235527297497967775e-02	1.176822636498540265e-18
1.170000000000003621e-06	1.903046435959032889e+00	6.182792974463933479e-03	1.309184525282730078e-18	1.913315471080494934e+00	-3.387523586259327812e-02	1.179828746644674797e-18
1.180000000000003525e-06	1.900754291695087028e+00	-5.078112612970368984e-03	1.316345883618925945e-18	1.911346126191113992e+00	-3.522497702485875848e-02	1.182873625467860818e-18
1.190000000000003430e-06	1.898464505547392100e+00	-2.044265444960804631e-02	1.323580686191705313e-18	1.909381605950652094e+00	-3.636907844425695674e-02	1.185961833731063003e-18
