; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -4.990234375e-12
; t2 = 5e-12
; dt = 9.765625e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-4.990234375e-12, 124.7574933e-6, 377.8033527e-6
-4.98046875e-12, -124.3749695e-6, 396.1608991e-6
-4.970703125e-12, -331.9683416e-6, 329.5129893e-6
-4.9609375e-12, -443.8292267e-6, 187.6575647e-6
-4.951171875e-12, -435.5660994e-6, -3.062092248e-6
-4.94140625e-12, -317.6689866e-6, -201.8595854e-6
-4.931640625e-12, -129.358765e-6, -360.5501155e-6
-4.921875e-12, 75.62772737e-6, -435.2536133e-6
-4.912109375e-12, 245.6573244e-6, -399.904025e-6
-4.90234375e-12, 344.5132245e-6, -256.8518293e-6
-4.892578125e-12, 357.8224675e-6, -39.84042517e-6
-4.8828125e-12, 292.1728631e-6, 193.1724995e-6
-4.873046875e-12, 169.1922949e-6, 376.1922678e-6
-4.86328125e-12, 18.02297328e-6, 455.5124844e-6
-4.853515625e-12, -130.9888257e-6, 407.2536117e-6
-4.84375e-12, -250.3107347e-6, 245.7221478e-6
-4.833984375e-12, -317.6337782e-6, 19.29464739e-6
-4.82421875e-12, -318.1457603e-6, -204.9776159e-6
-4.814453125e-12, -247.5947894e-6, -362.7308996e-6
-4.8046875e-12, -115.6104078e-6, -412.194424e-6
-4.794921875e-12, 52.66252279e-6, -345.9167218e-6
-4.78515625e-12, 218.9523626e-6, -190.7664148e-6
-4.775390625e-12, 339.5130174e-6, 3.004100364e-6
-4.765625e-12, 377.0306524e-6, 179.067739e-6
-4.755859375e-12, 313.3686858e-6, 292.3270351e-6
-4.74609375e-12, 158.3900911e-6, 320.5221419e-6
-4.736328125e-12, -49.3380452e-6, 267.1451026e-6
-4.7265625e-12, -251.6357414e-6, 156.1219991e-6
-4.716796875e-12, -387.6598489e-6, 21.52260517e-6
-4.70703125e-12, -413.4872967e-6, -103.312277e-6
-4.697265625e-12, -317.5536344e-6, -193.5819669e-6
-4.6875e-12, -126.1291973e-6, -236.1595116e-6
-4.677734375e-12, 103.7198043e-6, -228.6780131e-6
-4.66796875e-12, 301.8206228e-6, -176.6453864e-6
-4.658203125e-12, 407.4551511e-6, -90.78064298e-6
-4.6484375e-12, 389.1107939e-6, 14.28796293e-6
-4.638671875e-12, 254.6047293e-6, 120.3344261e-6
-4.62890625e-12, 48.10894206e-6, 206.3122734e-6
-4.619140625e-12, -164.8045483e-6, 251.0900389e-6
-4.609375e-12, -318.8281528e-6, 238.5679163e-6
-4.599609375e-12, -369.8151854e-6, 163.9556147e-6
-4.58984375e-12, -307.9184714e-6, 38.64235353e-6
-4.580078125e-12, -158.9064982e-6, -109.1769364e-6
-4.5703125e-12, 26.18253407e-6, -239.8163669e-6
-4.560546875e-12, 188.9255828e-6, -312.8321991e-6
-4.55078125e-12, 282.5062928e-6, -300.2189995e-6
-4.541015625e-12, 285.445662e-6, -197.5273284e-6
-4.53125e-12, 205.9665406e-6, -28.41980143e-6
-4.521484375e-12, 76.39350732e-6, 159.9400468e-6
-4.51171875e-12, -59.58946608e-6, 310.1400896e-6
-4.501953125e-12, -161.8638775e-6, 372.6219527e-6
-4.4921875e-12, -205.810255e-6, 322.7005888e-6
-4.482421875e-12, -187.6794286e-6, 170.4538914e-6
-4.47265625e-12, -122.5003164e-6, -40.47092457e-6
-4.462890625e-12, -36.29642688e-6, -245.4277373e-6
-4.453125e-12, 43.89808983e-6, -379.0421291e-6
-4.443359375e-12, 98.47882075e-6, -396.6455678e-6
-4.43359375e-12, 119.5534682e-6, -289.6537776e-6
-4.423828125e-12, 110.3773549e-6, -89.48046862e-6
-4.4140625e-12, 81.15419418e-6, 141.6828546e-6
-4.404296875e-12, 43.57050073e-6, 330.4790495e-6
