Stage1,Stage2,SNR,Power
0.25, 1, 21.4, 341.6e-6
0.25, 1.5, 20.86, 538.3e-6
0.25, 2, 20.58, 851.6e-6
0.25, 2.5, 20.41, 1.349e-3
0.25, 3, 20.3, 2.135e-3
0.25, 3.5, 20.19, 3.371e-3
0.25, 4, 20.06, 5.278e-3
0.25, 4.5, 19.88, 8.148e-3
0.25, 5, 19.61, 0.01226
0.25, 5.5, 19.16, 0.01763
0.25, 6, 18.63, 0.0244
0.25, 6.5, 17.98, 0.03204
0.25, 7, 17.22, 0.03958
0.25, 7.5, 16.47, 0.04689
0.25, 8, 15.78, 0.05326
0.25, 8.5, 15.17, 0.05849
0.35, 1, 21.25, 373.3e-6
0.35, 1.5, 20.78, 588.7e-6
0.35, 2, 20.54, 932e-6
0.35, 2.5, 20.39, 1.477e-3
0.35, 3, 20.27, 2.337e-3
0.35, 3.5, 20.16, 3.684e-3
0.35, 4, 20.03, 5.76e-3
0.35, 4.5, 19.83, 8.851e-3
0.35, 5, 19.54, 0.01326
0.35, 5.5, 19.07, 0.01889
0.35, 6, 18.51, 0.0259
0.35, 6.5, 17.84, 0.03365
0.35, 7, 17.07, 0.04116
0.35, 7.5, 16.33, 0.04834
0.35, 8, 15.65, 0.05452
0.35, 8.5, 15.06, 0.05954
0.45, 1, 21.13, 408e-6
0.45, 1.5, 20.72, 643.9e-6
0.45, 2, 20.5, 1.02e-3
0.45, 2.5, 20.36, 1.615e-3
0.45, 3, 20.25, 2.556e-3
0.45, 3.5, 20.14, 4.027e-3
0.45, 4, 19.99, 6.277e-3
0.45, 4.5, 19.78, 9.614e-3
0.45, 5, 19.47, 0.01431
0.45, 5.5, 18.97, 0.0202
0.45, 6, 18.39, 0.02743
0.45, 6.5, 17.7, 0.03527
0.45, 7, 16.92, 0.04272
0.45, 7.5, 16.19, 0.04976
0.45, 8, 15.52, 0.05574
0.45, 8.5, 14.96, 0.06055
0.55, 1, 21.02, 445.9e-6
0.55, 1.5, 20.66, 704.3e-6
0.55, 2, 20.47, 1.117e-3
0.55, 2.5, 20.33, 1.768e-3
0.55, 3, 20.23, 2.796e-3
0.55, 3.5, 20.11, 4.398e-3
0.55, 4, 19.96, 6.841e-3
0.55, 4.5, 19.72, 0.01042
0.55, 5, 19.39, 0.01541
0.55, 5.5, 18.86, 0.02157
0.55, 6, 18.26, 0.02896
0.55, 6.5, 17.55, 0.03689
0.55, 7, 16.77, 0.04426
0.55, 7.5, 16.05, 0.05114
0.55, 8, 15.4, 0.05691
0.55, 8.5, 14.86, 0.06152
0.65, 1, 20.93, 487.3e-6
0.65, 1.5, 20.61, 770.5e-6
0.65, 2, 20.43, 1.221e-3
0.65, 2.5, 20.31, 1.934e-3
0.65, 3, 20.21, 3.059e-3
0.65, 3.5, 20.08, 4.804e-3
0.65, 4, 19.91, 7.444e-3
0.65, 4.5, 19.67, 0.01129
0.65, 5, 19.25, 0.0164
0.65, 5.5, 18.75, 0.02296
0.65, 6, 18.12, 0.03054
0.65, 6.5, 17.36, 0.03818
0.65, 7, 16.62, 0.04577
0.65, 7.5, 15.91, 0.05247
0.65, 8, 15.28, 0.05804
0.65, 8.5, 14.77, 0.06244
0.75, 1, 20.84, 532.8e-6
0.75, 1.5, 20.56, 843e-6
0.75, 2, 20.4, 1.337e-3
0.75, 2.5, 20.29, 2.117e-3
0.75, 3, 20.18, 3.343e-3
0.75, 3.5, 20.05, 5.24e-3
0.75, 4, 19.87, 8.1e-3
0.75, 4.5, 19.61, 0.01222
0.75, 5, 19.17, 0.0176
0.75, 5.5, 18.64, 0.02442
0.75, 6, 17.99, 0.03214
0.75, 6.5, 17.21, 0.03977
0.75, 7, 16.47, 0.04725
0.75, 7.5, 15.77, 0.05377
0.75, 8, 15.17, 0.05912
0.75, 8.5, 14.68, 0.06337
0.85, 1, 20.77, 582.4e-6
0.85, 1.5, 20.52, 922.3e-6
0.85, 2, 20.37, 1.462e-3
0.85, 2.5, 20.26, 2.315e-3
0.85, 3, 20.16, 3.656e-3
0.85, 3.5, 20.02, 5.718e-3
0.85, 4, 19.82, 8.799e-3
0.85, 4.5, 19.54, 0.0132
0.85, 5, 19.07, 0.01886
0.85, 5.5, 18.52, 0.02591
0.85, 6, 17.85, 0.03376
0.85, 6.5, 17.07, 0.04139
0.85, 7, 16.33, 0.0487
0.85, 7.5, 15.64, 0.05502
0.85, 8, 15.06, 0.06016
0.85, 8.5, 14.59, 0.0642
0.95, 1, 20.71, 636.8e-6
0.95, 1.5, 20.49, 1.009e-3
0.95, 2, 20.35, 1.6e-3
0.95, 2.5, 20.24, 2.533e-3
0.95, 3, 20.13, 3.993e-3
0.95, 3.5, 19.98, 6.23e-3
0.95, 4, 19.78, 9.556e-3
0.95, 4.5, 19.47, 0.01425
0.95, 5, 18.97, 0.02017
0.95, 5.5, 18.4, 0.02745
0.95, 6, 17.71, 0.03538
0.95, 6.5, 16.92, 0.04295
0.95, 7, 16.18, 0.05012
0.95, 7.5, 15.51, 0.05623
0.95, 8, 14.95, 0.06115
0.95, 8.5, 14.51, 0.06499
1.05, 1, 20.65, 696.3e-6
1.05, 1.5, 20.45, 1.104e-3
1.05, 2, 20.32, 1.75e-3
1.05, 2.5, 20.22, 2.769e-3
1.05, 3, 20.11, 4.362e-3
1.05, 3.5, 19.95, 6.789e-3
1.05, 4, 19.73, 0.01037
1.05, 4.5, 19.4, 0.01534
1.05, 5, 18.87, 0.02153
1.05, 5.5, 18.27, 0.02901
1.05, 6, 17.56, 0.03703
1.05, 6.5, 16.77, 0.04449
1.05, 7, 16.04, 0.0515
1.05, 7.5, 15.39, 0.05739
1.05, 8, 14.85, 0.0621
1.05, 8.5, 14.44, 0.06574
1.15, 1, 20.6, 761.4e-6
1.15, 1.5, 20.43, 1.208e-3
1.15, 2, 20.3, 1.915e-3
1.15, 2.5, 20.2, 3.029e-3
1.15, 3, 20.08, 4.76e-3
1.15, 3.5, 19.92, 7.392e-3
1.15, 4, 19.67, 0.01122
1.15, 4.5, 19.26, 0.01634
1.15, 5, 18.77, 0.02294
1.15, 5.5, 18.13, 0.03057
1.15, 6, 17.37, 0.0383
1.15, 6.5, 16.62, 0.04601
1.15, 7, 15.9, 0.05283
1.15, 7.5, 15.27, 0.05851
1.15, 8, 14.76, 0.06306
1.15, 8.5, 14.36, 0.06646
1.25, 1, 20.56, 832.7e-6
1.25, 1.5, 20.39, 1.321e-3
1.25, 2, 20.28, 2.094e-3
1.25, 2.5, 20.17, 3.309e-3
1.25, 3, 20.05, 5.196e-3
1.25, 3.5, 19.87, 8.036e-3
1.25, 4, 19.61, 0.01215
1.25, 4.5, 19.18, 0.01754
1.25, 5, 18.65, 0.02438
1.25, 5.5, 18, 0.03217
1.25, 6, 17.22, 0.0399
1.25, 6.5, 16.47, 0.0475
1.25, 7, 15.77, 0.05413
1.25, 7.5, 15.16, 0.05959
1.25, 8, 14.67, 0.06392
1.25, 8.5, 14.3, 0.06714
1.35, 1, 20.52, 910.6e-6
1.35, 1.5, 20.37, 1.445e-3
1.35, 2, 20.26, 2.291e-3
1.35, 2.5, 20.15, 3.617e-3
1.35, 3, 20.02, 5.663e-3
1.35, 3.5, 19.83, 8.735e-3
1.35, 4, 19.55, 0.01312
1.35, 4.5, 19.09, 0.0188
1.35, 5, 18.53, 0.02588
1.35, 5.5, 17.86, 0.03379
1.35, 6, 17.07, 0.04149
1.35, 6.5, 16.33, 0.04895
1.35, 7, 15.64, 0.05538
1.35, 7.5, 15.05, 0.06062
1.35, 8, 14.58, 0.06474
1.35, 8.5, 14.23, 0.06778
1.45, 1, 20.48, 995.9e-6
1.45, 1.5, 20.34, 1.58e-3
1.45, 2, 20.24, 2.503e-3
1.45, 2.5, 20.13, 3.949e-3
1.45, 3, 19.99, 6.174e-3
1.45, 3.5, 19.78, 9.477e-3
1.45, 4, 19.48, 0.01416
1.45, 4.5, 18.99, 0.02009
1.45, 5, 18.41, 0.02741
1.45, 5.5, 17.72, 0.03542
1.45, 6, 16.92, 0.04306
1.45, 6.5, 16.18, 0.05037
1.45, 7, 15.51, 0.05659
1.45, 7.5, 14.94, 0.06161
1.45, 8, 14.5, 0.06552
1.45, 8.5, 14.18, 0.06844
1.55, 1, 20.45, 1.089e-3
1.55, 1.5, 20.32, 1.729e-3
1.55, 2, 20.22, 2.738e-3
1.55, 2.5, 20.1, 4.314e-3
1.55, 3, 19.95, 6.721e-3
1.55, 3.5, 19.73, 0.01028
1.55, 4, 19.41, 0.01526
1.55, 4.5, 18.89, 0.02145
1.55, 5, 18.29, 0.02897
1.55, 5.5, 17.58, 0.03707
1.55, 6, 16.78, 0.04461
1.55, 6.5, 16.04, 0.05176
1.55, 7, 15.39, 0.05776
1.55, 7.5, 14.84, 0.06261
1.55, 8, 14.42, 0.06627
1.55, 8.5, 14.13, 0.06908
