; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.994140625e-12, 0.09526142291, 0.1922890245
-2.98828125e-12, 0.06704432769, 0.2072763726
-2.982421875e-12, 0.03674729072, 0.2178881412
-2.9765625e-12, 5.018548368e-3, 0.2238247026
-2.970703125e-12, -0.02745682504, 0.2248882295
-2.96484375e-12, -0.0599726001, 0.220986474
-2.958984375e-12, -0.09181676838, 0.2121342067
-2.953125e-12, -0.122286214, 0.1984525658
-2.947265625e-12, -0.1507005306, 0.1801665392
-2.94140625e-12, -0.176415051, 0.1576007417
-2.935546875e-12, -0.1988332796, 0.1311735784
-2.9296875e-12, -0.2174189082, 0.1013898235
-2.923828125e-12, -0.231707456, 0.06883159451
-2.91796875e-12, -0.2413173612, 0.03414768734
-2.912109375e-12, -0.2459601189, -1.958741888e-3
-2.90625e-12, -0.2454488917, -0.03874409485
-2.900390625e-12, -0.2397049655, -0.07543968012
-2.89453125e-12, -0.2287614867, -0.1112681789
-2.888671875e-12, -0.2127641128, -0.1454607618
-2.8828125e-12, -0.1919684599, -0.177274271
-2.876953125e-12, -0.1667345189, -0.2060078235
-2.87109375e-12, -0.1375184426, -0.2310182206
-2.865234375e-12, -0.1048622654, -0.2517336559
-2.859375e-12, -0.06938215664, -0.2676653926
-2.853515625e-12, -0.03175574824, -0.2784172751
-2.84765625e-12, 7.291062719e-3, -0.2836931282
-2.841796875e-12, 0.04699760965, -0.2833022197
-2.8359375e-12, 0.08658217945, -0.2771630051
-2.830078125e-12, 0.1252559925, -0.2653053217
-2.82421875e-12, 0.16223749, -0.2478710784
-2.818359375e-12, 0.1967669205, -0.2251133244
-2.8125e-12, 0.2281211018, -0.1973934488
-2.806640625e-12, 0.2556280998, -0.1651761884
-2.80078125e-12, 0.2786814398, -0.1290221679
-2.794921875e-12, 0.2967533919, -0.08957785022
-2.7890625e-12, 0.3094068409, -0.04756301765
-2.783203125e-12, 0.3163052821, -3.756176936e-3
-2.77734375e-12, 0.3172205638, 0.04102149132
-2.771484375e-12, 0.3120381078, 0.08592289954
-2.765625e-12, 0.300759494, 0.1300918202
-2.759765625e-12, 0.2835024468, 0.1726790901
-2.75390625e-12, 0.260498417, 0.2128579225
-2.748046875e-12, 0.2320880578, 0.2498382352
-2.7421875e-12, 0.1987149423, 0.2828800846
-2.736328125e-12, 0.1609178355, 0.3113063657
-2.73046875e-12, 0.1193217409, 0.334514903
-2.724609375e-12, 0.07462781094, 0.3519899214
-2.71875e-12, 0.02760210104, 0.3633127127
-2.712890625e-12, -0.02093691237, 0.3681711362
-2.70703125e-12, -0.07013210113, 0.3663674755
-2.701171875e-12, -0.1191026859, 0.3578241482
-2.6953125e-12, -0.1669602475, 0.3425868342
-2.689453125e-12, -0.2128253514, 0.3208247546
-2.68359375e-12, -0.2558442489, 0.2928280451
-2.677734375e-12, -0.2952050508, 0.2590023909
-2.671875e-12, -0.33015281, 0.2198612737
-2.666015625e-12, -0.3600030723, 0.1760162902
-2.66015625e-12, -0.3841536539, 0.1281660232
-2.654296875e-12, -0.4020946084, 0.07708388806
-2.6484375e-12, -0.4134165126, 0.02360526477
-2.642578125e-12, -0.4178172778, -0.03138590121
-2.63671875e-12, -0.4151076593, -0.08697096008
-2.630859375e-12, -0.4052155107, -0.1422108784
-2.625e-12, -0.3881886525, -0.1961610337
-2.619140625e-12, -0.3641960607, -0.2478864604
-2.61328125e-12, -0.3335269961, -0.2964774426
-2.607421875e-12, -0.2965877304, -0.3410652402
-2.6015625e-12, -0.2538956803, -0.380837612
-2.595703125e-12, -0.2060709985, -0.415053696
-2.58984375e-12, -0.1538259212, -0.4430577426
-2.583984375e-12, -0.09795236534, -0.4642912006
-2.578125e-12, -0.03930835658, -0.4783027427
-2.572265625e-12, 0.02119616723, -0.4847559745
-2.56640625e-12, 0.08261376071, -0.4834347662
-2.560546875e-12, 0.1439738502, -0.4742463331
-2.5546875e-12, 0.2042970285, -0.4572223183
-2.548828125e-12, 0.2626093289, -0.4325181623
-2.54296875e-12, 0.3179565799, -0.4004109862
-2.537109375e-12, 0.3694188939, -0.361296088
