; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.994140625e-12, 153.2082834e-6, -382.8016687e-6
-2.98828125e-12, 54.00715661e-6, -433.2560542e-6
-2.982421875e-12, -60.40311347e-6, -444.2241294e-6
-2.9765625e-12, -171.1713228e-6, -412.7217963e-6
-2.970703125e-12, -260.3289146e-6, -343.4969472e-6
-2.96484375e-12, -313.9668269e-6, -248.308946e-6
-2.958984375e-12, -324.6022235e-6, -143.8470995e-6
-2.953125e-12, -292.370072e-6, -48.6215341e-6
-2.947265625e-12, -224.8891859e-6, 20.58815422e-6
-2.94140625e-12, -135.8576752e-6, 52.00394102e-6
-2.935546875e-12, -42.61261786e-6, 41.14997236e-6
-2.9296875e-12, 36.96060962e-6, -8.30146584e-6
-2.923828125e-12, 87.66902569e-6, -85.29701925e-6
-2.91796875e-12, 99.84167249e-6, -173.5878236e-6
-2.912109375e-12, 71.20831161e-6, -254.8542611e-6
-2.90625e-12, 7.41474445e-6, -312.1371451e-6
-2.900390625e-12, -79.00148408e-6, -332.9340777e-6
-2.89453125e-12, -171.0391207e-6, -311.4280303e-6
-2.888671875e-12, -250.6100859e-6, -249.4937101e-6
-2.8828125e-12, -302.1725335e-6, -156.3347782e-6
-2.876953125e-12, -315.8472117e-6, -46.81662921e-6
-2.87109375e-12, -289.3542897e-6, 61.2377917e-6
-2.865234375e-12, -228.3804314e-6, 150.3417381e-6
-2.859375e-12, -145.3419987e-6, 206.648388e-6
-2.853515625e-12, -56.85027689e-6, 222.6358789e-6
-2.84765625e-12, 19.57361713e-6, 198.6130111e-6
-2.841796875e-12, 68.88233171e-6, 142.6842442e-6
-2.8359375e-12, 81.36027049e-6, 69.12088447e-6
-2.830078125e-12, 54.45812006e-6, -4.560734576e-6
-2.82421875e-12, -6.706911703e-6, -61.20537615e-6
-2.818359375e-12, -90.27615038e-6, -87.52926055e-6
-2.8125e-12, -179.8570376e-6, -76.77471508e-6
-2.806640625e-12, -257.6428803e-6, -29.95665043e-6
-2.80078125e-12, -307.8842314e-6, 44.51950186e-6
-2.794921875e-12, -320.0414132e-6, 132.7281997e-6
-2.7890625e-12, -290.9609515e-6, 218.1454283e-6
-2.783203125e-12, -225.5791879e-6, 285.008573e-6
-2.77734375e-12, -135.950859e-6, 321.4597913e-6
-2.771484375e-12, -38.77094215e-6, 321.8910014e-6
-2.765625e-12, 48.08812739e-6, 288.0649782e-6
-2.759765625e-12, 109.2642378e-6, 228.7997589e-6
-2.75390625e-12, 135.0082022e-6, 158.2510906e-6
-2.748046875e-12, 123.0414631e-6, 93.08547842e-6
-2.7421875e-12, 78.81231599e-6, 49.06772753e-6
-2.736328125e-12, 14.15942413e-6, 37.7422324e-6
-2.73046875e-12, -55.27759757e-6, 63.91608063e-6
-2.724609375e-12, -113.3334869e-6, 124.5227899e-6
-2.71875e-12, -146.6154789e-6, 209.165272e-6
-2.712890625e-12, -147.1890824e-6, 302.260154e-6
-2.70703125e-12, -114.1442756e-6, 386.3262671e-6
-2.701171875e-12, -53.73838023e-6, 445.682937e-6
-2.6953125e-12, 21.9319667e-6, 469.7289552e-6
-2.689453125e-12, 97.49688501e-6, 455.0861988e-6
-2.68359375e-12, 157.6222852e-6, 406.1740688e-6
-2.677734375e-12, 190.378921e-6, 334.1463336e-6
-2.671875e-12, 189.9319783e-6, 254.4721605e-6
-2.666015625e-12, 157.9228397e-6, 183.7015303e-6
-2.66015625e-12, 103.1886647e-6, 136.0847942e-6
-2.654296875e-12, 39.84733914e-6, 120.7155093e-6
-2.6484375e-12, -15.83052216e-6, 139.7527817e-6
-2.642578125e-12, -49.04330955e-6, 188.0768993e-6
-2.63671875e-12, -49.73881983e-6, 254.4644212e-6
-2.630859375e-12, -14.8144356e-6, 324.0691011e-6
-2.625e-12, 51.22832265e-6, 381.7118672e-6
-2.619140625e-12, 137.273627e-6, 415.2791658e-6
-2.61328125e-12, 227.9640144e-6, 418.4656562e-6
-2.607421875e-12, 306.9207262e-6, 392.2116224e-6
-2.6015625e-12, 360.1319004e-6, 344.4697857e-6
-2.595703125e-12, 378.8197287e-6, 288.3302869e-6
-2.58984375e-12, 361.2097765e-6, 238.9356769e-6
-2.583984375e-12, 312.8368311e-6, 209.9180528e-6
-2.578125e-12, 245.3047278e-6, 210.2027152e-6
-2.572265625e-12, 173.7339361e-6, 241.9184482e-6
-2.56640625e-12, 113.4243071e-6, 299.8711451e-6
-2.560546875e-12, 76.46289545e-6, 372.6615771e-6
-2.5546875e-12, 69.05512383e-6, 445.160952e-6
-2.548828125e-12, 90.21871112e-6, 501.7813965e-6
-2.54296875e-12, 132.1702323e-6, 529.8365592e-6
-2.537109375e-12, 182.3241384e-6, 522.2883058e-6
-2.53125e-12, 226.4213605e-6, 479.3050115e-6
-2.525390625e-12, 252.0220517e-6, 408.2912167e-6
-2.51953125e-12, 251.5145309e-6, 322.3549857e-6
-2.513671875e-12, 223.9292911e-6, 237.51153e-6
-2.5078125e-12, 175.1562661e-6, 169.2153625e-6
-2.501953125e-12, 116.5527062e-6, 128.9953503e-6
-2.49609375e-12, 62.29476134e-6, 121.9767343e-6
-2.490234375e-12, 26.08774642e-6, 145.8885443e-6
-2.484375e-12, 17.96685753e-6, 191.805513e-6
-2.478515625e-12, 41.88668345e-6, 246.4453967e-6
-2.47265625e-12, 94.63168718e-6, 295.4512431e-6
-2.466796875e-12, 166.3103723e-6, 326.8441213e-6
-2.4609375e-12, 242.3637105e-6, 333.8032412e-6
-2.455078125e-12, 306.6799978e-6, 316.1198951e-6
-2.44921875e-12, 345.1355356e-6, 280.0175237e-6
-2.443359375e-12, 348.7474159e-6, 236.4313274e-6
-2.4375e-12, 315.683003e-6, 198.1934286e-6
-2.431640625e-12, 251.6252571e-6, 176.7983343e-6
-2.42578125e-12, 168.3903329e-6, 179.4945786e-6
-2.419921875e-12, 81.13173322e-6, 207.3641968e-6
-2.4140625e-12, 4.822438168e-6, 254.8368844e-6
-2.408203125e-12, -49.118559e-6, 310.7782925e-6
-2.40234375e-12, -75.24335107e-6, 360.9428053e-6
-2.396484375e-12, -74.9860059e-6, 391.2565931e-6
-2.390625e-12, -55.90595544e-6, 391.1732551e-6
-2.384765625e-12, -29.50789722e-6, 356.2902958e-6
-2.37890625e-12, -8.203349008e-6, 289.5639025e-6
-2.373046875e-12, -2.151122841e-6, 200.7906075e-6
-2.3671875e-12, -16.71630115e-6, 104.4579754e-6
-2.361328125e-12, -51.13436636e-6, 16.48495812e-6
-2.35546875e-12, -98.69503581e-6, -49.3430412e-6
-2.349609375e-12, -148.4185853e-6, -84.37020775e-6
-2.34375e-12, -187.8482104e-6, -86.78553834e-6
-2.337890625e-12, -206.2992134e-6, -61.68625536e-6
-2.33203125e-12, -197.7642448e-6, -19.53681533e-6
-2.326171875e-12, -162.7263548e-6, 26.54682224e-6
-2.3203125e-12, -108.3840998e-6, 64.00232781e-6
-2.314453125e-12, -47.19125706e-6, 83.74740112e-6
-2.30859375e-12, 5.947042284e-6, 82.15040729e-6
-2.302734375e-12, 37.12446704e-6, 61.60146048e-6
-2.296875e-12, 36.66442471e-6, 29.56509231e-6
-2.291015625e-12, 1.332658489e-6, -3.649495594e-6
-2.28515625e-12, -64.9907117e-6, -27.85068904e-6
-2.279296875e-12, -152.2995493e-6, -35.91072769e-6
-2.2734375e-12, -246.8177086e-6, -25.92564683e-6
-2.267578125e-12, -334.1141941e-6, -1.99804249e-6
-2.26171875e-12, -402.2188875e-6, 26.59902616e-6
-2.255859375e-12, -444.0146763e-6, 47.68815149e-6
-2.25e-12, -458.3765495e-6, 49.30474922e-6
-2.244140625e-12, -449.8321315e-6, 22.85218053e-6
-2.23828125e-12, -426.8671811e-6, -34.52698474e-6
-2.232421875e-12, -399.3238846e-6, -118.9689371e-6
-2.2265625e-12, -375.5681079e-6, -220.5279475e-6
-2.220703125e-12, -360.1721192e-6, -325.2500332e-6
-2.21484375e-12, -352.7380869e-6, -418.1444603e-6
-2.208984375e-12, -348.1902145e-6, -486.3214979e-6
-2.203125e-12, -338.4614664e-6, -521.5584399e-6
-2.197265625e-12, -315.1075631e-6, -521.7222162e-6
-2.19140625e-12, -272.1150054e-6, -490.7645439e-6
-2.185546875e-12, -208.1137599e-6, -437.346483e-6
-2.1796875e-12, -127.3751688e-6, -372.4718066e-6
-2.173828125e-12, -39.31674669e-6, -306.744594e-6
-2.16796875e-12, 43.35727716e-6, -247.9582214e-6
-2.162109375e-12, 107.3956258e-6, -199.6367069e-6
-2.15625e-12, 141.92576e-6, -160.8926719e-6
-2.150390625e-12, 140.8501617e-6, -127.5981953e-6
-2.14453125e-12, 104.1533496e-6, -94.48784364e-6
-2.138671875e-12, 37.84044932e-6, -57.54245929e-6
-2.1328125e-12, -47.43955776e-6, -15.92492596e-6
-2.126953125e-12, -138.723552e-6, 27.11955073e-6
-2.12109375e-12, -223.4339138e-6, 64.67263045e-6
-2.115234375e-12, -291.782747e-6, 87.75036268e-6
-2.109375e-12, -338.2976898e-6, 87.65891787e-6
-2.103515625e-12, -362.124176e-6, 58.45066655e-6
-2.09765625e-12, -366.0990668e-6, -1.178581385e-6
-2.091796875e-12, -354.94023e-6, -87.04721942e-6
-2.0859375e-12, -333.1487376e-6, -189.9154539e-6
-2.080078125e-12, -303.291095e-6, -297.0776026e-6
-2.07421875e-12, -265.1922037e-6, -394.7314831e-6
-2.068359375e-12, -216.2700443e-6, -470.5546478e-6
-2.0625e-12, -152.8796013e-6, -515.8733073e-6
-2.056640625e-12, -72.22313021e-6, -526.9173215e-6
