; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.994140625e-12, -0.1649359458, -0.3549152907
-2.98828125e-12, -0.09678800767, -0.3842225647
-2.982421875e-12, -0.02374015744, -0.400408971
-2.9765625e-12, 0.05171174509, -0.4026913864
-2.970703125e-12, 0.1269541087, -0.3907639214
-2.96484375e-12, 0.1993417094, -0.3648137836
-2.958984375e-12, 0.2662869708, -0.3255206737
-2.953125e-12, 0.3253499223, -0.2740393716
-2.947265625e-12, 0.3743258529, -0.2119656791
-2.94140625e-12, 0.4113272734, -0.141286475
-2.935546875e-12, 0.4348566033, -0.06431528105
-2.9296875e-12, 0.4438660712, 0.01638459956
-2.923828125e-12, 0.437801712, 0.09808670417
-2.91796875e-12, 0.4166290572, 0.1779946173
-2.912109375e-12, 0.3808390916, 0.253338263
-2.90625e-12, 0.331434187, 0.3214696525
-2.900390625e-12, 0.2698949003, 0.3799545304
-2.89453125e-12, 0.1981295815, 0.426656624
-2.888671875e-12, 0.1184095457, 0.4598115946
-2.8828125e-12, 0.03329304904, 0.4780882869
-2.876953125e-12, -0.05445858316, 0.4806354255
-2.87109375e-12, -0.1419695295, 0.4671124853
-2.865234375e-12, -0.2263399976, 0.4377040431
-2.859375e-12, -0.3047364222, 0.3931174655
-2.853515625e-12, -0.3744794327, 0.3345642857
-2.84765625e-12, -0.4331278852, 0.2637260321
-2.841796875e-12, -0.4785572585, 0.1827056127
-2.8359375e-12, -0.5090305421, 0.09396562379
-2.830078125e-12, -0.5232595193, 255.1940282e-6
-2.82421875e-12, -0.5204541585, -0.0954727632
-2.818359375e-12, -0.5003578008, -0.190151734
-2.8125e-12, -0.4632660286, -0.2806967377
-2.806640625e-12, -0.4100275714, -0.364101608
-2.80078125e-12, -0.3420263411, -0.4375353658
-2.794921875e-12, -0.2611446104, -0.4984344729
-2.7890625e-12, -0.1697083871, -0.5445877838
-2.783203125e-12, -0.07041704484, -0.5742111957
-2.77734375e-12, 0.03373988948, -0.5860093535
-2.771484375e-12, 0.1395753018, -0.5792222631
-2.765625e-12, 0.2438026845, -0.5536552541
-2.759765625e-12, 0.3431363321, -0.5096913731
-2.75390625e-12, 0.4343902746, -0.4482859376
-2.748046875e-12, 0.5145732367, -0.3709436113
-2.7421875e-12, 0.5809774553, -0.279678922
-2.736328125e-12, 0.6312596333, -0.1769616235
-2.73046875e-12, 0.6635125809, -0.06564868414
-2.724609375e-12, 0.6763261417, 0.05109506284
-2.71875e-12, 0.6688359358, 0.1698853983
-2.712890625e-12, 0.6407583448, 0.2872140025
-2.70703125e-12, 0.5924101431, 0.3995481452
-2.701171875e-12, 0.5247113511, 0.5034322539
-2.6953125e-12, 0.4391702807, 0.5955887071
-2.689453125e-12, 0.3378503746, 0.6730150816
-2.68359375e-12, 0.2233192364, 0.7330749955
-2.677734375e-12, 0.09858113971, 0.7735797423
-2.671875e-12, -0.03300482608, 0.7928580936
-2.666015625e-12, -0.167818092, 0.7898119802
-2.66015625e-12, -0.30207803, 0.7639562464
-2.654296875e-12, -0.4319498557, 0.7154412165
-2.6484375e-12, -0.5536514995, 0.6450574307
-2.642578125e-12, -0.6635582733, 0.554222487
-2.63671875e-12, -0.7583026651, 0.4449504855
-2.630859375e-12, -0.8348671316, 0.3198050619
-2.625e-12, -0.8906682083, 0.1818373921
-2.619140625e-12, -0.9236305398, 0.03451089067
-2.61328125e-12, -0.93224951, -0.1183854315
-2.607421875e-12, -0.9156410965, -0.2728328072
-2.6015625e-12, -0.8735774344, -0.4246854596
-2.595703125e-12, -0.8065065431, -0.5697778604
-2.58984375e-12, -0.7155547998, -0.7040339819
-2.583984375e-12, -0.6025111225, -0.8235759062
-2.578125e-12, -0.4697924698, -0.9248290236
-2.572265625e-12, -0.3203910587, -1.004620989
-2.56640625e-12, -0.1578045836, -1.060271617
-2.560546875e-12, 0.01404845927, -1.089671046
-2.5546875e-12, 0.1909255788, -1.091343872
-2.548828125e-12, 0.3683660503, -1.064497356
-2.54296875e-12, 0.5418022965, -1.009052433
-2.537109375e-12, 0.7066736665, -0.9256568011
-2.53125e-12, 0.8585397117, -0.8156799213
-2.525390625e-12, 0.9931904561, -0.6811902418
-2.51953125e-12, 1.106751596, -0.5249153308
-2.513671875e-12, 1.195782868, -0.3501859223
-2.5078125e-12, 1.257367959, -0.160865122
-2.501953125e-12, 1.289194324, 0.03873573544
-2.49609375e-12, 1.289621113, 0.243952869
-2.490234375e-12, 1.257733242, 0.4498755285
-2.484375e-12, 1.193379614, 0.651458965
-2.478515625e-12, 1.09719364, 0.8436424668
-2.47265625e-12, 0.9705946435, 1.021469779
-2.466796875e-12, 0.8157694378, 1.180209063
-2.4609375e-12, 0.6356341924, 1.315469416
-2.455078125e-12, 0.4337775871, 1.423311003
-2.44921875e-12, 0.2143870249, 1.500345947
-2.443359375e-12, -0.0178397772, 1.543827438
-2.4375e-12, -0.2577952221, 1.551724891
-2.431640625e-12, -0.5000716368, 1.522783463
-2.42578125e-12, -0.7390779462, 1.456566688
-2.419921875e-12, -0.9691609139, 1.353481437
-2.4140625e-12, -1.184728849, 1.214784717
-2.408203125e-12, -1.380375774, 1.042572127
-2.40234375e-12, -1.551003996, 0.8397480186
-2.396484375e-12, -1.691942872, 0.609977672
-2.390625e-12, -1.799061267, 0.3576221569
-2.384765625e-12, -1.868870998, 0.08765691136
-2.37890625e-12, -1.898618364, -0.1944244692
-2.373046875e-12, -1.886361008, -0.4827193052
-2.3671875e-12, -1.831027633, -0.7710354515
-2.361328125e-12, -1.732458739, -1.053018855
-2.35546875e-12, -1.591427289, -1.322286248
-2.349609375e-12, -1.409639049, -1.572560113
-2.34375e-12, -1.18971308, -1.797803091
-2.337890625e-12, -0.9351433631, -1.992349081
