; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.994140625e-12, -28.81305538e-6, 52.99382839e-6
-2.98828125e-12, -25.12142364e-6, 51.0335023e-6
-2.982421875e-12, -19.91746183e-6, 50.66400221e-6
-2.9765625e-12, -14.3272158e-6, 52.18664026e-6
-2.970703125e-12, -9.451235144e-6, 55.2943841e-6
-2.96484375e-12, -6.068827794e-6, 59.17344936e-6
-2.958984375e-12, -4.432043004e-6, 62.73596345e-6
-2.953125e-12, -4.20148496e-6, 64.92237032e-6
-2.947265625e-12, -4.539426247e-6, 64.99482862e-6
-2.94140625e-12, -4.335269948e-6, 62.7456279e-6
-2.935546875e-12, -2.504577891e-6, 58.56682767e-6
-2.9296875e-12, 1.715752617e-6, 53.36312752e-6
-2.923828125e-12, 8.552379085e-6, 48.33020826e-6
-2.91796875e-12, 17.6160501e-6, 44.65522222e-6
-2.912109375e-12, 27.97856443e-6, 43.21602951e-6
-2.90625e-12, 38.38681206e-6, 44.35607439e-6
-2.900390625e-12, 47.55941029e-6, 47.79232256e-6
-2.89453125e-12, 54.49039323e-6, 52.67940923e-6
-2.888671875e-12, 58.68294475e-6, 57.81298457e-6
-2.8828125e-12, 60.2546166e-6, 61.91967193e-6
-2.876953125e-12, 59.88892552e-6, 63.95930282e-6
-2.87109375e-12, 58.64789086e-6, 63.36268876e-6
-2.865234375e-12, 57.69566467e-6, 60.14561477e-6
-2.859375e-12, 58.00574559e-6, 54.87238563e-6
-2.853515625e-12, 60.12759295e-6, 48.48161878e-6
-2.84765625e-12, 64.07190719e-6, 42.02275785e-6
-2.841796875e-12, 69.34179144e-6, 36.37453615e-6
-2.8359375e-12, 75.09801175e-6, 32.02031925e-6
-2.830078125e-12, 80.41108464e-6, 28.93899928e-6
-2.82421875e-12, 84.53040259e-6, 26.63839168e-6
