; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.994140625e-12, -109.9282815e-6, -127.0036808e-9
-2.98828125e-12, -106.2545946e-6, 6.456307769e-6
-2.982421875e-12, -102.0159471e-6, 14.01746458e-6
-2.9765625e-12, -97.64227673e-6, 22.51145508e-6
-2.970703125e-12, -93.50760733e-6, 31.68811494e-6
-2.96484375e-12, -89.83372824e-6, 41.15315674e-6
-2.958984375e-12, -86.64403615e-6, 50.47142685e-6
-2.953125e-12, -83.78074876e-6, 59.27689644e-6
-2.947265625e-12, -80.97788734e-6, 67.35155695e-6
-2.94140625e-12, -77.96079405e-6, 74.64846335e-6
-2.935546875e-12, -74.53631444e-6, 81.25397962e-6
-2.9296875e-12, -70.64041762e-6, 87.30759974e-6
-2.923828125e-12, -66.32889147e-6, 92.91177594e-6
-2.91796875e-12, -61.71669685e-6, 98.06768659e-6
-2.912109375e-12, -56.89292162e-6, 102.6615078e-6
-2.90625e-12, -51.8456363e-6, 106.5061665e-6
-2.900390625e-12, -46.42849222e-6, 109.4219875e-6
-2.89453125e-12, -40.38357249e-6, 111.3241908e-6
-2.888671875e-12, -33.41436641e-6, 112.2829317e-6
-2.8828125e-12, -25.2828002e-6, 112.5307846e-6
-2.876953125e-12, -15.89512257e-6, 112.4134283e-6
-2.87109375e-12, -5.345118918e-6, 112.2991087e-6
-2.865234375e-12, 6.101397485e-6, 112.4793872e-6
-2.859375e-12, 18.07509545e-6, 113.0950826e-6
-2.853515625e-12, 30.20004006e-6, 114.1133991e-6
-2.84765625e-12, 42.1841526e-6, 115.3613428e-6
-2.841796875e-12, 53.87211796e-6, 116.6011814e-6
-2.8359375e-12, 65.24416951e-6, 117.6172075e-6
-2.830078125e-12, 76.36546875e-6, 118.2810627e-6
-2.82421875e-12, 87.30915884e-6, 118.5713804e-6
-2.818359375e-12, 98.08574997e-6, 118.5428472e-6
-2.8125e-12, 108.608024e-6, 118.259483e-6
-2.806640625e-12, 118.7056964e-6, 117.7214315e-6
-2.80078125e-12, 128.1842595e-6, 116.8168576e-6
-2.794921875e-12, 136.9039226e-6, 115.3206569e-6
-2.7890625e-12, 144.8471578e-6, 112.9430272e-6
-2.783203125e-12, 152.1463893e-6, 109.411253e-6
-2.77734375e-12, 159.0599732e-6, 104.5545204e-6
-2.771484375e-12, 165.9031768e-6, 98.36035704e-6
-2.765625e-12, 172.9595543e-6, 90.98147764e-6
-2.759765625e-12, 180.4040705e-6, 82.69123881e-6
-2.75390625e-12, 188.2656172e-6, 73.80456439e-6
-2.748046875e-12, 196.4399736e-6, 64.59454633e-6
-2.7421875e-12, 204.7454151e-6, 55.23486199e-6
-2.736328125e-12, 212.9964518e-6, 45.7877025e-6
-2.73046875e-12, 221.0653886e-6, 36.23778053e-6
-2.724609375e-12, 228.9072356e-6, 26.55495396e-6
-2.71875e-12, 236.5395341e-6, 16.75678529e-6
-2.712890625e-12, 243.9873248e-6, 6.943206776e-6
-2.70703125e-12, 251.2186009e-6, -2.712475712e-6
-2.701171875e-12, 258.098981e-6, -12.01355068e-6
-2.6953125e-12, 264.3876169e-6, -20.81102073e-6
-2.689453125e-12, 269.7784936e-6, -29.06670962e-6
-2.68359375e-12, 273.9740069e-6, -36.8822545e-6
-2.677734375e-12, 276.7631427e-6, -44.48092157e-6
-2.671875e-12, 278.0757542e-6, -52.14810335e-6
-2.666015625e-12, 277.9923779e-6, -60.15233007e-6
-2.66015625e-12, 276.7077898e-6, -68.67603944e-6
-2.654296875e-12, 274.4630111e-6, -77.78080627e-6
-2.6484375e-12, 271.4736735e-6, -87.41738034e-6
-2.642578125e-12, 267.8813553e-6, -97.47262351e-6
-2.63671875e-12, 263.745591e-6, -107.8310652e-6
-2.630859375e-12, 259.0751333e-6, -118.4233533e-6
-2.625e-12, 253.8820704e-6, -129.2412052e-6
-2.619140625e-12, 248.2318341e-6, -140.3125588e-6
-2.61328125e-12, 242.2653335e-6, -151.649404e-6
-2.607421875e-12, 236.1812121e-6, -163.1916151e-6
-2.6015625e-12, 230.1837293e-6, -174.7735494e-6
-2.595703125e-12, 224.4169486e-6, -186.1300041e-6
-2.58984375e-12, 218.9119691e-6, -196.942509e-6
-2.583984375e-12, 213.5691965e-6, -206.9098431e-6
-2.578125e-12, 208.1836716e-6, -215.8166011e-6
-2.572265625e-12, 202.5036189e-6, -223.5743252e-6
-2.56640625e-12, 196.3000158e-6, -230.2210994e-6
-2.560546875e-12, 189.4202318e-6, -235.8818642e-6
-2.5546875e-12, 181.8071621e-6, -240.7081731e-6
-2.548828125e-12, 173.4796802e-6, -244.8223721e-6
-2.54296875e-12, 164.4868367e-6, -248.2893834e-6
-2.537109375e-12, 154.8592991e-6, -251.1250365e-6
-2.53125e-12, 144.5810226e-6, -253.3344325e-6
-2.525390625e-12, 133.5954898e-6, -254.9601356e-6
-2.51953125e-12, 121.8439831e-6, -256.1156149e-6
-2.513671875e-12, 109.3192113e-6, -256.986496e-6
-2.5078125e-12, 96.11006778e-6, -257.7958431e-6
-2.501953125e-12, 82.41620889e-6, -258.7460149e-6
-2.49609375e-12, 68.52389347e-6, -259.9601252e-6
-2.490234375e-12, 54.7506296e-6, -261.4465321e-6
-2.484375e-12, 41.3790289e-6, -263.1004502e-6
-2.478515625e-12, 28.60486979e-6, -264.7414671e-6
-2.47265625e-12, 16.51785487e-6, -266.1705283e-6
-2.466796875e-12, 5.119150817e-6, -267.2232196e-6
-2.4609375e-12, -5.634797158e-6, -267.7983638e-6
-2.455078125e-12, -15.78449252e-6, -267.8526941e-6
-2.44921875e-12, -25.33710797e-6, -267.3685509e-6
-2.443359375e-12, -34.26711511e-6, -266.3122908e-6
-2.4375e-12, -42.54608536e-6, -264.6065411e-6
-2.431640625e-12, -50.18583459e-6, -262.1312566e-6
-2.42578125e-12, -57.27333088e-6, -258.7561109e-6
