; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.994140625e-12, -596.6640482e-6, 194.0619307e-6
-2.98828125e-12, -579.834479e-6, 235.5970262e-6
-2.982421875e-12, -563.0076001e-6, 278.1275627e-6
-2.9765625e-12, -546.7229578e-6, 320.4311622e-6
-2.970703125e-12, -530.9898699e-6, 361.1749978e-6
-2.96484375e-12, -515.2967381e-6, 399.1645281e-6
-2.958984375e-12, -498.7319104e-6, 433.5612913e-6
-2.953125e-12, -480.1887142e-6, 464.0226378e-6
-2.947265625e-12, -458.6091945e-6, 490.7342201e-6
-2.94140625e-12, -433.2130503e-6, 514.3294356e-6
-2.935546875e-12, -403.6613237e-6, 535.7152112e-6
-2.9296875e-12, -370.1196026e-6, 555.8446019e-6
-2.923828125e-12, -333.208315e-6, 575.488188e-6
-2.91796875e-12, -293.853618e-6, 595.0567523e-6
-2.912109375e-12, -253.075746e-6, 614.5144915e-6
-2.90625e-12, -211.7652022e-6, 633.400789e-6
-2.900390625e-12, -170.499467e-6, 650.9526084e-6
-2.89453125e-12, -129.4421211e-6, 666.29603e-6
-2.888671875e-12, -88.34630005e-6, 678.6607335e-6
-2.8828125e-12, -46.66000788e-6, 687.5657465e-6
-2.876953125e-12, -3.706964241e-6, 692.9328528e-6
-2.87109375e-12, 41.10065498e-6, 695.1007387e-6
-2.865234375e-12, 88.06895392e-6, 694.7361448e-6
-2.859375e-12, 137.0954611e-6, 692.6633895e-6
-2.853515625e-12, 187.6402649e-6, 689.6524136e-6
-2.84765625e-12, 238.8034606e-6, 686.2167334e-6
-2.841796875e-12, 289.4914841e-6, 682.4702704e-6
-2.8359375e-12, 338.6336635e-6, 678.0779669e-6
-2.830078125e-12, 385.3977374e-6, 672.3130999e-6
-2.82421875e-12, 429.3540375e-6, 664.2079892e-6
-2.818359375e-12, 470.5499707e-6, 652.7636261e-6
-2.8125e-12, 509.4776406e-6, 637.1698232e-6
-2.806640625e-12, 546.9424096e-6, 616.9853621e-6
-2.80078125e-12, 583.8624539e-6, 592.2372415e-6
-2.794921875e-12, 621.0459281e-6, 563.4164764e-6
-2.7890625e-12, 658.9969662e-6, 531.3724529e-6
-2.783203125e-12, 697.7950641e-6, 497.1313103e-6
-2.77734375e-12, 737.0750792e-6, 461.6818972e-6
-2.771484375e-12, 776.1101757e-6, 425.7802406e-6
-2.765625e-12, 813.9759889e-6, 389.8182966e-6
-2.759765625e-12, 849.7542235e-6, 353.7864943e-6
-2.75390625e-12, 882.7256494e-6, 317.3358266e-6
-2.748046875e-12, 912.5062689e-6, 279.921216e-6
-2.7421875e-12, 939.0949668e-6, 240.9882201e-6
-2.736328125e-12, 962.8236324e-6, 200.1557838e-6
-2.73046875e-12, 984.2240555e-6, 157.3492361e-6
-2.724609375e-12, 1.00384657e-3, 112.850364e-6
-2.71875e-12, 1.022077123e-3, 67.25241812e-6
-2.712890625e-12, 1.038999756e-3, 21.33123214e-6
-2.70703125e-12, 1.054340501e-3, -24.13447008e-6
-2.701171875e-12, 1.067507829e-3, -68.54774361e-6
-2.6953125e-12, 1.077720645e-3, -111.635437e-6
-2.689453125e-12, 1.084191938e-3, -153.5103016e-6
-2.68359375e-12, 1.086322335e-3, -194.6367386e-6
-2.677734375e-12, 1.08385499e-3, -235.7073562e-6
-2.671875e-12, 1.076953129e-3, -277.4603522e-6
-2.666015625e-12, 1.06618069e-3, -320.4818694e-6
-2.66015625e-12, 1.052389853e-3, -365.0412048e-6
-2.654296875e-12, 1.036542348e-3, -410.9990992e-6
-2.6484375e-12, 1.019507031e-3, -457.8112807e-6
-2.642578125e-12, 1.001882583e-3, -504.6265738e-6
-2.63671875e-12, 983.887834e-6, -550.4553304e-6
-2.630859375e-12, 965.3451729e-6, -594.3666783e-6
-2.625e-12, 945.7597255e-6, -635.6660706e-6
-2.619140625e-12, 924.4720655e-6, -674.0100246e-6
-2.61328125e-12, 900.8448254e-6, -709.4315431e-6
-2.607421875e-12, 874.4352727e-6, -742.2728199e-6
-2.6015625e-12, 845.1109022e-6, -773.0455205e-6
-2.595703125e-12, 813.0807376e-6, -802.256471e-6
-2.58984375e-12, 778.8365316e-6, -830.2449374e-6
-2.583984375e-12, 743.0215923e-6, -857.0734903e-6
-2.578125e-12, 706.2629268e-6, -882.5006189e-6
-2.572265625e-12, 669.01184e-6, -906.041618e-6
-2.56640625e-12, 631.435867e-6, -927.1010324e-6
-2.560546875e-12, 593.3911933e-6, -945.1412934e-6
-2.5546875e-12, 554.4836587e-6, -959.8417456e-6
-2.548828125e-12, 514.2025314e-6, -971.2050153e-6
-2.54296875e-12, 472.0917786e-6, -979.5811252e-6
-2.537109375e-12, 427.913413e-6, -985.6016243e-6
-2.53125e-12, 381.7597488e-6, -990.0399317e-6
-2.525390625e-12, 334.0845255e-6, -993.6327877e-6
-2.51953125e-12, 285.6441371e-6, -996.9082512e-6
-2.513671875e-12, 237.3628113e-6, -1.000063543e-3
-2.5078125e-12, 190.1552957e-6, -1.002923712e-3
-2.501953125e-12, 144.7513245e-6, -1.004991405e-3
-2.49609375e-12, 101.5655284e-6, -1.005574816e-3
-2.490234375e-12, 60.64502494e-6, -1.003960894e-3
-2.484375e-12, 21.70624469e-6, -999.5892858e-6
-2.478515625e-12, -15.75047332e-6, -992.182678e-6
-2.47265625e-12, -52.28048651e-6, -981.8012759e-6
-2.466796875e-12, -88.33207625e-6, -968.809923e-6
-2.4609375e-12, -124.123947e-6, -953.7695994e-6
-2.455078125e-12, -159.5941937e-6, -937.2849968e-6
-2.44921875e-12, -194.4315391e-6, -919.8504761e-6
-2.443359375e-12, -228.1777832e-6, -901.7363772e-6
-2.4375e-12, -260.3709622e-6, -882.9460257e-6
-2.431640625e-12, -290.6883317e-6, -863.2539769e-6
-2.42578125e-12, -319.0483416e-6, -842.3142453e-6
-2.419921875e-12, -345.6422124e-6, -819.8073013e-6
-2.4140625e-12, -370.8851314e-6, -795.584285e-6
-2.408203125e-12, -395.2995774e-6, -769.7667126e-6
-2.40234375e-12, -419.3627045e-6, -742.7724253e-6
-2.396484375e-12, -443.3598074e-6, -715.2587618e-6
-2.390625e-12, -467.2848468e-6, -687.996739e-6
-2.384765625e-12, -490.8159284e-6, -661.7092412e-6
-2.37890625e-12, -513.3735668e-6, -636.9157298e-6
-2.373046875e-12, -534.2472478e-6, -613.8245797e-6
-2.3671875e-12, -552.7574059e-6, -592.3011107e-6
-2.361328125e-12, -568.4110258e-6, -571.9195362e-6
-2.35546875e-12, -581.0101899e-6, -552.0847794e-6
-2.349609375e-12, -590.6862163e-6, -532.1915582e-6
-2.34375e-12, -597.8514704e-6, -511.7785881e-6
-2.337890625e-12, -603.0838805e-6, -490.6371179e-6
-2.33203125e-12, -606.9770106e-6, -468.846637e-6
-2.326171875e-12, -609.997612e-6, -446.730542e-6
-2.3203125e-12, -612.3896286e-6, -424.7475679e-6
-2.314453125e-12, -614.1495155e-6, -403.3517611e-6
-2.30859375e-12, -615.077304e-6, -382.8621295e-6
-2.302734375e-12, -614.8860578e-6, -363.3790726e-6
-2.296875e-12, -613.3364416e-6, -344.7707233e-6
-2.291015625e-12, -610.356187e-6, -326.7323162e-6
-2.28515625e-12, -606.108752e-6, -308.900537e-6
-2.279296875e-12, -600.99008e-6, -290.9892223e-6
-2.2734375e-12, -595.5527193e-6, -272.9061053e-6
-2.267578125e-12, -590.3780195e-6, -254.8155607e-6
-2.26171875e-12, -585.9319352e-6, -237.1275035e-6
-2.255859375e-12, -582.4458149e-6, -220.4136017e-6
