# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
7.099999999999991314e-07	1.449392247308012083e+00	-9.516224521918734733e-11	7.244444792128376545e-12	1.449518091638557049e+00	-5.695510882994370246e-11	7.353392299471934993e-12
7.299999999999991517e-07	1.448652187420687909e+00	-1.290959644406070803e-10	7.265330556334447769e-12	1.448789330404832043e+00	-6.917120917641814581e-11	7.377759823911662714e-12
7.499999999999991720e-07	1.447929050254660899e+00	-1.738856001174366925e-10	7.286332339472993226e-12	1.448078072567726027e+00	-8.360719135097475973e-11	7.402180029502764817e-12
7.699999999999991922e-07	1.447220027727335045e+00	-2.257934189894555596e-10	7.307450819178383224e-12	1.447381519870523103e+00	-1.018918044446821296e-10	7.426655993627630676e-12
7.899999999999992125e-07	1.446522679580309889e+00	-2.881588870738132557e-10	7.328686628302325550e-12	1.446697241749574925e+00	-1.247415437652584851e-10	7.451190619130170304e-12
8.099999999999992328e-07	1.445834877608104918e+00	-3.629410356194265492e-10	7.350040364058869785e-12	1.446023119561455017e+00	-1.503545634414582606e-10	7.475786645913946364e-12
8.299999999999992531e-07	1.445154759540842937e+00	-4.470086933427149683e-10	7.371512596003667758e-12	1.445357300463721906e+00	-1.808036853627724780e-10	7.500446662496430063e-12
8.499999999999992733e-07	1.444480690710209903e+00	-5.489014621253512763e-10	7.393103873014245389e-12	1.444698159078704913e+00	-2.162027001703618231e-10	7.525173117356520066e-12
8.699999999999992936e-07	1.443811232027621072e+00	-6.636916286137468639e-10	7.414814729413888950e-12	1.444044265469353050e+00	-2.573732148658992499e-10	7.549968329958808257e-12
8.899999999999993139e-07	1.443145113110124944e+00	-7.931979144111757493e-10	7.436645690361253441e-12	1.443394358262721999e+00	-3.068017478222316653e-10	7.574834501373552914e-12
9.099999999999993341e-07	1.442481209626609973e+00	-9.396416478386401138e-10	7.458597276610769238e-12	1.442747321993764986e+00	-3.613267514402817440e-10	7.599773724439639427e-12
9.299999999999993544e-07	1.441818524121291079e+00	-1.104547430622861422e-09	7.480670008733945099e-12	1.442102167926404110e+00	-4.218209420775569047e-10	7.624787993439071492e-12
9.499999999999993747e-07	1.441156169715883006e+00	-1.287873796684868959e-09	7.502864410879795844e-12	1.441458017753358911e+00	-4.914420100238915304e-10	7.649879213267697990e-12
9.699999999999993949e-07	1.440493356205746034e+00	-1.486449072988414298e-09	7.525181014141296203e-12	1.440814089689999022e+00	-5.676759535740906756e-10	7.675049208099837820e-12
9.899999999999994152e-07	1.439829378155345951e+00	-1.707552485419723197e-09	7.547620359585441946e-12	1.440169686567621010e+00	-6.544032264544961174e-10	7.700299729552106640e-12
1.009999999999999435e-06	1.439163604670463004e+00	-1.944467493174680100e-09	7.570183000997631594e-12	1.439524185603568096e+00	-7.465938965993269182e-10	7.725632464360551217e-12
1.029999999999999456e-06	1.438495470581931057e+00	-2.202099147916980354e-09	7.592869507382167169e-12	1.438877029582976919e+00	-8.483039253340443451e-10	7.751049041587549374e-12
1.049999999999999476e-06	1.437824468822265001e+00	-2.476840864923343442e-09	7.615680465257365357e-12	1.438227719233521995e+00	-9.577878799444706672e-10	7.776551039379731805e-12
1.069999999999999496e-06	1.437150143813870962e+00	-2.771094301753999181e-09	7.638616480776075398e-12	1.437575806611852913e+00	-1.076498519759916182e-09	7.802139991299674850e-12
1.089999999999999517e-06	1.436472085718093927e+00	-3.077194983703309993e-09	7.661678181700044500e-12	1.436920889350947972e+00	-1.202169193070375843e-09	7.827817392254526894e-12
1.109999999999999537e-06	1.435789925419242996e+00	-3.405927467004424704e-09	7.684866219251463088e-12	1.436262605642560031e+00	-1.333477806919403205e-09	7.853584704046522756e-12
1.129999999999999557e-06	1.435103330138020938e+00	-3.736046171064784766e-09	7.708181269862278936e-12	1.435600629849135945e+00	-1.476408977566970111e-09	7.879443360568934864e-12
1.149999999999999577e-06	1.434411999585704978e+00	-4.083427783308939447e-09	7.731624036839069398e-12	1.434934668656570933e+00	-1.623647799013942388e-09	7.905394772670856530e-12
1.169999999999999598e-06	1.433715662584164052e+00	-4.436512910387631262e-09	7.755195251958336770e-12	1.434264457692866923e+00	-1.774331680341574567e-09	7.931440332714148021e-12
1.189999999999999618e-06	1.433014074088311052e+00	-4.797295299341554016e-09	7.778895677005668457e-12	1.433589758549290938e+00	-1.934194030505166934e-09	7.957581418843842102e-12
1.209999999999999638e-06	1.432307012557245907e+00	2.220460424479922645e-11	7.802726105247166886e-12	1.432910356150260967e+00	2.583433282895488123e-12	7.983819399011070701e-12
1.229999999999999658e-06	1.431594277628120970e+00	3.277749058813385769e-12	7.826687362975862039e-12	1.432226056426016969e+00	1.779184175790450325e-12	8.010155634662313061e-12
1.249999999999999679e-06	1.430875688053711015e+00	2.471378431275732365e-11	7.850780310815773006e-12	1.431536684249014035e+00	5.284514516711692524e-13	8.036591484372948142e-12
1.269999999999999699e-06	1.430151079870034092e+00	-8.162549840647969609e-12	7.875005845216007806e-12	1.430842081600403048e+00	-1.712211633242064136e-11	8.063128307102089156e-12
1.289999999999999719e-06	1.429420304765262051e+00	-3.743519225161473636e-12	7.899364899828901223e-12	1.430142105937804997e+00	-4.167823310445306986e-12	8.089767465336348118e-12
1.309999999999999740e-06	1.428683228625144075e+00	2.775527314224802169e-11	7.923858446899201633e-12	1.429436628739626958e+00	2.272630540420185627e-11	8.116510328037705590e-12
1.329999999999999760e-06	1.427939730233465099e+00	5.376125626031247375e-12	7.948487498650186605e-12	1.428725534204396963e+00	5.043432650073398510e-13	8.143358273426391839e-12
