# 2022-03-21_13.35.40
# shape = sech2
# FWHM_ps = 0.25
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 4000
# GDD = 0.0
# propa_len = 0.18999999999999997
# untap_len = 0.01
# taper_len = 0.13
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.2
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 13000
# 
# wavelength [nm]	 power spectral density [dB]
1000.248639	-118.899167
1000.582480	-121.487474
1000.916545	-120.094118
1001.250832	-118.053744
1001.585343	-120.334182
1001.920077	-120.916435
1002.255035	-117.733860
1002.590218	-119.161812
1002.925624	-121.245093
1003.261255	-117.789087
1003.597111	-118.067509
1003.933192	-121.134030
1004.269497	-118.222708
1004.606029	-117.430343
1004.942785	-120.323225
1005.279768	-118.497138
1005.616977	-117.021603
1005.954412	-119.178235
1006.292074	-118.932934
1006.629962	-117.068030
1006.968077	-118.185322
1007.306420	-118.530111
1007.644990	-117.234333
1007.983787	-117.867567
1008.322813	-117.817309
1008.662067	-117.029220
1009.001549	-117.774467
1009.341259	-117.344407
1009.681199	-116.510151
1010.021367	-117.524119
1010.361765	-117.280600
1010.702392	-116.127095
1011.043250	-117.143196
1011.384337	-117.140407
1011.725654	-115.775257
1012.067202	-116.399063
1012.408980	-116.900044
1012.750989	-115.886558
1013.093230	-116.044503
1013.435702	-116.313937
1013.778405	-115.657058
1014.121341	-115.841721
1014.464508	-115.791157
1014.807908	-115.525841
1015.151540	-115.567689
1015.495405	-115.074451
1015.839503	-115.302604
1016.183835	-115.627180
1016.528400	-114.418018
1016.873198	-114.818024
1017.218231	-115.935603
1017.563498	-113.813035
1017.908999	-113.950866
1018.254735	-116.288029
1018.600707	-113.641253
1018.946913	-113.151757
1019.293354	-116.257403
1019.640032	-113.439840
1019.986945	-112.416832
1020.334094	-115.963552
1020.681480	-113.359444
1021.029102	-111.795762
1021.376961	-115.541072
1021.725058	-113.532139
1022.073391	-111.266262
1022.421962	-114.694891
1022.770772	-113.615283
1023.119819	-111.151188
1023.469104	-114.274117
1023.818628	-113.135294
1024.168391	-110.922460
1024.518393	-113.861805
1024.868634	-112.719915
1025.219115	-110.697737
1025.569836	-113.858268
1025.920796	-112.180151
1026.271997	-110.181560
1026.623438	-113.784990
1026.975121	-111.708165
1027.327044	-109.751687
1027.679208	-113.692455
1028.031614	-111.389584
1028.384262	-109.371464
1028.737152	-113.301813
1029.090284	-111.023373
1029.443659	-108.967095
1029.797276	-112.999943
1030.151137	-110.760277
1030.505240	-108.698628
1030.859587	-112.585293
1031.214178	-110.380312
1031.569013	-108.400400
1031.924093	-111.920781
1032.279417	-110.199201
1032.634985	-108.405488
1032.990799	-111.365154
1033.346858	-109.656252
1033.703162	-108.348322
1034.059712	-110.959379
1034.416509	-109.177126
1034.773551	-108.332777
1035.130841	-110.320861
1035.488377	-108.647984
1035.846160	-108.486800
1036.204190	-109.725461
1036.562468	-107.992015
1036.920994	-108.520141
1037.279768	-109.266985
1037.638790	-107.451878
1037.998061	-108.450329
1038.357581	-108.830774
1038.717350	-106.998010
1039.077368	-108.250231
1039.437636	-108.432555
1039.798154	-106.713357
1040.158922	-107.905706
1040.519940	-107.899139
1040.881209	-106.582533
1041.242729	-107.553591
1041.604501	-107.309717
1041.966524	-106.611927
1042.328798	-107.215644
1042.691325	-106.613308
1043.054103	-106.597004
1043.417135	-106.905184
1043.780419	-106.105193
1044.143956	-106.515522
1044.507746	-106.371963
1044.871791	-105.723754
1045.236088	-106.546310
1045.600641	-105.813528
1045.965447	-105.314253
1046.330508	-106.378247
1046.695824	-105.394696
1047.061395	-105.143059
1047.427222	-106.042270
1047.793304	-104.959988
1048.159642	-105.063280
1048.526237	-105.582240
1048.893088	-104.575425
1049.260196	-105.001242
1049.627561	-104.997162
1049.995183	-104.332108
1050.363063	-104.940631
1050.731201	-104.275225
1051.099597	-104.239684
1051.468251	-104.898701
1051.837164	-103.512349
1052.206336	-104.154463
1052.575767	-104.671697
1052.945458	-102.896023
1053.315409	-104.210818
1053.685619	-104.147417
1054.056090	-102.337665
1054.426821	-104.263165
1054.797814	-103.565052
1055.169067	-102.092551
1055.540582	-104.231763
1055.912359	-102.767385
1056.284398	-102.036670
1056.656698	-104.059708
1057.029262	-101.956327
1057.402088	-102.076837
1057.775177	-103.595147
1058.148530	-101.340383
1058.522146	-102.320771
1058.896027	-102.845646
1059.270171	-100.870035
1059.644580	-102.621965
1060.019254	-101.841164
1060.394193	-100.464716
1060.769397	-102.770353
1061.144867	-101.023157
1061.520602	-100.431855
1061.896604	-102.643545
1062.272872	-100.197516
1062.649407	-100.469651
1063.026210	-102.048330
1063.403279	-99.591549
1063.780616	-100.676332
1064.158221	-101.316421
1064.536094	-99.262332
1064.914235	-100.775208
1065.292645	-100.325172
1065.671325	-99.076392
1066.050273	-100.709735
1066.429491	-99.592225
1066.808979	-99.144013
1067.188738	-100.204376
1067.568766	-98.932882
1067.949066	-99.320789
1068.329636	-99.495187
1068.710478	-98.491598
1069.091592	-99.448674
1069.472977	-98.753531
1069.854635	-98.241659
1070.236565	-99.244203
1070.618768	-98.073191
1071.001243	-98.242247
1071.383993	-98.803436
1071.767016	-97.504264
1072.150313	-98.229833
1072.533884	-98.167614
1072.917730	-97.233150
1073.301850	-98.113615
1073.686246	-97.357202
1074.070917	-97.129421
1074.455864	-97.806477
1074.841087	-96.723176
1075.226586	-97.148979
1075.612362	-97.145313
1075.998415	-96.278351
1076.384745	-97.151125
1076.771353	-96.341335
1077.158238	-96.075001
1077.545401	-96.938011
1077.932843	-95.619101
1078.320564	-96.077909
1078.708564	-96.302584
1079.096842	-95.059074
1079.485401	-96.191061
1079.874240	-95.504133
1080.263358	-94.767868
1080.652757	-95.993924
1081.042438	-94.717635
1081.432399	-94.802467
1081.822641	-95.395482
1082.213166	-94.131486
1082.603972	-94.888948
1082.995061	-94.544593
1083.386433	-93.906833
1083.778087	-94.677590
1084.170025	-93.709152
1084.562246	-93.985996
1084.954751	-94.074411
1085.347541	-93.181918
1085.740615	-94.013925
1086.133973	-93.219016
1086.527617	-93.084062
1086.921546	-93.702263
1087.315761	-92.506298
1087.710262	-93.183209
1088.105050	-92.927919
1088.500124	-92.251394
1088.895485	-93.140251
1089.291134	-92.022819
1089.687070	-92.377042
1090.083294	-92.579577
1090.479806	-91.495712
1090.876607	-92.569918
1091.273696	-91.597774
1091.671075	-91.512300
1092.068744	-92.298468
1092.466702	-90.801485
1092.864950	-91.863810
1093.263489	-91.327025
1093.662319	-90.586804
1094.061440	-91.974611
1094.460852	-90.294196
1094.860555	-90.884843
1095.260551	-91.211251
1095.660840	-89.841894
1096.061421	-91.235547
1096.462295	-90.035762
1096.863462	-89.991723
1097.264923	-90.785404
1097.666678	-89.354005
1098.068727	-90.414490
1098.471071	-89.604504
1098.873710	-89.325549
1099.276644	-90.241373
1099.679874	-88.722309
1100.083400	-89.713659
1100.487222	-89.160680
1100.891340	-88.543694
1101.295756	-89.687088
1101.700468	-88.142471
1102.105478	-88.919384
1102.510787	-88.677357
1102.916393	-87.815905
1103.322298	-89.022832
1103.728502	-87.563287
1104.135005	-88.142594
1104.541807	-88.097768
1104.948909	-87.108447
1105.356312	-88.339807
1105.764015	-86.934158
1106.172019	-87.355061
1106.580324	-87.515605
1106.988931	-86.393225
1107.397840	-87.592202
1107.807051	-86.329726
1108.216564	-86.571946
1108.626380	-86.903027
1109.036500	-85.710497
1109.446923	-86.778488
1109.857649	-85.803380
1110.268680	-85.818613
1110.680016	-86.148550
1111.091657	-85.204095
1111.503602	-85.967404
1111.915854	-85.145437
1112.328411	-85.250630
1112.741275	-85.371037
1113.154445	-84.635631
1113.567922	-85.272204
1113.981706	-84.487188
1114.395798	-84.672989
1114.810198	-84.650705
1115.224906	-84.086505
1115.639923	-84.576039
1116.055249	-83.874288
1116.470884	-84.119214
1116.886829	-83.936004
1117.303084	-83.552035
1117.719650	-83.909831
1118.136526	-83.294239
1118.553713	-83.534007
1118.971212	-83.247108
1119.389022	-83.069927
1119.807145	-83.209321
1120.225580	-82.714747
1120.644328	-82.965462
1121.063389	-82.581814
1121.482763	-82.548537
1121.902452	-82.490783
1122.322454	-82.217634
1122.742771	-82.284891
1123.163404	-81.926510
1123.584351	-82.077349
1124.005614	-81.681986
1124.427193	-81.715185
1124.849089	-81.615310
1125.271301	-81.239284
1125.693830	-81.519089
1126.116677	-80.931856
1126.539842	-81.171638
1126.963324	-80.843288
1127.387126	-80.631016
1127.811246	-80.862853
1128.235685	-80.176065
1128.660444	-80.594109
1129.085522	-80.053364
1129.510922	-80.062758
1129.936641	-80.050514
1130.362682	-79.516062
1130.789044	-79.985858
1131.215728	-79.201386
1131.642734	-79.526166
1132.070063	-79.230397
1132.497714	-78.903599
1132.925689	-79.240046
1133.353987	-78.484235
1133.782610	-78.976336
1134.211556	-78.353388
1134.640827	-78.408100
1135.070424	-78.435680
1135.500345	-77.845830
1135.930593	-78.369916
1136.361166	-77.565340
1136.792067	-77.947734
1137.223294	-77.600863
1137.654848	-77.324257
1138.086730	-77.681662
1138.518940	-76.907049
1138.951479	-77.434204
1139.384346	-76.816346
1139.817543	-76.897808
1140.251069	-76.896020
