# 2020-05-14_15.24.22
# shape = Gauss
# FWHM_ps = 0.1
# carrier_nm = 1550
# frep_MHz = 100
# pow_mW = 150
# GDD = 0.0
# propa_len = 0.15
# untap_len = 0.005
# taper_len = 0.08
# waist_len = 0.04
# uptap_len = 0.08
# untap_scale = 1.0
# waist_scale = 0.15
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 11000
# 
# wavelength [nm]	 power spectral density [dB]
403.318464	-33.120752
403.372731	-34.548119
403.427012	-36.416861
403.481308	-35.895137
403.535619	-34.348819
403.589944	-35.343636
403.644284	-35.573437
403.698638	-35.827379
403.753007	-36.089065
403.807391	-35.763738
403.861790	-35.176156
403.916203	-35.463798
403.970630	-36.307026
404.025073	-35.670654
404.079530	-34.726442
404.134002	-35.291600
404.188488	-37.238378
404.242989	-34.914696
404.297505	-35.675802
404.352036	-36.782528
404.406581	-36.169325
404.461141	-35.023132
404.515716	-35.656124
404.570305	-37.738430
404.624909	-35.943753
404.679528	-34.277832
404.734162	-36.216970
404.788810	-37.736742
404.843474	-35.414759
404.898152	-34.443847
404.952844	-35.877763
405.007552	-37.606213
405.062274	-35.592470
405.117011	-35.317399
405.171763	-37.075783
405.226530	-36.294740
405.281311	-35.640919
405.336107	-35.919210
405.390919	-36.132505
405.445745	-36.320029
405.500585	-35.173605
405.555441	-36.440273
405.610311	-36.264032
405.665197	-34.819063
405.720097	-35.720227
405.775012	-37.002770
405.829942	-36.117970
405.884886	-35.503941
405.939846	-35.344711
405.994821	-37.803022
406.049810	-35.684775
406.104814	-34.909810
406.159834	-36.608899
406.214868	-36.986660
406.269917	-35.132103
406.324981	-34.722448
406.380060	-35.698066
406.435153	-37.247416
406.490262	-35.051614
406.545386	-35.036010
406.600525	-36.701936
406.655678	-36.763316
406.710847	-35.189724
406.766030	-35.214859
406.821229	-36.612967
406.876442	-36.515930
406.931671	-35.562168
406.986914	-35.107260
407.042173	-35.801586
407.097446	-35.903301
407.152735	-34.569000
407.208039	-35.220259
407.263357	-35.400106
407.318691	-35.834411
407.374039	-35.110650
407.429403	-34.380250
407.484782	-36.266045
407.540176	-35.629865
407.595584	-35.298840
407.651008	-34.510489
407.706447	-36.189645
407.761901	-35.411535
407.817371	-34.718933
407.872855	-34.209293
407.928354	-35.333325
407.983869	-35.517510
408.039398	-34.373401
408.094943	-34.060610
408.150503	-34.866354
408.206078	-35.239026
408.261668	-34.331188
408.317273	-33.998023
408.372893	-35.008433
408.428529	-35.607170
408.484180	-35.008571
408.539846	-33.967097
408.595527	-34.410451
408.651223	-34.965404
408.706934	-34.384678
408.762661	-34.298362
408.818403	-33.407535
408.874160	-34.603244
