# 2020-05-14_15.33.26
# shape = Gauss
# FWHM_ps = 0.1
# carrier_nm = 1550
# frep_MHz = 100
# pow_mW = 150
# GDD = 0.0
# propa_len = 0.15
# untap_len = 0.005
# taper_len = 0.08
# waist_len = 0.04
# uptap_len = 0.08
# untap_scale = 1.0
# waist_scale = 0.2
# workingDir = NL_20110305_12 (Spirou)
# axis = fast
# window_ps = 10.0
# steps = 200
# points = 11000
# 
# wavelength [nm]	 power spectral density [dB]
403.318464	-197.942825
403.372731	-197.618339
403.427012	-199.562808
403.481308	-192.680551
403.535619	-189.670258
403.589944	-205.863244
403.644284	-189.574860
403.698638	-200.471151
403.753007	-198.963275
403.807391	-202.277754
403.861790	-193.603705
403.916203	-186.908277
403.970630	-189.340404
404.025073	-195.439575
404.079530	-191.502428
404.134002	-194.288638
404.188488	-197.098530
404.242989	-206.282946
404.297505	-186.832247
404.352036	-190.056985
404.406581	-193.198820
404.461141	-187.474759
404.515716	-190.645855
404.570305	-196.834011
404.624909	-194.475022
404.679528	-192.546319
404.734162	-187.422264
404.788810	-192.043094
404.843474	-190.175830
404.898152	-193.880895
404.952844	-199.616479
405.007552	-194.441544
405.062274	-190.747388
405.117011	-193.425553
405.171763	-191.992942
405.226530	-195.512745
405.281311	-194.565057
405.336107	-196.652278
405.390919	-191.563873
405.445745	-190.663903
405.500585	-194.216957
405.555441	-188.119754
405.610311	-196.296155
405.665197	-191.669411
405.720097	-200.732525
405.775012	-206.542428
405.829942	-203.856123
405.884886	-190.828057
405.939846	-192.266676
405.994821	-190.718531
406.049810	-205.995066
406.104814	-194.202162
406.159834	-193.465735
406.214868	-196.285660
406.269917	-194.014339
406.324981	-191.907628
406.380060	-190.183938
406.435153	-187.824425
406.490262	-198.481303
406.545386	-200.451665
406.600525	-203.172946
406.655678	-194.863294
406.710847	-193.223917
406.766030	-195.257450
406.821229	-191.128228
406.876442	-196.129912
406.931671	-194.340644
406.986914	-196.992347
407.042173	-198.126014
407.097446	-192.945739
407.152735	-191.027820
407.208039	-190.455946
407.263357	-191.152428
407.318691	-199.485541
407.374039	-213.134577
407.429403	-199.609729
407.484782	-202.574858
407.540176	-198.477997
407.595584	-190.881648
407.651008	-192.020258
407.706447	-200.207986
407.761901	-202.062102
407.817371	-193.885401
407.872855	-209.558881
407.928354	-197.897353
407.983869	-209.739744
408.039398	-200.089937
408.094943	-189.474285
