# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
3.599999999999993061e-07	1.469762018543508075e+00	-8.751271758971962341e-13	1.933430602948680492e-12	1.469867303013929982e+00	-1.396623744100269270e-05	1.957669699710030288e-12
3.799999999999993264e-07	1.466345391980871993e+00	-2.700116906349212263e-14	1.946166469216952904e-12	1.466474379452326060e+00	5.320483931181860766e-11	1.973156563170154914e-12
3.999999999999993466e-07	1.463336567442192093e+00	-3.900704602208221511e-13	1.959008665541389011e-12	1.463491940880428999e+00	3.990279389345480520e-07	1.988891247563925969e-12
4.199999999999993669e-07	1.460646263656879995e+00	4.754134410105103495e-12	1.972091495244112940e-12	1.460830723083748950e+00	-4.295759451267032054e-08	2.004644625549824765e-12
4.399999999999993872e-07	1.458207274251061003e+00	3.445156306994608764e-11	1.985344115215093589e-12	1.458423599933003079e+00	-5.324089487813603617e-08	2.020457642927498238e-12
4.599999999999994074e-07	1.455968297072228967e+00	1.950728388772168469e-10	1.998802534534730146e-12	1.456219338317831902e+00	-5.973521228844792484e-08	2.036385236538645327e-12
4.799999999999994277e-07	1.453889539844831047e+00	8.605571521196944656e-10	2.012465598911384362e-12	1.454178240783797094e+00	-5.526574921594610279e-08	2.052461926750259470e-12
4.999999999999994480e-07	1.451939789046867046e+00	3.031845554737707003e-10	2.026354644863794857e-12	1.452269074712255970e+00	-6.928559198449850774e-08	2.068650216811056333e-12
5.199999999999994682e-07	1.450094244589376968e+00	1.518241020385982239e-09	2.040473032658816640e-12	1.450467135111265904e+00	-1.232225937815732322e-07	2.084988177516711697e-12
5.399999999999994885e-07	1.448332188843584056e+00	4.195093524843829255e-09	2.054685914921835458e-12	1.448752430243404943e+00	-1.236202004722446665e-07	2.101488590153272447e-12
5.599999999999995088e-07	1.446639173489757901e+00	2.981829254063054754e-08	2.069276314825282387e-12	1.447109261157901949e+00	-3.334038446790603073e-07	2.118159305035034185e-12
5.799999999999995291e-07	1.445001316390460921e+00	-1.989890692016047617e-09	2.084128073515646227e-12	1.445524407784791965e+00	5.106130809900246488e-07	2.135010163513980755e-12
5.999999999999995493e-07	1.443407865827738057e+00	-6.834547008494776810e-09	2.099199726979384261e-12	1.443987039497576008e+00	-2.276430334782488140e-07	2.152037529260352519e-12
6.199999999999995696e-07	1.441849892280198109e+00	4.989496629014889957e-08	2.114579603525792166e-12	1.442488555761991087e+00	-3.230652346442610053e-07	2.169281558290241497e-12
6.399999999999995899e-07	1.440320042134876077e+00	-4.065649266380654698e-08	2.130236651474901103e-12	1.441021505087807908e+00	-8.502344377736116141e-07	2.186736246976404330e-12
6.599999999999996101e-07	1.438812161988340943e+00	5.788385222686250502e-08	2.146179628255109832e-12	1.439579772634274057e+00	-5.679837847191023283e-07	2.204410584992876381e-12
6.799999999999996304e-07	1.437321097836069095e+00	-1.722435098940108530e-08	2.162417281733927956e-12	1.438158239476432954e+00	-3.883079589118328390e-07	2.222313091015421692e-12
6.999999999999996507e-07	1.435842519678601992e+00	-2.319164216733286934e-08	2.178958907881072346e-12	1.436752608323635050e+00	-6.815260082067772200e-07	2.240452271444757039e-12
7.199999999999996710e-07	1.434372778032251938e+00	3.438579593550253051e-10	2.195813511109581000e-12	1.435359258079790923e+00	2.335536513423803070e-09	2.258835952406689041e-12
7.399999999999996912e-07	1.432908791749643029e+00	-2.064928391787848785e-08	2.212990327532717206e-12	1.433975132686541976e+00	-1.068523502847693143e-06	2.277471707626710423e-12
7.599999999999997115e-07	1.431447955644274961e+00	-2.451974737165919285e-07	2.230498679155370767e-12	1.432597648340153906e+00	-1.331892084263288743e-06	2.296366750770707745e-12
7.799999999999997318e-07	1.429988065457642898e+00	-2.867079289201136321e-07	2.248347958411883018e-12	1.431224618336013998e+00	-1.745449373437393948e-06	2.315527925032839579e-12
7.999999999999997520e-07	1.428527256302323023e+00	-1.551579415918442771e-07	2.266547612024162036e-12	1.429854191396209950e+00	-2.221119006611275640e-06	2.334961697347105912e-12
8.199999999999997723e-07	1.427063951864121050e+00	4.720650064920973242e-09	2.285107123575376174e-12	1.428484800763804907e+00	3.364996669747459231e-08	2.354674149232013768e-12
8.399999999999997926e-07	1.425596822249370899e+00	-5.208454946601485955e-07	2.304035997817928703e-12	1.427115121950333965e+00	-2.940305081695164327e-06	2.374670964395364182e-12
8.599999999999998129e-07	1.424124413005285916e+00	4.355668286898354477e-07	2.323323822234331342e-12	1.425743909234171936e+00	-4.588009828438172286e-06	2.394970212352284005e-12
8.799999999999998331e-07	1.422646458732131913e+00	-1.651289090809335315e-07	2.343020273771200586e-12	1.424370482948601024e+00	-4.269061769368181549e-06	2.415551761770149575e-12
8.999999999999998534e-07	1.421161844375431915e+00	-6.597364654610382779e-07	2.363114554173691864e-12	1.422993923572978936e+00	-8.621520036605762180e-06	2.436432245761260813e-12
9.199999999999998737e-07	1.419669925916926090e+00	-9.292884844011834160e-09	2.383616071836186882e-12	1.421613575074929914e+00	-7.054039226207188890e-08	2.457615679277167690e-12
9.399999999999998939e-07	1.418170176167917962e+00	-1.092347339345797078e-08	2.404533680617174074e-12	1.420228891283108030e+00	-1.298107133606630965e-07	2.479104437746051442e-12
9.599999999999999142e-07	1.416662174323138901e+00	-8.961601122296169024e-08	2.425877593769684903e-12	1.418839435104717994e+00	-8.735118364624669578e-06	2.500903986933612164e-12
9.799999999999999345e-07	1.415145585837991993e+00	-1.217192741509370336e-08	2.447656510690086511e-12	1.417444843991702008e+00	-2.513531795803652719e-08	2.523015849885885744e-12
9.999999999999999547e-07	1.413620155790787036e+00	-2.998175203803138602e-08	2.469879482940070827e-12	1.416044832753377891e+00	-2.015683900500368640e-08	2.545442240267248108e-12
1.019999999999999975e-06	1.412085698045359106e+00	-2.479849823094689344e-06	2.492555432663230828e-12	1.414639180374569039e+00	-1.523444253746423909e-05	2.568184916692400223e-12
1.039999999999999995e-06	1.410542086837424991e+00	7.849111584111138109e-09	2.515693137145030415e-12	1.413227721607144938e+00	2.053083069958124326e-09	2.591245193197666446e-12
