# 2020-05-19_11.42.26
# shape = Gauss
# FWHM_ps = 0.1
# carrier_nm = 1550
# frep_MHz = 100
# pow_mW = 250
# GDD = 0.0
# propa_len = 0.1
# untap_len = 0.005
# taper_len = 0.08
# waist_len = 0.04
# uptap_len = 0.08
# untap_scale = 1.0
# waist_scale = 0.35
# workingDir = More holes oscar in air_holes model 58.6pzt 7 rings with corners for Spirou
# axis = fast
# window_ps = 10.0
# steps = 200
# points = 11000
# 
# wavelength [nm]	 power spectral density [dB]
403.318464	-122.328177
403.372731	-131.850871
403.427012	-130.050822
403.481308	-132.853259
403.535619	-125.589786
403.589944	-121.872856
403.644284	-122.000130
403.698638	-123.715995
403.753007	-123.222242
403.807391	-122.830506
403.861790	-124.569494
403.916203	-128.116426
403.970630	-131.881484
404.025073	-140.989430
404.079530	-134.078040
404.134002	-127.733778
404.188488	-124.882580
404.242989	-123.286695
404.297505	-121.932144
404.352036	-120.886379
404.406581	-119.819378
404.461141	-118.782729
404.515716	-118.364456
404.570305	-118.739423
404.624909	-119.669874
404.679528	-120.732499
404.734162	-122.045491
404.788810	-124.506488
404.843474	-127.395868
404.898152	-121.211438
404.952844	-116.114871
405.007552	-113.812377
405.062274	-113.153876
405.117011	-113.385579
405.171763	-114.055041
405.226530	-114.767359
405.281311	-115.380987
405.336107	-116.300122
405.390919	-118.068349
405.445745	-120.878436
405.500585	-124.744772
405.555441	-127.266998
405.610311	-125.692337
405.665197	-124.811206
405.720097	-128.205428
405.775012	-133.072977
405.829942	-124.958188
405.884886	-121.846565
405.939846	-122.236930
405.994821	-125.217939
406.049810	-130.341711
406.104814	-131.788767
406.159834	-126.177706
406.214868	-121.062520
406.269917	-118.017275
406.324981	-116.857363
406.380060	-117.186195
406.435153	-118.030237
406.490262	-118.411185
406.545386	-118.900520
406.600525	-120.518454
406.655678	-123.623470
406.710847	-126.452373
406.766030	-127.550035
406.821229	-130.808479
406.876442	-127.637015
406.931671	-123.184237
406.986914	-121.566054
407.042173	-120.167026
407.097446	-118.156258
407.152735	-116.846496
407.208039	-116.863033
407.263357	-118.215411
407.318691	-120.513451
407.374039	-123.306269
407.429403	-124.829654
407.484782	-124.999357
407.540176	-125.710736
407.595584	-128.006002
407.651008	-131.150280
407.706447	-138.646295
407.761901	-138.217331
407.817371	-128.857211
407.872855	-123.755550
407.928354	-120.764531
407.983869	-119.393285
408.039398	-119.438443
408.094943	-120.503745
408.150503	-122.498026
408.206078	-124.381427
408.261668	-124.844854
408.317273	-124.625912
408.372893	-125.438520
408.428529	-126.874644
408.484180	-127.075395
408.539846	-125.735246
408.595527	-122.063018
408.651223	-119.631806
408.706934	-119.264016
408.762661	-120.987215
408.818403	-124.399699
408.874160	-128.165933
408.929932	-128.965147
408.985719	-124.931040
409.041522	-122.096705
409.097340	-121.630384
409.153173	-122.641840
409.209021	-124.659441
409.264885	-125.790018
409.320764	-124.399563
409.376658	-122.009068
409.432567	-120.180008
409.488492	-119.582939
409.544432	-120.583203
409.600387	-123.012393
409.656358	-126.414519
409.712343	-128.545381
409.768345	-128.298970
409.824361	-128.571287
409.880393	-130.799437
409.936440	-130.626406
409.992502	-124.250611
410.048580	-119.203605
410.104673	-116.827641
410.160781	-116.965753
410.216905	-119.581542
410.273044	-124.781884
410.329199	-132.366349
410.385369	-136.121939
410.441554	-125.904195
410.497755	-120.554374
410.553971	-118.964389
410.610202	-120.460651
410.666449	-126.250968
410.722711	-151.664294
410.778989	-131.009092
410.835282	-126.851694
410.891591	-124.316670
410.947915	-123.011630
411.004254	-123.555115
411.060609	-126.938354
411.116979	-129.733508
411.173365	-128.078656
411.229766	-129.939831
411.286183	-128.821946
411.342615	-123.410820
411.399063	-121.234024
411.455526	-120.959861
411.512005	-121.229100
411.568499	-121.758614
