# 2020-05-19_12.17.54
# shape = Gauss
# FWHM_ps = 0.1
# carrier_nm = 1550
# frep_MHz = 100
# pow_mW = 150
# GDD = 0.0
# propa_len = 0.1
# untap_len = 0.005
# taper_len = 0.08
# waist_len = 0.04
# uptap_len = 0.08
# untap_scale = 1.0
# waist_scale = 0.35
# workingDir = More holes oscar in air_holes model 58.6pzt 7 rings with corners for Spirou
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 11000
# 
# wavelength [nm]	 power spectral density [dB]
403.318464	-84.955861
403.372731	-85.364548
403.427012	-84.426484
403.481308	-85.334774
403.535619	-84.237290
403.589944	-79.389134
403.644284	-76.796969
403.698638	-75.869510
403.753007	-74.905287
403.807391	-74.885885
403.861790	-77.211004
403.916203	-82.742957
403.970630	-94.730333
404.025073	-92.448314
404.079530	-94.149773
404.134002	-106.929253
404.188488	-88.325261
404.242989	-84.579562
404.297505	-83.350455
404.352036	-83.419192
404.406581	-87.230818
404.461141	-95.642167
404.515716	-87.261510
404.570305	-82.272007
404.624909	-79.303893
404.679528	-75.573075
404.734162	-74.722219
404.788810	-77.171355
404.843474	-81.194194
404.898152	-92.064383
404.952844	-87.089974
405.007552	-83.585430
405.062274	-87.852582
405.117011	-91.673464
405.171763	-90.802156
405.226530	-80.957219
405.281311	-78.976672
405.336107	-78.857271
405.390919	-78.594105
405.445745	-81.811047
405.500585	-92.232813
405.555441	-91.047655
405.610311	-85.853086
405.665197	-83.691764
405.720097	-81.604250
405.775012	-79.119968
405.829942	-77.103088
405.884886	-78.388972
405.939846	-78.125525
405.994821	-79.566904
406.049810	-83.549258
406.104814	-87.090483
406.159834	-87.224521
406.214868	-85.611618
406.269917	-84.564895
406.324981	-85.458063
406.380060	-83.769820
406.435153	-80.405744
406.490262	-78.298025
406.545386	-78.823496
406.600525	-82.848590
406.655678	-98.989582
406.710847	-92.276107
406.766030	-88.018092
406.821229	-87.743050
406.876442	-92.823373
406.931671	-81.810649
406.986914	-76.460424
407.042173	-75.617541
407.097446	-77.350377
