# 2022-09-09_13.31.48
# shape = sech2
# FWHM_ps = 0.23
# carrier_nm = 1542
# frep_MHz = 100
# pow_mW = 54.0
# GDD = 0.0
# propa_len = 0.205
# untap_len = 0.01
# taper_len = 0.14
# waist_len = 0.025
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.4
# workingDir = Spirou_Fiber_v2
# axis = slow
# window_ps = 50.0
# steps = 200
# points = 40000
# 
# wavelength [nm]	 power spectral density [dB]
600.019406	-38.327101
600.043425	-38.318676
600.067447	-38.313481
600.091469	-38.311084
600.115494	-38.311404
600.139521	-38.314368
600.163550	-38.319911
600.187581	-38.327976
600.211613	-38.338513
600.235648	-38.351486
600.259684	-38.366863
600.283723	-38.384629
600.307763	-38.404774
600.331805	-38.427303
600.355849	-38.452229
600.379895	-38.479576
600.403943	-38.509380
600.427993	-38.541686
600.452045	-38.576550
600.476099	-38.614040
600.500155	-38.654232
600.524212	-38.697214
600.548272	-38.743084
600.572333	-38.791952
600.596397	-38.843936
600.620462	-38.899165
600.644529	-38.957776
600.668599	-39.019916
600.692670	-39.085737
600.716743	-39.155399
600.740818	-39.229065
600.764895	-39.306904
600.788973	-39.389089
600.813054	-39.475796
600.837137	-39.567203
600.861222	-39.663492
600.885308	-39.764848
600.909397	-39.871457
600.933487	-39.983509
600.957579	-40.101194
600.981674	-40.224706
601.005770	-40.354239
601.029868	-40.489983
601.053968	-40.632132
601.078070	-40.780871
601.102174	-40.936383
601.126280	-41.098843
601.150388	-41.268418
601.174498	-41.445264
601.198609	-41.629525
601.222723	-41.821327
601.246839	-42.020781
601.270956	-42.227972
601.295076	-42.442958
601.319197	-42.665763
601.343320	-42.896369
601.367446	-43.134703
601.391573	-43.380628
601.415702	-43.633923
601.439833	-43.894270
601.463966	-44.161230
601.488101	-44.434214
601.512238	-44.712464
601.536376	-44.995009
601.560517	-45.280640
601.584660	-45.567865
601.608804	-45.854876
601.632951	-46.139513
601.657100	-46.419233
601.681250	-46.691100
601.705402	-46.951789
601.729557	-47.197624
601.753713	-47.424658
601.777871	-47.628796
601.802031	-47.805969
601.826193	-47.952356
601.850357	-48.064624
601.874523	-48.140173
601.898691	-48.177344
601.922861	-48.175557
601.947033	-48.135361
601.971206	-48.058369
601.995382	-47.947117
602.019560	-47.804846
602.043739	-47.635260
602.067921	-47.442279
602.092104	-47.229832
602.116289	-47.001686
602.140477	-46.761328
602.164666	-46.511890
602.188857	-46.256126
602.213050	-45.996399
602.237245	-45.734709
602.261442	-45.472718
602.285641	-45.211790
602.309842	-44.953030
602.334045	-44.697320
602.358250	-44.445357
602.382457	-44.197681
602.406665	-43.954704
602.430876	-43.716730
602.455089	-43.483981
602.479303	-43.256608
602.503520	-43.034709
602.527738	-42.818345
602.551958	-42.607543
602.576181	-42.402313
602.600405	-42.202652
602.624631	-42.008549
602.648859	-41.819990
602.673090	-41.636959
602.697322	-41.459441
602.721556	-41.287422
602.745792	-41.120885
602.770029	-40.959817
602.794269	-40.804201
602.818511	-40.654023
602.842755	-40.509271
602.867001	-40.369936
602.891248	-40.236013
602.915498	-40.107504
602.939749	-39.984417
602.964003	-39.866767
602.988258	-39.754572
603.012516	-39.647856
603.036775	-39.546642
603.061036	-39.450953
603.085300	-39.360810
603.109565	-39.276229
