Taper_length,Waist_scale,Waist_len,Low_wavelength,High_wavelength,SC_range
0.05,0.28,0.025,1411.8647991853086,1682.7342299767552,270.8694307914466
0.05,0.31000000000000005,0.025,1404.4568358112867,1689.943321809514,285.4864859982272
0.05,0.34,0.025,1394.6563823432919,1699.1383148003333,304.48193245704147
0.05,0.37,0.025,1380.9088327024658,1711.359684226649,330.45085152418324
0.05,0.4,0.025,1354.57822720533,1729.7255214731026,375.1472942677726
0.060000000000000005,0.28,0.025,1374.451193168983,1723.163661575854,348.7124684068708
0.060000000000000005,0.31000000000000005,0.025,1361.4680629547256,1736.9411487343764,375.4730857796508
0.060000000000000005,0.34,0.025,1345.3385127375493,1754.2192974016568,408.8807846641075
0.060000000000000005,0.37,0.025,1323.3653608000961,1776.0433824710747,452.6780216709785
0.060000000000000005,0.4,0.025,1283.809126452702,1804.2620437641062,520.4529173114042
0.07,0.28,0.025,1315.4680673065536,1787.0538011546794,471.58573384812576
0.07,0.31000000000000005,0.025,1290.9961331496434,1813.6491262104887,522.6529930608453
0.07,0.34,0.025,1261.3390308018477,1847.4012214188995,586.0621906170518
0.07,0.37,0.025,1215.319303862492,1892.6538105619475,677.3345066994555
0.07,0.4,0.025,1178.068567305484,1942.693538444041,764.6249711385569
0.08000000000000002,0.28,0.025,1222.056822843766,1891.221048677966,669.1642258342001
0.08000000000000002,0.31000000000000005,0.025,1185.6161693537242,1935.9192359133833,750.3030665596591
0.08000000000000002,0.34,0.025,1146.7060292595402,1987.2501577466965,840.5441284871563
0.08000000000000002,0.37,0.025,1103.8910668629308,2045.8351282305623,941.9440613676315
0.08000000000000002,0.4,0.025,1104.2163411044407,1620.8683107104473,516.6519696060066
0.09000000000000001,0.28,0.025,1118.4702507967675,2026.7485147691484,908.278263972381
0.09000000000000001,0.31000000000000005,0.025,1092.7056161862342,2072.7097286234175,980.0041124371833
0.09000000000000001,0.34,0.025,1070.7717251056874,1611.8052905751313,541.0335654694438
0.09000000000000001,0.37,0.025,1060.1691976667523,2157.122674764348,1096.9534770975959
0.09000000000000001,0.4,0.025,1100.002670854628,2185.7463429952554,1085.7436721406275
0.1,0.28,0.025,1067.7208536913347,1621.0435985223326,553.3227448309979
0.1,0.31000000000000005,0.025,1066.8849095175701,2166.7890234589477,1099.9041139413775
0.1,0.34,0.025,1072.5338839131364,2189.8975673594164,1117.36368344628
0.1,0.37,0.025,1075.6895505679506,2199.860563036997,1124.1710124690464
0.1,0.4,0.025,1102.6729933245344,2199.860563036997,1097.1875697124626
0.11000000000000001,0.28,0.025,1074.5328865822564,2193.101562422242,1118.5686758399854
0.11000000000000001,0.31000000000000005,0.025,1082.213165854881,2199.860563036997,1117.647397182116
0.11000000000000001,0.34,0.025,1085.6619769751812,2199.860563036997,1114.1985860618158
0.11000000000000001,0.37,0.025,1077.932843277877,2199.860563036997,1121.92771975912
0.11000000000000001,0.4,0.025,1090.6384916735758,2199.860563036997,1109.2220713634213
0.12000000000000001,0.28,0.025,1085.347540630911,2199.860563036997,1114.513022406086
0.12000000000000001,0.31000000000000005,0.025,1083.543060392613,2199.860563036997,1116.3175026443841
0.12000000000000001,0.34,0.025,1075.3808634274171,2199.860563036997,1124.47969960958
0.12000000000000001,0.37,0.025,1057.3275017712203,2199.860563036997,1142.5330612657767
0.12000000000000001,0.4,0.025,1089.766291499093,2199.860563036997,1110.094271537904
0.13,0.28,0.025,1075.3808634274171,2199.860563036997,1124.47969960958
0.13,0.31000000000000005,0.025,1064.3849123608552,2199.860563036997,1135.4756506761419
0.13,0.34,0.025,1055.4662583137438,2199.860563036997,1144.3943047232533
0.13,0.37,0.025,1049.1133220248103,2199.860563036997,1150.7472410121868
0.13,0.4,0.025,1095.7409324575794,2199.860563036997,1104.1196305794176
0.14,0.28,0.025,1056.9547281165326,2199.860563036997,1142.9058349204645
0.14,0.31000000000000005,0.025,1053.9819749280591,2199.860563036997,1145.878588108938
0.14,0.34,0.025,1059.2701712282342,2199.860563036997,1140.590391808763
0.14,0.37,0.025,1066.5812542615204,2199.860563036997,1133.2793087754767
0.14,0.4,0.025,1097.1043033513245,2199.860563036997,1102.7562596856726
