# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
5.500000000000095572e-07	2.000802851584646991e+00	-3.858144009643090025e-10	7.866219043348567828e-13	2.003610447469982958e+00	6.955983314433119462e-11	7.879152772070015191e-13
5.600000000000094614e-07	1.998124161468910920e+00	1.051223014551681244e-10	7.903558529977521225e-13	2.001071912999046187e+00	1.939349324667349286e-10	7.910355186655045586e-13
5.700000000000093657e-07	1.995522288767376029e+00	1.007300791328484768e-09	7.941324176161601009e-13	1.998614025842130992e+00	-3.477948262647679795e-10	7.941698539097478765e-13
5.800000000000092699e-07	1.992990675650061050e+00	-3.000302403516213789e-10	7.979522836345400191e-13	1.996230239988191935e+00	-2.336792068476122144e-10	7.973187196038226005e-13
5.900000000000091742e-07	1.990523373903325011e+00	3.270651608537634952e-10	8.018161271814152206e-13	1.993914617639628961e+00	2.896453978529794340e-11	8.004825370737060178e-13
6.000000000000090785e-07	1.988114978610433958e+00	3.150506049488643349e-10	8.057246160786385532e-13	1.991661762912728895e+00	1.701160440438670363e-10	8.036617137871141465e-13
6.100000000000089827e-07	1.985760570177335094e+00	3.592920204559612474e-10	8.096784107161612111e-13	1.989466763882850930e+00	1.964547201367254218e-10	8.068566446723614527e-13
6.200000000000088870e-07	1.983455663514376965e+00	4.062017300623117293e-10	8.136781648492234054e-13	1.987325141785128979e+00	2.253671862375219762e-10	8.100677133155041512e-13
6.300000000000087912e-07	1.981196163373710073e+00	2.943783170498119376e-10	8.177245263140426019e-13	1.985232806370426983e+00	1.293568150164645483e-10	8.132952930310257464e-13
6.400000000000086955e-07	1.978978324997707094e+00	3.167449283074751679e-10	8.218181376662251967e-13	1.983186016571913068e+00	1.158128357491059428e-10	8.165397478324856187e-13
6.500000000000085997e-07	1.976798719363040968e+00	1.196668668869902988e-09	8.259596367707308737e-13	1.981181345766868107e+00	-1.633530226894886645e-09	8.198014333091737625e-13
6.600000000000085040e-07	1.974654202412355009e+00	1.315119904534789068e-09	8.301496573200362312e-13	1.979215651025737932e+00	-1.882819966865697669e-09	8.230806974279191072e-13
6.700000000000084082e-07	1.972541887755169032e+00	1.429369565426056769e-09	8.343888293066798824e-13	1.977286045830020988e+00	-2.163341380525524844e-09	8.263778812490073706e-13
6.800000000000083125e-07	1.970459122394796037e+00	7.370377964471864485e-09	8.386777794509902589e-13	1.975389875815827923e+00	1.075774791849526643e-10	8.296933195893826061e-13
6.900000000000082168e-07	1.968403465101159044e+00	8.436960784982468602e-09	8.430171315789232779e-13	1.973524697162994057e+00	-3.332445712845378391e-10	8.330273416270370372e-13
7.000000000000081210e-07	1.966372667102677996e+00	9.653312339403738554e-09	8.474075069766891696e-13	1.971688257302935066e+00	-9.065454470157634793e-10	8.363802714424521640e-13
7.100000000000080253e-07	1.964364654815345945e+00	1.103730740148447509e-08	8.518495246955528825e-13	1.969878477663369098e+00	-1.634171986824119165e-09	8.397524285282492556e-13
7.200000000000079295e-07	1.962377514365432951e+00	1.261019396240079714e-08	8.563438018329752241e-13	1.968093438206375945e+00	-2.534753550960615655e-09	8.431441282491171181e-13
7.300000000000078338e-07	1.960409477694639024e+00	1.439548521848656688e-08	8.608909537833513784e-13	1.966331363548603051e+00	-3.623081476390890054e-09	8.465556822662582381e-13
7.400000000000077380e-07	1.958458910064305947e+00	1.641284862808591268e-08	8.654915944624024281e-13	1.964590610480267063e+00	-4.909809653118600278e-09	8.499873989282275831e-13
7.500000000000076423e-07	1.956524298799023898e+00	1.869093050247366486e-08	8.701463365074204125e-13	1.962869656723269074e+00	-6.399861455207834746e-09	8.534395836315295292e-13
7.600000000000075466e-07	1.954604243130225072e+00	2.124881681036423068e-08	8.748557914552693765e-13	1.961167090789057044e+00	-8.092081618560786609e-09	8.569125391538612833e-13
7.700000000000074508e-07	1.952697445017973932e+00	2.411239299330427138e-08	8.796205698999484336e-13	1.959481602814435952e+00	-9.969878889313609379e-09	8.604065659626512514e-13
7.800000000000073551e-07	1.950802700844052939e+00	2.730383665362551862e-08	8.844412816312209560e-13	1.957811976268446053e+00	-1.201218030168583531e-08	8.639219625012947318e-13
7.900000000000072593e-07	1.948918893882644943e+00	-9.971965682622043774e-11	8.893185357580540149e-13	1.956157080436629059e+00	2.035185822924777006e-08	8.674590254375352907e-13
8.000000000000071636e-07	1.947044987466056032e+00	-3.887772971055582346e-10	8.942529408054809066e-13	1.954515863600067904e+00	2.505072700768553636e-08	8.710180499784853711e-13
8.100000000000070678e-07	1.945180018772681985e+00	-7.614286281836248264e-10	8.992451048149995937e-13	1.952887346836585047e+00	3.045801580557299594e-08	8.745993300043075453e-13
8.200000000000069721e-07	1.943323093173066951e+00	1.515857779105052917e-08	9.042956354249890596e-13	1.951270618379733923e+00	1.788381541753624611e-08	8.782031583170959149e-13
8.300000000000068763e-07	1.941473379077111927e+00	-1.133422530374276873e-08	9.094051398783896077e-13	1.949664828478828049e+00	1.397279927607249814e-08	8.818298269778079183e-13
8.400000000000067806e-07	1.939630103232147906e+00	-1.292292587950208774e-08	9.145742251917799116e-13	1.948069184709618096e+00	1.529683824108282440e-08	8.854796271861758206e-13
8.500000000000066849e-07	1.937792546427042017e+00	-1.460641502448519315e-08	9.198034980700696723e-13	1.946482947690892917e+00	1.659140542976937957e-08	8.891528497765660484e-13
8.600000000000065891e-07	1.935960039562631962e+00	-1.637721052196110356e-08	9.250935649996934497e-13	1.944905427167223033e+00	1.783604938533189495e-08	8.928497852219909965e-13
8.700000000000064934e-07	1.934131960053057098e+00	-1.822996662270333616e-08	9.304450322532962688e-13	1.943335978422471078e+00	1.900845364168005235e-08	8.965707238251981487e-13
8.800000000000063976e-07	1.932307728526353019e+00	-6.268769332722178778e-09	9.358585058968707792e-13	1.941773998992428085e+00	3.771783839691336770e-08	9.003159558304144851e-13
8.900000000000063019e-07	1.930486805796095107e+00	-6.918908304057370868e-09	9.413345917953069982e-13	1.940218925648383053e+00	3.810529359766259640e-08	9.040857717090266146e-13
9.000000000000062061e-07	1.928668690078843895e+00	-2.245935744006144985e-08	9.468738956078660425e-13	1.938670231626363982e+00	-6.444972211996174637e-09	9.078804621476010957e-13
9.100000000000061104e-07	1.926852914434745045e+00	-4.595654495967390262e-08	9.524770227069130651e-13	1.937127424079265081e+00	-1.967175642273797402e-06	9.117003183234062620e-13
9.200000000000060147e-07	1.925039044410951972e+00	-4.926875574330949525e-08	9.581445783074031317e-13	1.935590041732561994e+00	-1.964347081936732026e-06	9.155456312797655510e-13
9.300000000000059189e-07	1.923226675869700975e+00	-5.266702648877533897e-08	9.638771672658716866e-13	1.934057652722821041e+00	-1.959845204879027853e-06	9.194166934431687457e-13
9.400000000000058232e-07	1.921415432984524996e+00	-5.617009166837218398e-08	9.696753941345076484e-13	1.932529852606043042e+00	-1.953235082829275947e-06	9.233137976849886464e-13
9.500000000000057274e-07	1.919604966389931056e+00	-5.979286653548413278e-08	9.755398630970119755e-13	1.931006262518490946e+00	-1.944099198943773851e-06	9.272372377052506678e-13
9.600000000000056317e-07	1.917794951471109011e+00	-6.356235033121437625e-08	9.814711779181766052e-13	1.929486527477666913e+00	-1.932048151848251148e-06	9.311873081328176187e-13
9.700000000000055359e-07	1.915985086781692104e+00	-2.351755779787515090e-07	9.874699419032296172e-13	1.927970314811406904e+00	-9.143323381571273312e-08	9.351643040571255033e-13
9.800000000000054402e-07	1.914175092578692894e+00	-2.337487758579412909e-07	9.935367577741208409e-13	1.926457312703355074e+00	-1.192963985196546332e-07	9.391685233520931288e-13
9.900000000000053444e-07	1.912364709464650092e+00	-2.309286954995568396e-07	9.996722276973897238e-13	1.924947228847107894e+00	-1.497090360520022964e-07	9.432002634503146154e-13
1.000000000000005249e-06	1.910553697128225981e+00	-2.266599816138603179e-07	1.005876953149094573e-12	1.923439789197235905e+00	-1.825295532941209946e-07	9.472598236193677480e-13
1.010000000000005153e-06	1.908741833175032987e+00	-2.209162719016654819e-07	1.012151534855088742e-12	1.921934736811254041e+00	-2.174963258349965481e-07	9.513475045010065206e-13
