# 2022-02-01_15.52.42
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 5000
# GDD = 0.0
# propa_len = 0.005
# untap_len = 0.0
# taper_len = 0.0
# waist_len = 0.0
# uptap_len = 0.0
# untap_scale = 1.0
# waist_scale = 1.0
# workingDir = SiN_Waveguide
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 13000
# 
# wavelength [nm]	 power spectral density [dB]
1000.248639	-254.905036
1000.582480	-254.651497
1000.916545	-254.371400
1001.250832	-254.169142
1001.585343	-253.943349
1001.920077	-253.678887
1002.255035	-253.406506
1002.590218	-253.133496
1002.925624	-252.913805
1003.261255	-252.640673
1003.597111	-252.412493
1003.933192	-252.123121
1004.269497	-251.966809
1004.606029	-251.702594
1004.942785	-251.405210
1005.279768	-251.192395
1005.616977	-250.941961
1005.954412	-250.683807
1006.292074	-250.422956
1006.629962	-250.177972
1006.968077	-249.946902
1007.306420	-249.700861
1007.644990	-249.405798
1007.983787	-249.190845
1008.322813	-248.927337
1008.662067	-248.704706
1009.001549	-248.429193
1009.341259	-248.192066
1009.681199	-247.946063
1010.021367	-247.710888
1010.361765	-247.451758
1010.702392	-247.204505
1011.043250	-246.939096
1011.384337	-246.713600
1011.725654	-246.482480
1012.067202	-246.223915
1012.408980	-245.988209
1012.750989	-245.701406
1013.093230	-245.454062
1013.435702	-245.220707
1013.778405	-245.001505
1014.121341	-244.739660
1014.464508	-244.484834
1014.807908	-244.241022
1015.151540	-243.995933
1015.495405	-243.732085
1015.839503	-243.478193
1016.183835	-243.272762
1016.528400	-242.993435
1016.873198	-242.769221
1017.218231	-242.493141
1017.563498	-242.238905
1017.908999	-242.005891
1018.254735	-241.750534
1018.600707	-241.490430
1018.946913	-241.263839
1019.293354	-241.012617
1019.640032	-240.749342
1019.986945	-240.501978
1020.334094	-240.257636
1020.681480	-240.014967
1021.029102	-239.775997
1021.376961	-239.510619
1021.725058	-239.257630
1022.073391	-239.017285
1022.421962	-238.757632
1022.770772	-238.525724
1023.119819	-238.278576
1023.469104	-238.032574
1023.818628	-237.789730
1024.168391	-237.525686
1024.518393	-237.277025
1024.868634	-237.040702
1025.219115	-236.785207
1025.569836	-236.536900
1025.920796	-236.288270
1026.271997	-236.046739
1026.623438	-235.796264
1026.975121	-235.539008
1027.327044	-235.298855
1027.679208	-235.046521
1028.031614	-234.795281
1028.384262	-234.548974
1028.737152	-234.304751
1029.090284	-234.058307
1029.443659	-233.810805
1029.797276	-233.563358
1030.151137	-233.310409
1030.505240	-233.065583
1030.859587	-232.812698
1031.214178	-232.564651
1031.569013	-232.319688
1031.924093	-232.071769
1032.279417	-231.822636
1032.634985	-231.576509
1032.990799	-231.323396
1033.346858	-231.082282
1033.703162	-230.828937
1034.059712	-230.580799
1034.416509	-230.329065
1034.773551	-230.084023
1035.130841	-229.834663
1035.488377	-229.587179
1035.846160	-229.337038
1036.204190	-229.089134
1036.562468	-228.840972
1036.920994	-228.593729
1037.279768	-228.345698
1037.638790	-228.096227
1037.998061	-227.845816
1038.357581	-227.599948
1038.717350	-227.351055
1039.077368	-227.102288
1039.437636	-226.854007
1039.798154	-226.605712
1040.158922	-226.356953
1040.519940	-226.107583
1040.881209	-225.859980
1041.242729	-225.612889
1041.604501	-225.361933
1041.966524	-225.115730
1042.328798	-224.865122
1042.691325	-224.616368
1043.054103	-224.368790
1043.417135	-224.119926
1043.780419	-223.871756
1044.143956	-223.622940
1044.507746	-223.374675
1044.871791	-223.126651
1045.236088	-222.879971
1045.600641	-222.628086
1045.965447	-222.380186
1046.330508	-222.131932
1046.695824	-221.883310
1047.061395	-221.634568
1047.427222	-221.386403
1047.793304	-221.137724
1048.159642	-220.887750
1048.526237	-220.641492
1048.893088	-220.391560
1049.260196	-220.142835
1049.627561	-219.894388
1049.995183	-219.646108
1050.363063	-219.396363
1050.731201	-219.147835
1051.099597	-218.899831
1051.468251	-218.651012
1051.837164	-218.401693
1052.206336	-218.154052
1052.575767	-217.905504
1052.945458	-217.657168
1053.315409	-217.407992
1053.685619	-217.159582
1054.056090	-216.910833
1054.426821	-216.662131
1054.797814	-216.413147
1055.169067	-216.165327
1055.540582	-215.916638
1055.912359	-215.668145
1056.284398	-215.419388
1056.656698	-215.170346
1057.029262	-214.922457
1057.402088	-214.672981
1057.775177	-214.424617
1058.148530	-214.176064
1058.522146	-213.927637
1058.896027	-213.678504
1059.270171	-213.429882
1059.644580	-213.181243
1060.019254	-212.932692
1060.394193	-212.684079
1060.769397	-212.435664
1061.144867	-212.186831
1061.520602	-211.938356
1061.896604	-211.689495
1062.272872	-211.440856
1062.649407	-211.192298
1063.026210	-210.943697
1063.403279	-210.694793
1063.780616	-210.445911
1064.158221	-210.197645
1064.536094	-209.948924
1064.914235	-209.700293
1065.292645	-209.451756
1065.671325	-209.203054
1066.050273	-208.954418
1066.429491	-208.705777
1066.808979	-208.456938
1067.188738	-208.208519
1067.568766	-207.959830
1067.949066	-207.711218
1068.329636	-207.462564
1068.710478	-207.214080
1069.091592	-206.965334
1069.472977	-206.716854
1069.854635	-206.468183
1070.236565	-206.219571
1070.618768	-205.971029
1071.001243	-205.722345
1071.383993	-205.473839
1071.767016	-205.225200
1072.150313	-204.976517
1072.533884	-204.728091
1072.917730	-204.479493
1073.301850	-204.230784
1073.686246	-203.982320
1074.070917	-203.733700
1074.455864	-203.485226
1074.841087	-203.236582
1075.226586	-202.988034
1075.612362	-202.739440
1075.998415	-202.491022
1076.384745	-202.242389
1076.771353	-201.993830
1077.158238	-201.745354
1077.545401	-201.496882
1077.932843	-201.248362
1078.320564	-200.999824
1078.708564	-200.751328
1079.096842	-200.502832
1079.485401	-200.254288
1079.874240	-200.005877
1080.263358	-199.757380
1080.652757	-199.508895
1081.042438	-199.260486
1081.432399	-199.011941
1081.822641	-198.763593
1082.213166	-198.515102
1082.603972	-198.266649
1082.995061	-198.018226
1083.386433	-197.769776
1083.778087	-197.521358
1084.170025	-197.272932
1084.562246	-197.024496
1084.954751	-196.776127
1085.347541	-196.527736
1085.740615	-196.279348
1086.133973	-196.030968
1086.527617	-195.782589
1086.921546	-195.534215
1087.315761	-195.285868
1087.710262	-195.037506
1088.105050	-194.789175
1088.500124	-194.540836
1088.895485	-194.292519
1089.291134	-194.044114
1089.687070	-193.795813
1090.083294	-193.547488
1090.479806	-193.299183
1090.876607	-193.050913
1091.273696	-192.802597
1091.671075	-192.554312
1092.068744	-192.305995
1092.466702	-192.057727
1092.864950	-191.809475
1093.263489	-191.561196
1093.662319	-191.312932
1094.061440	-191.064691
1094.460852	-190.816397
1094.860555	-190.568197
1095.260551	-190.319966
1095.660840	-190.071775
1096.061421	-189.823531
1096.462295	-189.575347
1096.863462	-189.327143
1097.264923	-189.078948
1097.666678	-188.830782
1098.068727	-188.582598
1098.471071	-188.334417
1098.873710	-188.086260
1099.276644	-187.838087
1099.679874	-187.589965
1100.083400	-187.341812
1100.487222	-187.093693
1100.891340	-186.845603
1101.295756	-186.597500
1101.700468	-186.349395
1102.105478	-186.101300
1102.510787	-185.853225
1102.916393	-185.605153
1103.322298	-185.357086
1103.728502	-185.109028
1104.135005	-184.860999
1104.541807	-184.612952
1104.948909	-184.364932
1105.356312	-184.116944
1105.764015	-183.868942
1106.172019	-183.620937
1106.580324	-183.372985
1106.988931	-183.125019
1107.397840	-182.877048
1107.807051	-182.629118
1108.216564	-182.381189
1108.626380	-182.133270
1109.036500	-181.885366
1109.446923	-181.637494
1109.857649	-181.389607
1110.268680	-181.141742
1110.680016	-180.893888
1111.091657	-180.646068
1111.503602	-180.398239
1111.915854	-180.150437
1112.328411	-179.902647
1112.741275	-179.654861
1113.154445	-179.407100
1113.567922	-179.159362
1113.981706	-178.911628
1114.395798	-178.663905
1114.810198	-178.416208
1115.224906	-178.168526
1115.639923	-177.920864
1116.055249	-177.673212
1116.470884	-177.425573
1116.886829	-177.177952
1117.303084	-176.930355
1117.719650	-176.682777
1118.136526	-176.435205
1118.553713	-176.187651
1118.971212	-175.940125
1119.389022	-175.692605
1119.807145	-175.445101
1120.225580	-175.197621
1120.644328	-174.950160
1121.063389	-174.702716
1121.482763	-174.455280
1121.902452	-174.207863
1122.322454	-173.960471
1122.742771	-173.713094
1123.163404	-173.465727
1123.584351	-173.218382
1124.005614	-172.971054
1124.427193	-172.723742
1124.849089	-172.476442
1125.271301	-172.229161
1125.693830	-171.981899
1126.116677	-171.734644
1126.539842	-171.487409
1126.963324	-171.240188
1127.387126	-170.992980
1127.811246	-170.745788
1128.235685	-170.498610
1128.660444	-170.251443
1129.085522	-170.004292
1129.510922	-169.757150
1129.936641	-169.510020
1130.362682	-169.262903
1130.789044	-169.015799
1131.215728	-168.768705
1131.642734	-168.521615
1132.070063	-168.274540
1132.497714	-168.027474
1132.925689	-167.780414
1133.353987	-167.533364
1133.782610	-167.286323
1134.211556	-167.039287
1134.640827	-166.792258
1135.070424	-166.545235
1135.500345	-166.298217
1135.930593	-166.051204
1136.361166	-165.804194
1136.792067	-165.557190
1137.223294	-165.310188
1137.654848	-165.063190
1138.086730	-164.816193
1138.518940	-164.569199
1138.951479	-164.322206
1139.384346	-164.075216
1139.817543	-163.828226
1140.251069	-163.581235
1140.684925	-163.334244
1141.119111	-163.087253
1141.553628	-162.840262
1141.988475	-162.593271
1142.423655	-162.346275
1142.859166	-162.099280
1143.295009	-161.852286
1143.731185	-161.605286
1144.167694	-161.358286
1144.604536	-161.111285
1145.041711	-160.864280
1145.479221	-160.617275
1145.917065	-160.370266
1146.355245	-160.123255
1146.793759	-159.876245
1147.232609	-159.629231
1147.671795	-159.382216
1148.111317	-159.135199
1148.551177	-158.888182
1148.991373	-158.641164
1149.431907	-158.394144
1149.872779	-158.147125
1150.313989	-157.900106
1150.755538	-157.653088
1151.197426	-157.406070
1151.639653	-157.159053
1152.082220	-156.912039
1152.525128	-156.665027
1152.968376	-156.418017
1153.411966	-156.171011
1153.855897	-155.924009
1154.300169	-155.677011
1154.744784	-155.430018
1155.189742	-155.183031
1155.635042	-154.936050
1156.080687	-154.689076
1156.526674	-154.442109
1156.973007	-154.195150
1157.419683	-153.948199
1157.866705	-153.701257
1158.314072	-153.454326
1158.761786	-153.207404
1159.209845	-152.960492
1159.658251	-152.713592
1160.107004	-152.466703
1160.556104	-152.219825
1161.005553	-151.972961
1161.455349	-151.726109
1161.905494	-151.479270
1162.355989	-151.232444
1162.806832	-150.985632
1163.258026	-150.738833
1163.709570	-150.492048
1164.161464	-150.245278
1164.613710	-149.998521
1165.066307	-149.751777
1165.519256	-149.505048
1165.972558	-149.258333
1166.426212	-149.011630
1166.880219	-148.764941
1167.334580	-148.518265
1167.789295	-148.271601
1168.244364	-148.024950
1168.699788	-147.778310
1169.155567	-147.531680
1169.611702	-147.285061
1170.068193	-147.038451
1170.525041	-146.791850
1170.982245	-146.545257
1171.439807	-146.298671
1171.897726	-146.052091
1172.356004	-145.805516
1172.814640	-145.558945
1173.273635	-145.312377
1173.732989	-145.065811
1174.192703	-144.819245
1174.652778	-144.572678
1175.113213	-144.326109
1175.574009	-144.079536
1176.035167	-143.832959
1176.496687	-143.586375
1176.958569	-143.339784
1177.420814	-143.093183
1177.883422	-142.846572
1178.346394	-142.599949
1178.809730	-142.353312
1179.273430	-142.106660
1179.737496	-141.859992
1180.201927	-141.613305
1180.666723	-141.366599
1181.131886	-141.119871
1181.597416	-140.873121
1182.063312	-140.626347
1182.529576	-140.379548
1182.996209	-140.132722
1183.463209	-139.885867
1183.930579	-139.638984
1184.398317	-139.392069
1184.866426	-139.145123
1185.334904	-138.898143
1185.803754	-138.651130
1186.272974	-138.404081
1186.742566	-138.156995
1187.212529	-137.909873
1187.682865	-137.662713
1188.153574	-137.415513
1188.624656	-137.168274
1189.096112	-136.920995
1189.567942	-136.673675
1190.040147	-136.426314
1190.512726	-136.178910
1190.985681	-135.931465
1191.459012	-135.683977
1191.932720	-135.436447
1192.406804	-135.188873
1192.881265	-134.941257
1193.356104	-134.693598
1193.831322	-134.445896
1194.306918	-134.198152
1194.782893	-133.950365
1195.259248	-133.702536
1195.735982	-133.454665
1196.213097	-133.206752
1196.690593	-132.958799
1197.168471	-132.710805
1197.646730	-132.462772
1198.125371	-132.214699
1198.604395	-131.966588
1199.083803	-131.718438
1199.563594	-131.470252
1200.043769	-131.222030
1200.524329	-130.973771
1201.005273	-130.725479
1201.486604	-130.477152
1201.968320	-130.228792
1202.450422	-129.980401
1202.932912	-129.731978
1203.415789	-129.483525
1203.899054	-129.235042
1204.382707	-128.986531
1204.866748	-128.737993
1205.351179	-128.489428
1205.836000	-128.240837
1206.321211	-127.992222
1206.806812	-127.743582
1207.292805	-127.494920
1207.779189	-127.246235
1208.265965	-126.997528
1208.753134	-126.748801
1209.240696	-126.500053
1209.728651	-126.251286
1210.217000	-126.002500
1210.705744	-125.753696
1211.194883	-125.504875
1211.684417	-125.256036
1212.174347	-125.007181
1212.664673	-124.758310
1213.155396	-124.509423
1213.646516	-124.260520
1214.138034	-124.011603
1214.629951	-123.762670
1215.122266	-123.513723
1215.614980	-123.264762
1216.108095	-123.015786
1216.601609	-122.766795
1217.095524	-122.517791
1217.589841	-122.268772
1218.084559	-122.019739
1218.579679	-121.770691
1219.075202	-121.521628
1219.571128	-121.272551
1220.067458	-121.023458
1220.564191	-120.774350
1221.061330	-120.525226
1221.558874	-120.276085
1222.056823	-120.026928
1222.555178	-119.777754
1223.053940	-119.528562
1223.553109	-119.279351
1224.052686	-119.030122
1224.552671	-118.780873
1225.053065	-118.531603
1225.553867	-118.282313
1226.055079	-118.033000
1226.556702	-117.783665
1227.058735	-117.534306
1227.561179	-117.284923
1228.064035	-117.035514
1228.567303	-116.786078
1229.070983	-116.536615
1229.575077	-116.287124
1230.079585	-116.037602
1230.584506	-115.788050
1231.089842	-115.538465
1231.595594	-115.288847
1232.101761	-115.039195
1232.608345	-114.789506
1233.115345	-114.539779
1233.622762	-114.290014
1234.130597	-114.040208
1234.638851	-113.790360
1235.147523	-113.540469
1235.656615	-113.290532
1236.166126	-113.040549
1236.676058	-112.790518
1237.186411	-112.540436
1237.697185	-112.290303
1238.208381	-112.040116
1238.719999	-111.789874
1239.232040	-111.539575
1239.744505	-111.289217
1240.257394	-111.038798
1240.770708	-110.788316
1241.284446	-110.537770
1241.798610	-110.287158
1242.313201	-110.036478
1242.828218	-109.785728
1243.343662	-109.534906
1243.859534	-109.284010
1244.375834	-109.033039
1244.892563	-108.781991
1245.409721	-108.530864
1245.927309	-108.279657
1246.445327	-108.028368
1246.963777	-107.776996
1247.482657	-107.525539
1248.001970	-107.273996
1248.521716	-107.022366
1249.041894	-106.770647
1249.562506	-106.518839
1250.083553	-106.266941
1250.605034	-106.014951
1251.126950	-105.762870
1251.649302	-105.510698
1252.172091	-105.258432
1252.695316	-105.006075
1253.218979	-104.753625
1253.743079	-104.501083
1254.267619	-104.248449
1254.792597	-103.995725
1255.318015	-103.742910
1255.843874	-103.490007
1256.370173	-103.237016
1256.896913	-102.983938
1257.424095	-102.730777
1257.951720	-102.477533
1258.479787	-102.224209
1259.008298	-101.970807
1259.537254	-101.717331
1260.066654	-101.463782
1260.596499	-101.210165
1261.126790	-100.956482
1261.657527	-100.702738
1262.188711	-100.448935
1262.720342	-100.195079
1263.252422	-99.941173
1263.784950	-99.687223
1264.317928	-99.433231
1264.851355	-99.179204
1265.385232	-98.925147
1265.919560	-98.671064
1266.454340	-98.416962
1266.989572	-98.162844
1267.525256	-97.908718
1268.061394	-97.654587
1268.597985	-97.400460
1269.135031	-97.146340
1269.672531	-96.892233
1270.210487	-96.638146
1270.748899	-96.384085
1271.287768	-96.130054
1271.827094	-95.876060
1272.366877	-95.622108
1272.907119	-95.368203
1273.447820	-95.114351
1273.988981	-94.860557
1274.530601	-94.606826
1275.072683	-94.353163
1275.615226	-94.099572
1276.158230	-93.846057
1276.701697	-93.592623
1277.245627	-93.339272
1277.790021	-93.086009
1278.334879	-92.832836
1278.880202	-92.579756
1279.425991	-92.326770
1279.972245	-92.073882
1280.518966	-91.821091
1281.066155	-91.568399
1281.613811	-91.315806
1282.161936	-91.063312
1282.710529	-90.810917
1283.259593	-90.558618
1283.809126	-90.306415
1284.359131	-90.054306
1284.909607	-89.802287
1285.460555	-89.550356
1286.011976	-89.298508
1286.563870	-89.046740
1287.116237	-88.795046
1287.669080	-88.543422
1288.222397	-88.291862
1288.776191	-88.040358
1289.330460	-87.788906
1289.885207	-87.537497
1290.440431	-87.286124
1290.996133	-87.034780
1291.552314	-86.783455
1292.108975	-86.532141
1292.666115	-86.280830
1293.223737	-86.029512
1293.781839	-85.778178
1294.340424	-85.526819
1294.899491	-85.275424
1295.459041	-85.023984
1296.019075	-84.772490
1296.579593	-84.520932
1297.140597	-84.269299
1297.702086	-84.017583
1298.264061	-83.765774
1298.826524	-83.513862
1299.389474	-83.261840
1299.952912	-83.009698
