# 2022-02-02_11.01.26
# shape = sech2
# FWHM_ps = 0.12
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 5000
# GDD = 0.0
# propa_len = 0.01
# untap_len = 0.0
# taper_len = 0.0
# waist_len = 0.0
# uptap_len = 0.0
# untap_scale = 2
# waist_scale = 0.0
# workingDir = SiN_Waveguide
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 13000
# 
# wavelength [nm]	 power spectral density [dB]
750.010021	-292.149118
750.197703	-292.687719
750.385479	-293.363013
750.573348	-299.201585
750.761312	-300.600535
750.949370	-293.268539
751.137523	-302.750840
751.325769	-301.453835
751.514110	-295.287499
751.702545	-298.021614
751.891075	-297.751309
752.079700	-297.870545
752.268419	-296.044413
752.457233	-296.359985
752.646142	-299.060317
752.835145	-296.381410
753.024244	-299.473126
753.213437	-297.148838
753.402726	-295.701646
753.592110	-295.550467
753.781589	-296.339493
753.971163	-293.350291
754.160833	-293.499533
754.350598	-289.048789
754.540459	-294.109929
754.730415	-292.442617
754.920467	-294.759486
755.110615	-290.812484
755.300858	-295.813655
755.491198	-293.105244
755.681633	-293.008481
755.872164	-296.452459
756.062792	-301.891268
756.253515	-289.802729
756.444335	-295.519695
756.635252	-287.434883
756.826264	-300.614030
757.017373	-294.306098
757.208579	-288.819054
757.399881	-299.209349
757.591280	-290.122759
757.782776	-296.503816
757.974368	-321.049603
758.166058	-292.681948
758.357844	-297.674627
758.549728	-285.240574
758.741708	-286.637730
758.933786	-293.765387
759.125961	-293.189073
759.318233	-286.349737
759.510603	-297.143274
759.703071	-294.769798
759.895635	-283.055743
760.088298	-295.111639
760.281058	-286.222786
760.473916	-307.945511
760.666872	-296.902443
760.859926	-292.149086
761.053078	-289.419122
761.246328	-297.406055
761.439676	-292.476826
761.633122	-286.015016
761.826667	-299.119481
762.020310	-285.871668
762.214052	-293.197509
762.407892	-298.670470
762.601831	-288.586059
762.795868	-290.695505
762.990004	-291.120979
763.184239	-301.568828
763.378573	-293.475291
763.573006	-301.287712
763.767538	-286.266067
763.962169	-297.002915
764.156900	-291.069556
764.351729	-284.699956
764.546658	-298.199906
764.741687	-298.766922
764.936815	-289.344969
765.132042	-284.276010
765.327370	-289.849728
765.522797	-286.690721
765.718324	-291.938507
765.913950	-299.290930
766.109677	-285.806766
766.305504	-289.753474
766.501431	-289.932927
766.697458	-286.465962
766.893586	-287.575744
767.089814	-288.596097
767.286142	-284.932952
767.482571	-301.762803
767.679100	-290.143534
767.875730	-288.472478
768.072461	-292.819973
768.269293	-294.163166
768.466225	-288.247732
768.663259	-288.432496
768.860393	-296.721031
769.057629	-287.093471
769.254966	-290.083014
769.452404	-288.130654
769.649944	-286.424829
769.847585	-288.842698
770.045328	-287.311456
770.243172	-289.831489
770.441118	-288.481007
770.639166	-286.651437
770.837315	-292.974106
771.035567	-287.298593
771.233920	-286.909435
771.432376	-284.812272
771.630934	-285.160754
771.829594	-289.805219
772.028356	-289.540806
772.227220	-286.090769
772.426188	-292.589549
772.625257	-292.564401
772.824430	-288.068011
773.023705	-287.158988
773.223083	-288.485511
773.422563	-286.107693
773.622147	-288.021448
773.821834	-286.870661
774.021624	-288.419829
774.221517	-289.039479
774.421513	-290.077465
774.621613	-286.530335
774.821816	-285.581360
775.022122	-286.688927
775.222532	-284.976067
775.423046	-285.488376
775.623664	-285.234039
775.824385	-284.186967
776.025211	-283.263609
776.226140	-284.358065
776.427173	-285.117545
776.628311	-284.380675
776.829553	-283.965836
777.030899	-283.137874
777.232350	-284.675328
777.433905	-283.816494
777.635564	-284.580384
777.837328	-284.671158
778.039197	-282.992126
778.241171	-283.620779
778.443250	-286.303600
778.645433	-282.574300
778.847722	-285.023167
779.050116	-285.097610
779.252615	-283.753501
779.455219	-283.472638
779.657929	-282.136847
779.860744	-283.760079
780.063665	-285.429408
780.266691	-285.721314
780.469823	-283.921246
780.673061	-282.989681
780.876405	-283.584318
781.079855	-283.221465
781.283410	-282.904365
781.487072	-282.267747
781.690840	-282.183935
781.894715	-285.462455
782.098695	-282.503156
782.302783	-283.324822
782.506976	-282.834060
782.711277	-282.311510
782.915684	-282.278345
783.120198	-281.047075
783.324818	-281.270237
783.529546	-282.132636
783.734381	-281.814820
783.939322	-281.919950
784.144372	-281.735563
784.349528	-280.154064
784.554792	-281.934654
784.760163	-280.614926
784.965642	-281.023159
785.171228	-281.394745
785.376922	-280.566868
785.582724	-280.093831
785.788634	-280.747657
785.994651	-278.867075
786.200777	-279.849884
786.407011	-279.261810
786.613353	-279.035915
786.819804	-279.353093
787.026363	-279.001792
787.233030	-279.123464
787.439806	-278.227588
787.646691	-279.311417
787.853684	-277.991455
788.060786	-279.212209
788.267997	-277.657806
788.475317	-277.911043
788.682746	-277.477397
788.890285	-278.267923
789.097932	-278.157364
789.305689	-277.804868
789.513555	-277.369973
789.721531	-277.985546
789.929617	-277.708640
790.137812	-277.073418
790.346117	-277.423578
790.554531	-277.280793
790.763056	-277.197029
790.971691	-276.620428
791.180436	-276.891559
791.389291	-277.561105
791.598256	-277.483958
791.807332	-276.641665
792.016518	-276.634716
792.225815	-275.980660
792.435222	-276.407718
792.644740	-276.109096
792.854369	-276.175982
793.064109	-276.324506
793.273960	-275.779734
793.483922	-276.339469
793.693995	-276.116824
793.904180	-275.435830
794.114475	-275.694623
794.324882	-274.365231
794.535401	-276.150806
794.746031	-274.625060
794.956774	-274.982421
795.167627	-275.075543
795.378593	-274.850210
795.589671	-274.098419
795.800861	-274.071016
796.012162	-274.593162
796.223577	-274.128699
796.435103	-273.347348
796.646742	-273.487739
796.858493	-273.475101
797.070357	-273.309459
797.282334	-272.951362
797.494423	-273.605889
797.706626	-273.182440
797.918941	-272.877400
798.131369	-273.025826
798.343911	-272.227525
798.556566	-273.015007
798.769334	-272.293200
798.982215	-272.658656
799.195210	-272.036419
799.408319	-271.585500
799.621541	-272.286866
799.834877	-271.845226
800.048327	-271.715460
800.261890	-271.240680
800.475568	-271.540711
800.689360	-271.072168
800.903266	-271.252087
801.117287	-271.225053
801.331422	-270.853559
801.545671	-270.990760
801.760036	-270.705354
801.974514	-270.594232
802.189108	-270.443545
802.403816	-270.073427
802.618640	-270.420226
802.833578	-270.058843
803.048632	-269.834430
803.263800	-269.791974
803.479085	-269.245799
803.694484	-269.687889
803.909999	-269.221979
