# wavelength [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	effective refractive index	transmission [dB/m]	effective mode area [m]	
5.500000000000095572e-07	1.998408452853748019e+00	7.402592287764753920e-09	6.459564087904396333e-13	2.000940219334264025e+00	-4.613323798055595669e-09	6.452332076342126412e-13
5.600000000000094614e-07	1.995648727334272010e+00	1.092745410975492112e-08	6.492212596810712198e-13	1.998307568503175036e+00	-6.723888985043853764e-09	6.480242254900161755e-13
5.700000000000093657e-07	1.992964800222019051e+00	1.584414422141785253e-08	6.525231695147829438e-13	1.995754126072216028e+00	-9.632718665603005106e-09	6.508307884994295799e-13
5.800000000000092699e-07	1.990350125310659024e+00	2.258337658576170908e-08	6.558627664704553016e-13	1.993273353703751027e+00	-1.357435897929756676e-08	6.536533577569872308e-13
5.900000000000091742e-07	1.987798765926880096e+00	3.166505387922266061e-08	6.592406718152874049e-13	1.990859321323876996e+00	-1.882803335890037881e-08	6.564923802131373053e-13
6.000000000000090785e-07	1.985305328614803910e+00	4.370087599419725740e-08	6.626575007879600098e-13	1.988506640819418969e+00	-2.571787541644805872e-08	6.593482901044347381e-13
6.100000000000089827e-07	1.982864905165645952e+00	5.939094945896190984e-08	6.661138633928827893e-13	1.986210408080343992e+00	-3.460979054086467898e-08	6.622215102428303423e-13
6.200000000000088870e-07	1.980473021803371036e+00	7.951387125189297569e-08	6.696103651155961076e-13	1.983966152198282096e+00	-4.590498863762057076e-08	6.651124531802291317e-13
6.300000000000087912e-07	1.978125594526034980e+00	1.049102465080692579e-07	6.731476075681206323e-13	1.981769790820808952e+00	-6.002987990781068466e-08	6.680215222624687716e-13
6.400000000000086955e-07	1.975818889758176988e+00	1.282546861560580965e-07	6.767261890720541345e-13	1.979617590816795003e+00	-6.566527662670860802e-08	6.709491125852064454e-13
6.500000000000085997e-07	1.973549489598837026e+00	1.635061219954275848e-07	6.803467051849153376e-13	1.977506133537370037e+00	-8.098572671141719542e-08	6.738956118615337758e-13
6.600000000000085040e-07	1.971314261057190098e+00	2.075945450697328254e-07	6.840097491779155426e-13	1.975432284064466026e+00	-9.910105779737151485e-08	6.768614012132605053e-13
6.700000000000084082e-07	1.969110328757373019e+00	5.222041867907220862e-07	6.877159124676094824e-13	1.973393163928482963e+00	-2.754595743353874033e-07	6.798468558914470714e-13
6.800000000000083125e-07	1.966935050669327945e+00	6.842360419210749855e-07	6.914657850111007511e-13	1.971386126851881970e+00	-3.564699476452546459e-07	6.828523459341262851e-13
6.900000000000082168e-07	1.964785996485491903e+00	8.878910449874555717e-07	6.952599556549856028e-13	1.969408737138550025e+00	-4.567814433259892437e-07	6.858782367704336609e-13
7.000000000000081210e-07	1.962660928316555919e+00	1.141928197362637390e-06	6.990990124622891219e-13	1.967458750382087951e+00	-5.799705170222099920e-07	6.889248897727614823e-13
7.100000000000080253e-07	1.960557783424365930e+00	1.456758845325274067e-06	7.029835430036506706e-13	1.965534096211142945e+00	-7.301574895001032523e-07	6.919926627649927265e-13
7.200000000000079295e-07	1.958474658748426966e+00	1.844793614169506564e-06	7.069141346224533496e-13	1.963632862828206038e+00	-9.120919632513472701e-07	6.950819104901742606e-13
7.300000000000078338e-07	1.956409797014813101e+00	2.320870575382444876e-06	7.108913746751721705e-13	1.961753283130688974e+00	-1.131263955910093366e-06	6.981929850418758804e-13
7.400000000000077380e-07	1.954361574244108946e+00	2.902731293307000823e-06	7.149158507490139375e-13	1.959893722230888091e+00	-1.394008327903633323e-06	7.013262362627786780e-13
7.500000000000076423e-07	1.952328488498701997e+00	3.611557991914729137e-06	7.189881508587675537e-13	1.958052666215170934e+00	-1.707627000243618185e-06	7.044820121136454572e-13
7.600000000000075466e-07	1.950309149730020009e+00	4.472522800099165187e-06	7.231088636246296770e-13	1.956228712002967107e+00	-2.080481831489984926e-06	7.076606590155831704e-13
7.700000000000074508e-07	1.948302270603933906e+00	5.515312581523054019e-06	7.272785784323954356e-13	1.954420558183779910e+00	-2.522065267803777795e-06	7.108625221680671062e-13
7.800000000000073551e-07	1.946306658197417105e+00	5.639486243093760757e-06	7.314978855855689852e-13	1.952626996725314923e+00	-1.681740565307957471e-06	7.140879458439113550e-13
7.900000000000072593e-07	1.944321206472656050e+00	1.301948433773838982e-05	7.357673764001270855e-13	1.950846905459113989e+00	-5.654146929248807544e-06	7.173372736713837451e-13
8.000000000000071636e-07	1.942344889446510958e+00	1.577059874252479803e-05	7.400876433764345350e-13	1.949079241260762929e+00	-6.725390332618443417e-06	7.206108488798121448e-13
8.100000000000070678e-07	1.940376754981604890e+00	1.902066184917022043e-05	7.444592802556584535e-13	1.947323033852653928e+00	-7.958563781220038123e-06	7.239090145541821121e-13
8.200000000000069721e-07	1.938415919135956900e+00	2.284805982435784494e-05	7.488828821274527192e-13	1.945577380164263959e+00	-9.372196420826946366e-06	7.272321138551140274e-13
8.300000000000068763e-07	1.936461561013508970e+00	2.734005501962217510e-05	7.533590455062909259e-13	1.943841439193614962e+00	-1.098557339119288470e-05	7.305804902332633203e-13
8.400000000000067806e-07	1.934512918065468989e+00	3.259229516333336590e-05	7.578883683996905072e-13	1.942114427319368009e+00	-1.281820345549401405e-05	7.339544876298254350e-13
8.500000000000066849e-07	1.932569281797712035e+00	3.870780775775567608e-05	7.624714503665580510e-13	1.940395614018872950e+00	-1.488911429266068915e-05	7.373544506657355229e-13
8.600000000000065891e-07	1.930629993844400039e+00	4.579547506535261409e-05	7.671088925661754150e-13	1.938684317952334091e+00	-1.721597376286241793e-05	7.407807248203901442e-13
8.700000000000064934e-07	1.928694442372482998e+00	5.396799642906390047e-05	7.718012977983624161e-13	1.936979903377767931e+00	-1.981406394618918145e-05	7.442336566008632584e-13
8.800000000000063976e-07	1.926762058785403076e+00	6.333951110901265484e-05	7.765492705353017754e-13	1.935281776865074965e+00	-2.269514656779799040e-05	7.477135937023810804e-13
8.900000000000063019e-07	1.924832314697793034e+00	7.467844657241433435e-05	7.813534169385282295e-13	1.933589384281048984e+00	-2.588178517334091764e-05	7.512208851612887991e-13
9.000000000000062061e-07	1.922904719155998032e+00	8.731444639115060397e-05	7.862143449022238420e-13	1.931902208020020995e+00	-2.942413140591603686e-05	7.547558814980576043e-13
9.100000000000061104e-07	1.920978816081547969e+00	1.016994646253753135e-04	7.911326640229960224e-13	1.930219764457602905e+00	-3.329031566045459754e-05	7.583189348584709472e-13
9.200000000000060147e-07	1.919054181917497992e+00	1.193929491111232017e-04	7.961089856283732526e-13	1.928541601607125955e+00	-3.792785400707055740e-05	7.619103991436582017e-13
9.300000000000059189e-07	1.917130423459588950e+00	1.377664040420028125e-04	8.011439227697807156e-13	1.926867296960460996e+00	-4.214718215756006731e-05	7.655306301392656008e-13
9.400000000000058232e-07	1.915207175854882982e+00	1.592937447134968373e-04	8.062380901937213513e-13	1.925196455497298897e+00	-4.709275554756253213e-05	7.691799856275831339e-13
9.500000000000057274e-07	1.913284100754520933e+00	1.835002289174616618e-04	8.113921043544801270e-13	1.923528707847270036e+00	-5.234174380544936729e-05	7.728588255158808309e-13
9.600000000000056317e-07	1.911360884606003951e+00	2.105696708580954166e-04	8.166065833716611566e-13	1.921863708592373099e+00	-5.785264242439094764e-05	7.765675119398006845e-13
9.700000000000055359e-07	1.909437237073634996e+00	2.406706935042936626e-04	8.218821470071593241e-13	1.920201134697252066e+00	-6.356843537570507736e-05	7.803064093724150418e-13
9.800000000000054402e-07	1.907512889576004955e+00	2.739522459464798117e-04	8.272194166316366479e-13	1.918540684056528001e+00	-6.941520304444754631e-05	7.840758847273350923e-13
9.900000000000053444e-07	1.905587593930746060e+00	3.105395281590404583e-04	8.326190151857063867e-13	1.916882074149385939e+00	-7.530157358989980967e-05	7.878763074580571570e-13
1.000000000000005249e-06	1.903661121097560915e+00	3.505306931338028425e-04	8.380815671359874539e-13	1.915225040792428057e+00	-8.111836554368302872e-05	7.917080496538245615e-13
1.010000000000005153e-06	1.901733260011486903e+00	3.939943472681543325e-04	8.436076984261066889e-13	1.913569336982748892e+00	-8.673771422500537094e-05	7.955714861323718285e-13
1.020000000000005057e-06	1.899803816498990994e+00	4.409678360801168231e-04	8.491980364228721387e-13	1.911914731823858071e+00	-9.201223002924472912e-05	7.994669945296501468e-13
1.030000000000004961e-06	1.897872612270214088e+00	4.914564475228022688e-04	8.548532098576695531e-13	1.910261009527745912e+00	-9.677466427464301497e-05	8.033949553865988390e-13
1.040000000000004866e-06	1.895939483981307072e+00	5.454336379706204579e-04	8.605738487632159852e-13	1.908607968487066930e+00	-1.008378424683461128e-04	8.073557522332468709e-13
1.050000000000004770e-06	1.894004282361291924e+00	6.028422168694278242e-04	8.663605844057779347e-13	1.906955420411859059e+00	-1.039946326442162914e-04	8.113497716701523773e-13
1.060000000000004674e-06	1.892066871398365047e+00	6.635963745010689573e-04	8.722140492128962394e-13	1.905303189525729968e+00	-1.060178392308702613e-04	8.153774034474930231e-13
1.070000000000004578e-06	1.890127127581074928e+00	7.275843631821074129e-04	8.781348766967820018e-13	1.903651111816959896e+00	-1.066598884327376256e-04	8.194390405417669113e-13
1.080000000000004483e-06	1.888184939190121980e+00	7.946715522716021971e-04	8.841237013733791068e-13	1.901999034340255079e+00	-1.056522460818539475e-04	8.235350792303085107e-13
1.090000000000004387e-06	1.886240205636926959e+00	8.647035447039557463e-04	8.901811586771890542e-13	1.900346814565311959e+00	-1.027045249314011198e-04	8.276659191636609004e-13
1.100000000000004291e-06	1.884292836845465891e+00	9.375090508762625114e-04	8.963078848719766503e-13	1.898694319768700955e+00	-9.750318739096802266e-05	8.318319634358799632e-13
1.110000000000004196e-06	1.882342752674071029e+00	1.012902088149829436e-03	9.025045169573123306e-13	1.897041426465766012e+00	-8.970988681088009177e-05	8.360336186528630173e-13
1.120000000000004100e-06	1.880389882374323030e+00	1.090683267491318869e-03	9.087716925711215602e-13	1.895388019879675978e+00	-7.895944323179791748e-05	8.402712949987623729e-13
1.130000000000004004e-06	1.878434164084213931e+00	1.170639774888168833e-03	9.151100498882089978e-13	1.893733993444814967e+00	-6.485762322352030924e-05	8.445454063004866383e-13
1.140000000000003908e-06	1.876475544353161995e+00	1.252543918527779937e-03	9.215202275148496139e-13	1.892079248342074971e+00	-4.697883846977480855e-05	8.488563700904228616e-13
1.150000000000003813e-06	1.874513977696522948e+00	1.336150078428645447e-03	9.280028643794683722e-13	1.890423693063751021e+00	-2.486402830549408190e-05	8.532046076673264944e-13
1.160000000000003717e-06	1.872549426177509080e+00	1.421190111257135576e-03	9.345585996194765294e-13	1.888767243005895047e+00	1.980935463103566250e-06	8.575905441554523868e-13
1.170000000000003621e-06	1.870581859014571080e+00	1.507367336514869481e-03	9.411880724642768737e-13	1.887109820086227074e+00	3.408602817070443555e-05	8.620146085619656850e-13
1.180000000000003525e-06	1.868611252212428075e+00	1.594349493925733760e-03	9.478919221145012119e-13	1.885451352385784984e+00	7.201650413652122137e-05	8.664772338326214270e-13
1.190000000000003430e-06	1.866637588215112054e+00	1.681761064996458235e-03	9.546707876175009056e-13	1.883791773812677040e+00	1.163706610797020331e-04	8.709788569056828441e-13
1.200000000000003334e-06	1.864660855579469034e+00	1.769175603189136444e-03	9.615253077391367041e-13	1.882131023786393076e+00	1.677754234182495441e-04	8.755199187642391215e-13
1.210000000000003238e-06	1.862681048667760964e+00	1.856108782716408808e-03	9.684561208318684779e-13	1.880469046941309008e+00	2.268793300681066702e-04	8.801008644867106713e-13
1.220000000000003142e-06	1.860698167357988986e+00	1.942012873547965205e-03	9.754638646992635999e-13	1.878805792848033063e+00	2.943426695043012365e-04	8.847221432957366981e-13
1.230000000000003047e-06	1.858712216770809000e+00	2.026273334077943137e-03	9.825491764568191626e-13	1.877141215751439107e+00	3.708244833502552865e-04	8.893842086052696653e-13
1.240000000000002951e-06	1.856723207011869103e+00	2.108208180940731018e-03	9.897126923892696872e-13	1.875475274324243102e+00	4.569664564623239413e-04	8.940875180660145918e-13
1.250000000000002855e-06	1.854731152928345894e+00	2.155568229893320160e-03	9.969550477023669031e-13	1.873807931434323004e+00	5.585193207555311278e-04	8.988325335899147895e-13
1.260000000000002759e-06	1.852736073879843959e+00	2.224453920384156409e-03	1.004276876770751405e-12	1.872139153929309963e+00	6.729362944925317697e-04	9.036197214665810688e-13
1.270000000000002664e-06	1.850737993520249924e+00	2.287456540261343253e-03	1.011678812402303535e-12	1.870468912426840991e+00	8.017085483265672455e-04	9.084495522948260841e-13
1.280000000000002568e-06	1.848736939592743100e+00	2.343408504437250600e-03	1.019161486061045736e-12	1.868797181123353024e+00	9.460000396509040971e-04	9.133225010915106798e-13
