[Hz],Trace1[dBm]
6.317500000E+08,-1.05126E+02
6.317500000E+08,-6.77112E+01
6.317900000E+08,-1.07189E+02
6.317900000E+08,-6.68781E+01
6.318300000E+08,-1.05080E+02
6.318300000E+08,-6.72839E+01
6.318700000E+08,-1.03621E+02
6.318700000E+08,-6.76715E+01
6.319100000E+08,-1.00954E+02
6.319100000E+08,-6.66858E+01
6.319500000E+08,-1.15816E+02
6.319500000E+08,-6.80804E+01
6.319900000E+08,-1.08391E+02
6.319900000E+08,-6.66492E+01
6.320300000E+08,-1.10524E+02
6.320300000E+08,-6.75372E+01
6.320700000E+08,-1.07070E+02
6.320700000E+08,-6.67346E+01
6.321100000E+08,-1.03072E+02
6.321100000E+08,-6.81903E+01
6.321500000E+08,-1.01827E+02
6.321500000E+08,-6.72382E+01
6.321900000E+08,-1.09175E+02
6.321900000E+08,-6.71771E+01
6.322300000E+08,-1.11031E+02
6.322300000E+08,-6.65393E+01
6.322700000E+08,-9.99438E+01
6.322700000E+08,-6.70764E+01
6.323100000E+08,-1.02846E+02
6.323100000E+08,-6.72046E+01
6.323500000E+08,-1.02907E+02
6.323500000E+08,-6.85901E+01
6.323900000E+08,-1.12447E+02
6.323900000E+08,-6.82147E+01
6.324300000E+08,-1.05269E+02
6.324300000E+08,-6.62891E+01
6.324700000E+08,-1.03221E+02
6.324700000E+08,-6.83734E+01
6.325100000E+08,-1.03112E+02
6.325100000E+08,-6.90753E+01
6.325500000E+08,-1.06722E+02
6.325500000E+08,-6.69513E+01
6.325900000E+08,-1.04982E+02
6.325900000E+08,-6.45099E+01
6.326300000E+08,-1.05703E+02
6.326300000E+08,-6.82086E+01
6.326700000E+08,-1.04915E+02
6.326700000E+08,-6.76746E+01
6.327100000E+08,-1.09609E+02
6.327100000E+08,-6.63745E+01
6.327500000E+08,-1.15343E+02
6.327500000E+08,-6.70642E+01
6.327900000E+08,-1.16286E+02
6.327900000E+08,-6.68353E+01
6.328300000E+08,-1.06600E+02
6.328300000E+08,-6.78729E+01
6.328700000E+08,-1.07967E+02
6.328700000E+08,-6.58069E+01
6.329100000E+08,-1.00606E+02
6.329100000E+08,-6.69696E+01
6.329500000E+08,-1.05400E+02
6.329500000E+08,-6.74854E+01
6.329900000E+08,-1.07625E+02
6.329900000E+08,-6.74091E+01
6.330300000E+08,-1.05773E+02
6.330300000E+08,-6.64447E+01
6.330700000E+08,-1.07393E+02
6.330700000E+08,-6.77051E+01
6.331100000E+08,-1.07762E+02
6.331100000E+08,-6.87122E+01
6.331500000E+08,-1.08391E+02
6.331500000E+08,-6.69818E+01
6.331900000E+08,-1.10524E+02
6.331900000E+08,-6.86755E+01
6.332300000E+08,-1.08544E+02
6.332300000E+08,-6.80316E+01
6.332700000E+08,-1.07619E+02
6.332700000E+08,-6.74487E+01
6.333100000E+08,-1.06646E+02
6.333100000E+08,-6.77661E+01
6.333500000E+08,-1.02840E+02
6.333500000E+08,-6.74182E+01
6.333900000E+08,-1.02748E+02
6.333900000E+08,-6.71283E+01
6.334300000E+08,-1.09624E+02
6.334300000E+08,-6.76685E+01
6.334700000E+08,-1.04811E+02
6.334700000E+08,-6.57855E+01
6.335100000E+08,-1.10485E+02
6.335100000E+08,-6.72900E+01
6.335500000E+08,-1.09725E+02
6.335500000E+08,-6.55353E+01
6.335900000E+08,-1.06624E+02
6.335900000E+08,-6.76654E+01
6.336300000E+08,-1.09200E+02
6.336300000E+08,-6.83948E+01
6.336700000E+08,-1.04012E+02
6.336700000E+08,-6.70123E+01
6.337100000E+08,-1.05764E+02
6.337100000E+08,-6.62158E+01
6.337500000E+08,-1.06246E+02
6.337500000E+08,-6.71436E+01
6.337900000E+08,-1.04186E+02
6.337900000E+08,-6.73480E+01
6.338300000E+08,-1.03118E+02
6.338300000E+08,-6.65790E+01
6.338700000E+08,-1.05925E+02
6.338700000E+08,-6.63837E+01
6.339100000E+08,-1.05135E+02
6.339100000E+08,-6.84558E+01
