[Hz],Trace1[dBm]
6.250000000E+08,-1.12633E+02
6.250000000E+08,-6.89746E+01
6.250400000E+08,-1.07418E+02
6.250400000E+08,-6.98718E+01
6.250800000E+08,-1.09197E+02
6.250800000E+08,-6.62738E+01
6.251200000E+08,-1.08254E+02
6.251200000E+08,-6.90601E+01
6.251600000E+08,-1.03533E+02
6.251600000E+08,-6.81476E+01
6.252000000E+08,-1.10894E+02
6.252000000E+08,-6.69910E+01
6.252400000E+08,-1.11275E+02
6.252400000E+08,-6.86481E+01
6.252800000E+08,-1.03057E+02
6.252800000E+08,-6.73419E+01
6.253200000E+08,-1.09313E+02
6.253200000E+08,-7.00305E+01
6.253600000E+08,-1.04909E+02
6.253600000E+08,-6.82422E+01
6.254000000E+08,-1.04052E+02
6.254000000E+08,-6.89716E+01
6.254400000E+08,-1.12810E+02
6.254400000E+08,-6.80499E+01
6.254800000E+08,-1.19524E+02
6.254800000E+08,-6.77386E+01
6.255200000E+08,-1.15706E+02
6.255200000E+08,-6.89227E+01
6.255600000E+08,-1.08022E+02
6.255600000E+08,-6.80621E+01
6.256000000E+08,-1.04744E+02
6.256000000E+08,-6.91821E+01
6.256400000E+08,-1.05788E+02
6.256400000E+08,-6.70978E+01
6.256800000E+08,-1.03484E+02
6.256800000E+08,-6.89288E+01
6.257200000E+08,-1.08275E+02
6.257200000E+08,-6.85596E+01
6.257600000E+08,-1.04912E+02
6.257600000E+08,-6.81964E+01
6.258000000E+08,-1.06118E+02
6.258000000E+08,-6.65363E+01
6.258400000E+08,-1.02858E+02
6.258400000E+08,-6.82086E+01
6.258800000E+08,-1.14437E+02
6.258800000E+08,-6.74152E+01
6.259200000E+08,-1.07503E+02
6.259200000E+08,-6.78851E+01
6.259600000E+08,-1.10448E+02
6.259600000E+08,-6.89624E+01
6.260000000E+08,-1.10692E+02
6.260000000E+08,-6.89014E+01
6.260400000E+08,-1.14263E+02
6.260400000E+08,-6.95422E+01
6.260800000E+08,-1.15895E+02
6.260800000E+08,-6.81171E+01
6.261200000E+08,-1.03795E+02
6.261200000E+08,-6.82330E+01
6.261600000E+08,-1.05291E+02
6.261600000E+08,-6.74274E+01
6.262000000E+08,-1.06029E+02
6.262000000E+08,-6.85779E+01
6.262400000E+08,-1.10594E+02
6.262400000E+08,-6.91364E+01
6.262800000E+08,-1.12395E+02
6.262800000E+08,-6.73938E+01
6.263200000E+08,-1.07381E+02
6.263200000E+08,-6.81445E+01
6.263600000E+08,-1.10332E+02
6.263600000E+08,-6.79187E+01
6.264000000E+08,-1.12285E+02
6.264000000E+08,-6.94080E+01
6.264400000E+08,-1.12920E+02
6.264400000E+08,-6.76593E+01
6.264800000E+08,-1.14360E+02
6.264800000E+08,-6.84283E+01
6.265200000E+08,-1.04250E+02
6.265200000E+08,-6.86572E+01
6.265600000E+08,-1.15532E+02
6.265600000E+08,-6.75342E+01
6.266000000E+08,-1.08516E+02
6.266000000E+08,-6.85016E+01
6.266400000E+08,-1.04854E+02
6.266400000E+08,-6.79614E+01
6.266800000E+08,-1.06435E+02
6.266800000E+08,-6.76471E+01
6.267200000E+08,-1.04024E+02
6.267200000E+08,-6.76929E+01
6.267600000E+08,-1.05547E+02
6.267600000E+08,-6.86969E+01
6.268000000E+08,-1.13054E+02
6.268000000E+08,-6.70032E+01
6.268400000E+08,-1.07454E+02
6.268400000E+08,-6.91882E+01
6.268800000E+08,-1.10216E+02
6.268800000E+08,-6.88495E+01
6.269200000E+08,-1.11061E+02
6.269200000E+08,-6.65942E+01
6.269600000E+08,-1.05855E+02
6.269600000E+08,-6.73602E+01
6.270000000E+08,-1.08757E+02
6.270000000E+08,-6.74426E+01
6.270400000E+08,-1.07692E+02
6.270400000E+08,-6.91821E+01
6.270800000E+08,-1.02504E+02
6.270800000E+08,-6.89929E+01
6.271200000E+08,-1.08107E+02
6.271200000E+08,-6.72321E+01
6.271600000E+08,-1.12883E+02
6.271600000E+08,-6.80530E+01
6.272000000E+08,-1.14595E+02
6.272000000E+08,-6.96613E+01
6.272400000E+08,-1.02507E+02
6.272400000E+08,-6.82391E+01
6.272800000E+08,-1.05257E+02
6.272800000E+08,-6.82941E+01
6.273200000E+08,-1.05068E+02
6.273200000E+08,-6.91241E+01
6.273600000E+08,-1.22103E+02
6.273600000E+08,-6.74823E+01
6.274000000E+08,-1.08318E+02
6.274000000E+08,-6.81262E+01
6.274400000E+08,-1.10457E+02
6.274400000E+08,-6.89014E+01
6.274800000E+08,-1.08181E+02
6.274800000E+08,-6.79706E+01
6.275200000E+08,-1.12874E+02
6.275200000E+08,-6.84741E+01
6.275600000E+08,-1.07128E+02
6.275600000E+08,-6.90082E+01
6.276000000E+08,-1.12108E+02
6.276000000E+08,-6.79858E+01
6.276400000E+08,-1.16222E+02
6.276400000E+08,-6.91486E+01
6.276800000E+08,-1.06066E+02
6.276800000E+08,-6.76868E+01
6.277200000E+08,-1.08489E+02
6.277200000E+08,-6.76929E+01
6.277600000E+08,-1.11299E+02
6.277600000E+08,-6.83704E+01
6.278000000E+08,-1.06487E+02
6.278000000E+08,-6.90509E+01
6.278400000E+08,-1.06990E+02
6.278400000E+08,-6.89594E+01
6.278800000E+08,-1.11412E+02
6.278800000E+08,-6.66644E+01
6.279200000E+08,-1.06356E+02
6.279200000E+08,-6.79767E+01
6.279600000E+08,-1.11748E+02
6.279600000E+08,-6.74701E+01
6.280000000E+08,-1.03829E+02
6.280000000E+08,-6.53735E+01
6.280400000E+08,-1.10344E+02
6.280400000E+08,-6.86877E+01
6.280800000E+08,-1.11330E+02
6.280800000E+08,-6.84619E+01
6.281200000E+08,-1.09508E+02
6.281200000E+08,-6.86053E+01
6.281600000E+08,-1.06227E+02
6.281600000E+08,-6.65546E+01
6.282000000E+08,-1.14193E+02
6.282000000E+08,-6.70001E+01
6.282400000E+08,-1.14162E+02
6.282400000E+08,-6.89594E+01
6.282800000E+08,-1.05214E+02
6.282800000E+08,-6.79065E+01
6.283200000E+08,-1.11489E+02
6.283200000E+08,-6.85443E+01
6.283600000E+08,-1.16762E+02
6.283600000E+08,-6.86115E+01
6.284000000E+08,-1.05797E+02
6.284000000E+08,-6.85535E+01
6.284400000E+08,-1.02681E+02
6.284400000E+08,-6.93866E+01
6.284800000E+08,-1.10927E+02
6.284800000E+08,-6.95331E+01
6.285200000E+08,-1.08055E+02
6.285200000E+08,-6.86908E+01
6.285600000E+08,-1.15767E+02
6.285600000E+08,-6.93744E+01
6.286000000E+08,-1.13100E+02
6.286000000E+08,-6.76837E+01
6.286400000E+08,-1.10109E+02
6.286400000E+08,-6.84528E+01
6.286800000E+08,-1.14336E+02
6.286800000E+08,-6.74365E+01
6.287200000E+08,-1.06523E+02
6.287200000E+08,-6.63837E+01
6.287600000E+08,-1.06728E+02
6.287600000E+08,-6.79431E+01
6.288000000E+08,-1.10283E+02
6.288000000E+08,-6.74396E+01
6.288400000E+08,-1.10500E+02
6.288400000E+08,-6.65607E+01
6.288800000E+08,-1.04036E+02
6.288800000E+08,-6.76685E+01
6.289200000E+08,-1.11022E+02
6.289200000E+08,-6.69116E+01
6.289600000E+08,-1.10762E+02
6.289600000E+08,-6.75342E+01
6.290000000E+08,-1.04943E+02
6.290000000E+08,-6.90387E+01
6.290400000E+08,-1.09670E+02
6.290400000E+08,-6.89380E+01
6.290800000E+08,-1.05150E+02
6.290800000E+08,-6.79553E+01
6.291200000E+08,-1.07973E+02
6.291200000E+08,-6.79553E+01
6.291600000E+08,-1.10106E+02
6.291600000E+08,-6.89502E+01
6.292000000E+08,-1.03823E+02
6.292000000E+08,-6.94324E+01
6.292400000E+08,-1.09322E+02
6.292400000E+08,-6.77905E+01
6.292800000E+08,-1.10009E+02
6.292800000E+08,-6.70337E+01
6.293200000E+08,-1.13185E+02
6.293200000E+08,-6.71222E+01
6.293600000E+08,-1.02291E+02
6.293600000E+08,-6.80682E+01
6.294000000E+08,-1.04595E+02
6.294000000E+08,-6.68201E+01
6.294400000E+08,-1.05904E+02
6.294400000E+08,-6.82330E+01
6.294800000E+08,-1.00936E+02
6.294800000E+08,-6.79889E+01
6.295200000E+08,-1.08824E+02
6.295200000E+08,-6.82605E+01
6.295600000E+08,-1.14342E+02
6.295600000E+08,-6.74121E+01
6.296000000E+08,-1.06227E+02
6.296000000E+08,-6.80225E+01
6.296400000E+08,-1.05599E+02
6.296400000E+08,-6.76868E+01
6.296800000E+08,-1.13033E+02
6.296800000E+08,-6.88678E+01
6.297200000E+08,-1.10765E+02
6.297200000E+08,-6.86298E+01
6.297600000E+08,-1.08199E+02
6.297600000E+08,-6.92584E+01
6.298000000E+08,-1.05114E+02
6.298000000E+08,-6.85535E+01
6.298400000E+08,-1.07784E+02
6.298400000E+08,-6.82697E+01
6.298800000E+08,-1.11977E+02
6.298800000E+08,-6.59930E+01
6.299200000E+08,-1.05464E+02
6.299200000E+08,-6.75464E+01
6.299600000E+08,-1.05452E+02
6.299600000E+08,-6.68018E+01
6.300000000E+08,-1.10079E+02
6.300000000E+08,-6.82361E+01
6.300400000E+08,-1.07698E+02
6.300400000E+08,-6.66217E+01
6.300800000E+08,-1.05962E+02
6.300800000E+08,-6.89166E+01
6.301200000E+08,-1.13048E+02
6.301200000E+08,-6.78180E+01
6.301600000E+08,-1.06890E+02
6.301600000E+08,-6.73022E+01
6.302000000E+08,-1.10952E+02
6.302000000E+08,-6.85687E+01
6.302400000E+08,-1.06630E+02
6.302400000E+08,-6.87274E+01
6.302800000E+08,-1.06362E+02
6.302800000E+08,-6.80103E+01
6.303200000E+08,-1.04641E+02
6.303200000E+08,-6.78455E+01
6.303600000E+08,-1.07079E+02
6.303600000E+08,-6.59686E+01
6.304000000E+08,-1.07595E+02
6.304000000E+08,-6.80743E+01
6.304400000E+08,-1.16979E+02
6.304400000E+08,-6.59625E+01
6.304800000E+08,-1.00164E+02
6.304800000E+08,-6.86572E+01
6.305200000E+08,-1.10518E+02
6.305200000E+08,-6.85962E+01
6.305600000E+08,-1.06932E+02
6.305600000E+08,-6.68872E+01
6.306000000E+08,-1.06566E+02
6.306000000E+08,-6.91150E+01
6.306400000E+08,-1.09490E+02
6.306400000E+08,-6.67224E+01
6.306800000E+08,-1.05730E+02
6.306800000E+08,-6.85199E+01
6.307200000E+08,-1.01909E+02
6.307200000E+08,-6.78271E+01
6.307600000E+08,-1.01149E+02
6.307600000E+08,-6.79736E+01
6.308000000E+08,-1.02449E+02
6.308000000E+08,-6.88312E+01
6.308400000E+08,-1.05184E+02
6.308400000E+08,-6.80377E+01
6.308800000E+08,-1.05229E+02
6.308800000E+08,-6.63348E+01
6.309200000E+08,-1.02578E+02
6.309200000E+08,-6.81567E+01
6.309600000E+08,-1.06285E+02
6.309600000E+08,-6.86816E+01
6.310000000E+08,-9.93793E+01
6.310000000E+08,-6.92554E+01
6.310400000E+08,-1.19103E+02
6.310400000E+08,-6.89624E+01
6.310800000E+08,-1.09682E+02
6.310800000E+08,-6.67163E+01
6.311200000E+08,-1.02809E+02
6.311200000E+08,-6.79187E+01
6.311600000E+08,-1.09322E+02
6.311600000E+08,-6.54681E+01
6.312000000E+08,-1.02275E+02
6.312000000E+08,-6.60266E+01
6.312400000E+08,-1.05721E+02
6.312400000E+08,-6.69696E+01
6.312800000E+08,-1.02620E+02
6.312800000E+08,-6.70490E+01
6.313200000E+08,-1.02819E+02
6.313200000E+08,-6.68811E+01
