[Hz],Trace1[dBm]
6.170000000E+08,-1.01671E+02
6.170000000E+08,-6.68719E+01
6.170400000E+08,-1.14586E+02
6.170400000E+08,-6.79980E+01
6.170800000E+08,-1.04177E+02
6.170800000E+08,-6.88556E+01
6.171200000E+08,-1.05419E+02
6.171200000E+08,-6.65851E+01
6.171600000E+08,-1.10729E+02
6.171600000E+08,-6.86053E+01
6.172000000E+08,-1.02849E+02
6.172000000E+08,-6.72229E+01
6.172400000E+08,-1.13408E+02
6.172400000E+08,-6.85474E+01
6.172800000E+08,-1.09328E+02
6.172800000E+08,-6.88129E+01
6.173200000E+08,-1.03832E+02
6.173200000E+08,-6.73724E+01
6.173600000E+08,-1.08080E+02
6.173600000E+08,-6.83490E+01
6.174000000E+08,-1.08202E+02
6.174000000E+08,-6.82513E+01
6.174400000E+08,-1.14452E+02
6.174400000E+08,-6.81781E+01
6.174800000E+08,-1.02941E+02
6.174800000E+08,-6.74487E+01
6.175200000E+08,-1.09609E+02
6.175200000E+08,-6.69299E+01
6.175600000E+08,-1.12218E+02
6.175600000E+08,-6.75555E+01
6.176000000E+08,-1.07030E+02
6.176000000E+08,-6.71863E+01
6.176400000E+08,-1.16735E+02
6.176400000E+08,-6.76868E+01
6.176800000E+08,-1.03145E+02
6.176800000E+08,-6.80103E+01
6.177200000E+08,-1.07845E+02
6.177200000E+08,-6.89349E+01
6.177600000E+08,-1.09157E+02
6.177600000E+08,-6.85809E+01
6.178000000E+08,-1.13039E+02
6.178000000E+08,-6.86603E+01
6.178400000E+08,-1.08208E+02
6.178400000E+08,-6.90051E+01
6.178800000E+08,-1.07210E+02
6.178800000E+08,-6.86267E+01
6.179200000E+08,-1.10726E+02
6.179200000E+08,-6.76898E+01
6.179600000E+08,-1.08379E+02
6.179600000E+08,-6.83002E+01
6.180000000E+08,-1.13549E+02
6.180000000E+08,-6.86053E+01
6.180400000E+08,-1.08885E+02
6.180400000E+08,-6.81567E+01
6.180800000E+08,-1.03301E+02
6.180800000E+08,-6.86389E+01
6.181200000E+08,-1.05956E+02
6.181200000E+08,-6.72015E+01
6.181600000E+08,-1.05785E+02
6.181600000E+08,-6.81262E+01
6.182000000E+08,-1.08641E+02
6.182000000E+08,-6.92584E+01
6.182400000E+08,-1.09761E+02
6.182400000E+08,-6.90540E+01
