Trace
Log Plot
A.29.04,N9000B
513 EP4 P13 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,714175260.001678
Electrical Atten,0
Electrical Atten State,False
EnablePMRejection,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
FilteStateArray,False,False,False,False,False,False
HighCutoffFrequencyArray,1000000,1000000,1000000,1000000,1000000,1000000
HighCutoffSlopeArray,0,0,0,0,0,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
LowCutoffFrequencyArray,100,100,100,100,100,100
LowCutoffSlopeArray,0,0,0,0,0,0
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Hold State,None,None,None,None,None,None
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace1
DATA,
100,-21.7380892202719
101.546899243308,-19.7678817180713
103.117727459306,-21.5931587103337
104.71285480509,-20.9306023732751
106.332657163716,-20.1896682774884
107.977516232771,-20.6964537477842
109.647819614319,-24.5169969604489
111.343960906236,-20.1123336371769
113.066339794964,-18.6095099294054
114.815362149688,-21.8687889326814
116.591440117983,-25.6702201934026
118.39499222293,-24.8021645335191
120.226443461741,-21.3074609958245
122.086225405907,-24.5273530671123
123.974776302894,-21.8780589059093
125.892541179417,-21.8845732955973
127.839971946302,-20.1827273843796
129.817527504985,-21.4811773428263
131.825673855641,-23.7443766852364
133.864884206999,-27.0552177938636
135.935639087853,-19.8699940714158
138.038426460288,-28.9371975609122
140.173741834677,-24.3701023238943
142.342088386434,-26.7628111950688
144.543977074593,-28.8894049545101
146.779926762207,-30.440505650251
149.05046433862,-27.3221384188305
151.356124843621,-24.5863776307914
153.697451593527,-22.959590693666
156.074996309211,-27.098791505535
158.489319246111,-22.4986420184219
160.940989326253,-24.7206439142085
163.430584272314,-28.7176250613299
165.958690743756,-25.7039695757462
168.525904475075,-28.6998824995704
171.132830416178,-24.431679091426
173.780082874938,-30.2862824050553
176.46828566195,-24.5267001916147
179.198072237533,-23.8637659947948
181.970085860998,-25.5179225051621
184.784979742229,-26.6135946028931
187.643417195609,-24.5365526760377
190.546071796325,-24.4176353186575
193.493627539095,-31.4956923839906
196.486778999347,-25.0496288939247
199.526231496888,-27.9648639197418
202.612701262114,-25.4110120349128
205.746915604784,-29.8856297159203
208.929613085404,-32.4701668981581
212.161543689268,-34.3431359764931
215.443469003188,-30.9267911185102
218.776162394955,-29.6006971384979
222.160409195581,-27.6963007110329
225.597006884358,-28.4358648950446
229.086765276777,-31.5691812257326
232.630506715363,-29.2121451411041
236.229066263446,-33.0419542809753
239.883291901949,-30.9554900794194
243.594044729203,-27.5303955740203
247.362199163862,-28.3760959082627
251.188643150958,-31.3313896144563
255.074278371136,-32.8231653663999
259.020020453132,-32.9848657674714
263.026799189538,-31.0050906517488
267.095558755898,-29.0963888808731
271.227257933203,-31.0022755486337
275.422870333817,-35.4709123586035
279.683384630908,-37.2364520069648
284.009804791421,-30.1264499603624
288.403150312661,-32.7010208654255
292.864456462524,-28.8829447111882
297.394774523461,-31.8805521820941
301.995172040202,-32.4176876827939
306.666733071318,-31.1333365117815
311.410558444676,-23.2079467656988
316.227766016838,-25.660307894595
321.119490936482,-24.9026847495541
326.086885911893,-27.4403446384043
331.131121482591,-28.4921296372898
336.253386295163,-16.7792301920869
341.45488738336,-19.7054477074392
346.736850452532,-19.9967846200239
352.100520168452,-21.9598752431601
357.547160450621,-23.1987698807522
363.078054770101,-21.834869360576
368.694506451958,-23.3932402245259
374.397838982381,-22.7133752391067
380.189396320561,-21.3899382733983
386.070543215381,-23.0656198624302
392.042665527015,-24.2010077250537
398.107170553497,-28.4206960892504
404.265487362344,-25.0126982580743
410.519067127308,-28.2837165501903
416.869383470335,-25.4080996106891
423.317932808821,-22.8287053503875
429.866234708228,-25.420546565477
436.515832240166,-25.9873119269313
443.268292346009,-24.071669914275
450.125206206134,-29.9418028720532
457.088189614875,-31.0392452391727
464.158883361278,-30.8708133782564
471.33895361574,-26.4938759447546
478.630092322638,-27.5693782977525
486.034017599022,-24.8318003524102
493.552474139481,-26.7115066392813
501.187233627272,-24.7523657485914
508.940095151809,-26.0339595134705
516.812885632604,-26.2503424195393
524.807460249773,-27.472901693124
532.9257028812,-27.9450460715851
541.169526546464,-27.7504138318995
549.540873857625,-26.6154450376625
558.041717476996,-29.9983459475109
566.674060581991,-32.4846588844757
575.439937337157,-29.5203719810418
584.341413373518,-29.6182818717913
593.380586275328,-31.349468808987
602.559586074358,-27.7611597332415
611.880575751822,-27.8204213418429
621.345751748076,-29.7827265014166
630.957344480193,-33.3785337041703
640.717618867554,-28.8496671670461
650.628874865557,-31.6476870475621
660.693448007596,-27.6313376311857
670.913709955411,-33.7476413143693
681.292069057961,-35.1067669702199
691.830970918936,-28.5277635578974
702.532898973052,-35.6501408613376
713.400375071256,-31.3330682215613
724.43596007499,-33.2318104405516
735.642254459641,-31.2943053369265
747.021898927332,-33.2197264573198
758.577575029184,-30.1618320534125
770.312005797215,-28.2130178763714
782.227956386003,-35.3904006173637
794.328234724282,-32.2206021689888
806.615692176613,-32.1724113142973
819.093224215297,-29.365024812793
831.763771102671,-29.6771320045092
844.630318583969,-28.5639737129165
857.695898590894,-29.7352654470347
870.96358995608,-32.0802318035478
884.4365191386,-34.1623699090719
898.117860960695,-29.7357727370823
912.01083935591,-33.3895228608637
926.118728128793,-33.8526969184644
940.444851726352,-32.3586525225125
954.992586021436,-30.5206434096524
969.765359108249,-33.4930460870867
984.766652110158,-40.9224282517812
1000,-34.580563796426
1015.46899243308,-32.2968320090615
1031.17727459306,-35.8009275806524
1047.1285480509,-37.0539274992661
1063.32657163716,-32.5223546516247
1079.77516232771,-31.0927150039184
1096.47819614319,-34.7276813753976
1113.43960906236,-34.9953155055317
1130.66339794964,-34.526403413243
1148.15362149688,-39.537464809962
1165.91440117983,-35.3103998176766
1183.9499222293,-34.7202862698066
1202.26443461741,-34.4038567869503
1220.86225405907,-33.2900205057504
1239.74776302894,-41.0295109940899
1258.92541179417,-36.9228405862127
1278.39971946302,-37.0213581761781
1298.17527504985,-32.6220719366243
1318.25673855641,-38.3574417549398
1338.64884206999,-35.5044631189841
1359.35639087853,-35.7013577905523
1380.38426460288,-35.9688087274899
1401.73741834677,-40.7828412406147
1423.42088386434,-36.4465316969664
1445.43977074593,-35.4848936290889
1467.79926762207,-35.4493227645889
1490.5046433862,-36.4859047590352
1513.56124843621,-38.6352025906778
1536.97451593527,-39.245424266647
1560.74996309211,-34.1996792117793
1584.89319246111,-38.1813360571732
1609.40989326254,-38.9717589722176
1634.30584272314,-37.7307265718885
1659.58690743756,-36.5382145809029
1685.25904475075,-39.7124206869715
1711.32830416178,-40.4025791211091
1737.80082874938,-38.2172128320729
1764.6828566195,-36.8166295751852
1791.98072237533,-39.7645197071948
