[Hz],Trace1[dBµV]
6.715000000E+08,1.65258E+01
6.715000000E+08,2.97856E+01
6.715140000E+08,1.62267E+01
6.715140000E+08,2.95690E+01
6.715280000E+08,1.54424E+01
6.715280000E+08,2.91082E+01
6.715420000E+08,1.44170E+01
6.715420000E+08,3.05547E+01
6.715560000E+08,1.75511E+01
6.715560000E+08,3.00298E+01
6.715700000E+08,1.56041E+01
6.715700000E+08,3.00756E+01
6.715840000E+08,1.80760E+01
6.715840000E+08,3.02709E+01
6.715980000E+08,1.48748E+01
6.715980000E+08,3.06432E+01
6.716120000E+08,1.62450E+01
6.716120000E+08,2.97368E+01
6.716260000E+08,1.84606E+01
6.716260000E+08,2.93798E+01
6.716400000E+08,1.69805E+01
6.716400000E+08,3.11071E+01
6.716540000E+08,1.71453E+01
6.716540000E+08,3.02800E+01
6.716680000E+08,1.52898E+01
6.716680000E+08,2.97795E+01
6.716820000E+08,1.64800E+01
6.716820000E+08,3.08263E+01
6.716960000E+08,1.66600E+01
6.716960000E+08,3.07836E+01
6.717100000E+08,1.60680E+01
6.717100000E+08,3.03411E+01
6.717240000E+08,1.68218E+01
6.717240000E+08,3.03105E+01
6.717380000E+08,1.48564E+01
6.717380000E+08,3.10857E+01
6.717520000E+08,1.67424E+01
6.717520000E+08,3.00115E+01
6.717660000E+08,1.38097E+01
6.717660000E+08,2.99504E+01
6.717800000E+08,1.66417E+01
6.717800000E+08,3.01488E+01
6.717940000E+08,1.48473E+01
6.717940000E+08,3.11772E+01
6.718080000E+08,1.64312E+01
6.718080000E+08,3.05486E+01
6.718220000E+08,1.61046E+01
6.718220000E+08,3.07439E+01
6.718360000E+08,1.45696E+01
6.718360000E+08,3.09514E+01
6.718500000E+08,1.32115E+01
6.718500000E+08,3.09514E+01
6.718640000E+08,1.63427E+01
6.718640000E+08,3.11833E+01
6.718780000E+08,1.45818E+01
6.718780000E+08,3.03624E+01
6.718920000E+08,1.41393E+01
6.718920000E+08,2.99230E+01
6.719060000E+08,1.73955E+01
6.719060000E+08,3.12566E+01
6.719200000E+08,1.69866E+01
6.719200000E+08,3.07134E+01
6.719340000E+08,1.71270E+01
6.719340000E+08,3.05822E+01
6.719480000E+08,1.68309E+01
6.719480000E+08,2.97734E+01
6.719620000E+08,1.66967E+01
6.719620000E+08,3.01030E+01
6.719760000E+08,1.73406E+01
6.719760000E+08,3.15251E+01
6.719900000E+08,1.64281E+01
6.719900000E+08,3.17510E+01
6.720040000E+08,1.79875E+01
6.720040000E+08,3.12413E+01
6.720180000E+08,1.60192E+01
6.720180000E+08,3.00634E+01
6.720320000E+08,1.70110E+01
6.720320000E+08,3.06768E+01
6.720460000E+08,1.46642E+01
6.720460000E+08,3.04509E+01
6.720600000E+08,1.41210E+01
6.720600000E+08,3.10582E+01
6.720740000E+08,1.51281E+01
6.720740000E+08,3.06981E+01
6.720880000E+08,1.66814E+01
6.720880000E+08,3.08232E+01
6.721020000E+08,1.73101E+01
6.721020000E+08,3.03807E+01
6.721160000E+08,1.64220E+01
6.721160000E+08,3.05059E+01
6.721300000E+08,1.56896E+01
6.721300000E+08,3.18883E+01
6.721440000E+08,1.58208E+01
6.721440000E+08,3.06676E+01
6.721580000E+08,1.71178E+01
6.721580000E+08,3.07500E+01
6.721720000E+08,1.61534E+01
6.721720000E+08,3.00969E+01
6.721860000E+08,1.58422E+01
6.721860000E+08,3.16808E+01
6.722000000E+08,1.71025E+01
6.722000000E+08,3.13878E+01
6.722140000E+08,1.70690E+01
6.722140000E+08,3.03563E+01
6.722280000E+08,1.73711E+01
6.722280000E+08,3.19860E+01
6.722420000E+08,1.49907E+01
6.722420000E+08,3.19707E+01
