[Hz],Trace1[dBµV]
6.666000000E+08,-2.19067E+00
6.666000000E+08,1.34160E+01
6.666140000E+08,-2.11438E+00
6.666140000E+08,1.39501E+01
6.666280000E+08,-2.43652E-01
6.666280000E+08,1.39257E+01
6.666420000E+08,-8.29590E-01
6.666420000E+08,1.32695E+01
6.666560000E+08,-2.95361E+00
6.666560000E+08,1.21129E+01
6.666700000E+08,-5.39673E-01
6.666700000E+08,1.35503E+01
6.666840000E+08,-2.86206E+00
6.666840000E+08,1.29674E+01
6.666980000E+08,-2.44702E+00
6.666980000E+08,1.29277E+01
6.667120000E+08,-2.03979E-01
6.667120000E+08,1.31017E+01
6.667260000E+08,-1.66882E+00
6.667260000E+08,1.29644E+01
6.667400000E+08,-3.29102E-01
6.667400000E+08,1.30895E+01
6.667540000E+08,-1.50708E+00
6.667540000E+08,1.29979E+01
6.667680000E+08,-8.69263E-01
6.667680000E+08,1.28362E+01
6.667820000E+08,-1.44299E+00
6.667820000E+08,1.30956E+01
6.667960000E+08,-2.69775E-02
6.667960000E+08,1.34435E+01
6.668100000E+08,-3.31677E+00
6.668100000E+08,1.30376E+01
6.668240000E+08,-3.16895E-01
6.668240000E+08,1.38219E+01
6.668380000E+08,-2.88342E+00
6.668380000E+08,1.30193E+01
6.668520000E+08,-2.49280E+00
6.668520000E+08,1.19908E+01
6.668660000E+08,-9.21143E-01
6.668660000E+08,1.29033E+01
6.668800000E+08,-2.27307E+00
6.668800000E+08,1.25920E+01
6.668940000E+08,-5.44434E-02
6.668940000E+08,1.29827E+01
6.669080000E+08,-3.32153E-01
6.669080000E+08,1.27751E+01
6.669220000E+08,-3.62671E-01
6.669220000E+08,1.23540E+01
6.669360000E+08,-1.03271E-01
6.669360000E+08,1.32848E+01
6.669500000E+08,-4.35437E+00
6.669500000E+08,1.26714E+01
6.669640000E+08,-1.50403E+00
6.669640000E+08,1.17681E+01
6.669780000E+08,6.90186E-01
6.669780000E+08,1.28331E+01
6.669920000E+08,-1.78174E+00
6.669920000E+08,1.23113E+01
6.670060000E+08,-1.78479E+00
6.670060000E+08,1.31322E+01
6.670200000E+08,-6.46484E-01
6.670200000E+08,1.30803E+01
6.670340000E+08,-2.39209E+00
6.670340000E+08,1.25798E+01
6.670480000E+08,-8.23486E-01
6.670480000E+08,1.34191E+01
6.670620000E+08,-9.33350E-01
6.670620000E+08,1.35076E+01
