[Hz],Trace1[dBµV]
6.645000000E+08,-1.20190E+00
6.645000000E+08,1.20244E+01
6.645140000E+08,-2.23645E+00
6.645140000E+08,1.27324E+01
6.645280000E+08,-4.20654E-01
6.645280000E+08,1.30101E+01
6.645420000E+08,-3.41309E-01
6.645420000E+08,1.28514E+01
6.645560000E+08,-1.51929E+00
6.645560000E+08,1.37944E+01
6.645700000E+08,-2.82239E+00
6.645700000E+08,1.34923E+01
6.645840000E+08,-2.10828E+00
6.645840000E+08,1.42736E+01
6.645980000E+08,-2.74170E-01
6.645980000E+08,1.20946E+01
6.646120000E+08,-3.96240E-01
6.646120000E+08,1.25707E+01
6.646260000E+08,-1.42163E+00
6.646260000E+08,1.30040E+01
6.646400000E+08,-1.54980E+00
6.646400000E+08,1.25920E+01
6.646540000E+08,-8.05176E-01
6.646540000E+08,1.39623E+01
6.646680000E+08,1.43921E-01
6.646680000E+08,1.25249E+01
6.646820000E+08,-1.01270E+00
6.646820000E+08,1.31902E+01
6.646960000E+08,-1.92822E+00
6.646960000E+08,1.33458E+01
6.647100000E+08,-4.38965E-01
6.647100000E+08,1.24425E+01
6.647240000E+08,-3.59619E-01
6.647240000E+08,1.29399E+01
6.647380000E+08,-2.01062E+00
6.647380000E+08,1.25463E+01
6.647520000E+08,-1.51013E+00
6.647520000E+08,1.35656E+01
6.647660000E+08,-1.95874E+00
6.647660000E+08,1.28575E+01
6.647800000E+08,-2.30664E+00
6.647800000E+08,1.19573E+01
6.647940000E+08,-2.79797E+00
6.647940000E+08,1.26073E+01
6.648080000E+08,-3.94543E+00
6.648080000E+08,1.34282E+01
6.648220000E+08,-2.14490E+00
6.648220000E+08,1.23754E+01
6.648360000E+08,9.37378E-01
6.648360000E+08,1.27782E+01
6.648500000E+08,-1.06152E+00
6.648500000E+08,1.25981E+01
6.648640000E+08,-2.27917E+00
6.648640000E+08,1.18108E+01
6.648780000E+08,-5.06104E-01
6.648780000E+08,1.37639E+01
6.648920000E+08,-2.31445E-01
6.648920000E+08,1.24883E+01
6.649060000E+08,-6.05469E-02
