[Hz],Trace1[dBµV]
6.666000000E+08,-2.10522E+00
6.666000000E+08,1.23601E+01
6.666140000E+08,-1.06323E-01
6.666140000E+08,1.29155E+01
6.666280000E+08,3.72803E-01
6.666280000E+08,1.18077E+01
6.666420000E+08,-2.51416E+00
6.666420000E+08,1.37670E+01
6.666560000E+08,-2.92480E-01
6.666560000E+08,1.36785E+01
6.666700000E+08,-2.97192E+00
6.666700000E+08,1.35717E+01
6.666840000E+08,-1.51013E+00
6.666840000E+08,1.31658E+01
6.666980000E+08,-3.14282E+00
6.666980000E+08,1.28575E+01
6.667120000E+08,-1.40332E+00
6.667120000E+08,1.41240E+01
6.667260000E+08,-1.02185E+00
6.667260000E+08,1.30345E+01
6.667400000E+08,-1.58643E+00
6.667400000E+08,1.29430E+01
6.667540000E+08,-2.17236E+00
6.667540000E+08,1.25737E+01
6.667680000E+08,-3.43579E+00
6.667680000E+08,1.27721E+01
6.667820000E+08,-1.34534E+00
6.667820000E+08,1.25737E+01
6.667960000E+08,-4.60156E+00
6.667960000E+08,1.30681E+01
6.668100000E+08,-7.38037E-01
6.668100000E+08,1.25188E+01
6.668240000E+08,-2.04724E+00
6.668240000E+08,1.28270E+01
6.668380000E+08,-1.98621E+00
6.668380000E+08,1.23235E+01
6.668520000E+08,-6.12915E-01
6.668520000E+08,1.25188E+01
6.668660000E+08,-1.44604E+00
6.668660000E+08,1.27721E+01
6.668800000E+08,-3.03296E+00
6.668800000E+08,1.32573E+01
6.668940000E+08,9.81445E-02
6.668940000E+08,1.26989E+01
6.669080000E+08,-2.07031E-01
6.669080000E+08,1.33489E+01
6.669220000E+08,-1.56201E+00
6.669220000E+08,1.26439E+01
6.669360000E+08,-9.33350E-01
6.669360000E+08,1.18413E+01
6.669500000E+08,-1.60779E+00
6.669500000E+08,1.29644E+01
6.669640000E+08,-1.62305E+00
6.669640000E+08,1.34343E+01
6.669780000E+08,-2.12048E+00
6.669780000E+08,1.20702E+01
6.669920000E+08,-3.91846E-02
6.669920000E+08,1.31719E+01
6.670060000E+08,-2.09302E+00
6.670060000E+08,1.17986E+01
6.670200000E+08,-1.90076E+00
6.670200000E+08,1.39257E+01
6.670340000E+08,7.93945E-01
6.670340000E+08,1.31169E+01
6.670480000E+08,-2.09607E+00
6.670480000E+08,1.18047E+01
6.670620000E+08,2.47681E-01
6.670620000E+08,1.25096E+01
6.670760000E+08,-1.20801E+00
6.670760000E+08,1.31719E+01
6.670900000E+08,-1.35754E+00
6.670900000E+08,1.31597E+01
6.671040000E+08,-7.96021E-01
6.671040000E+08,1.37120E+01
6.671180000E+08,-5.70190E-01
6.671180000E+08,1.33611E+01
6.671320000E+08,-1.04932E+00
6.671320000E+08,1.27355E+01
6.671460000E+08,-1.00964E+00
6.671460000E+08,1.25035E+01
6.671600000E+08,5.62012E-01
6.671600000E+08,1.43621E+01
6.671740000E+08,-5.09155E-01
6.671740000E+08,1.40477E+01
6.671880000E+08,-4.14551E-01
6.671880000E+08,1.26042E+01
6.672020000E+08,-5.79346E-01
6.672020000E+08,1.23418E+01
6.672160000E+08,-2.16187E-01
6.672160000E+08,1.36205E+01
6.672300000E+08,-1.70410E-01
6.672300000E+08,1.29033E+01
6.672440000E+08,-1.81836E+00
6.672440000E+08,1.26836E+01
6.672580000E+08,-7.07520E-01
6.672580000E+08,1.30498E+01
6.672720000E+08,-1.00049E+00
6.672720000E+08,1.31627E+01
6.672860000E+08,-1.73596E+00
6.672860000E+08,1.28606E+01
6.673000000E+08,-9.08936E-01
6.673000000E+08,1.32299E+01
6.673140000E+08,-1.55286E+00
6.673140000E+08,1.30529E+01
6.673280000E+08,-8.08228E-01
6.673280000E+08,1.25951E+01
6.673420000E+08,-5.94604E-01
6.673420000E+08,1.23845E+01
6.673560000E+08,1.74438E-01
6.673560000E+08,1.30681E+01
6.673700000E+08,-1.64441E+00
6.673700000E+08,1.24730E+01
6.673840000E+08,-1.62610E+00
6.673840000E+08,1.29491E+01
6.673980000E+08,-1.98315E+00
6.673980000E+08,1.32543E+01
6.674120000E+08,-2.31445E-01
6.674120000E+08,1.29613E+01
6.674260000E+08,-3.04211E+00
6.674260000E+08,1.29186E+01
6.674400000E+08,-2.12964E+00
