Trace
Log Plot
A.29.04,N9000B
513 EP4 P13 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,714278004.441185
Electrical Atten,0
Electrical Atten State,False
EnablePMRejection,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
FilteStateArray,False,False,False,False,False,False
HighCutoffFrequencyArray,1000000,1000000,1000000,1000000,1000000,1000000
HighCutoffSlopeArray,0,0,0,0,0,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
LowCutoffFrequencyArray,100,100,100,100,100,100
LowCutoffSlopeArray,0,0,0,0,0,0
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Hold State,None,None,None,None,None,None
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace1
DATA,
100,-21.8447624985621
101.546899243308,-19.1822098539703
103.117727459306,-17.0588367404754
104.71285480509,-20.4893276333525
106.332657163716,-16.1354825097036
107.977516232771,-17.5262561628528
109.647819614319,-23.368312955157
111.343960906236,-18.7788099650026
113.066339794964,-22.5901105709588
114.815362149688,-21.8152429679661
116.591440117983,-22.0145801519577
118.39499222293,-20.2128339423913
120.226443461741,-22.1326401540508
122.086225405907,-21.4014901012015
123.974776302894,-19.8746408416518
125.892541179417,-25.8574389807664
127.839971946302,-25.7751271503989
129.817527504985,-24.8004493731484
131.825673855641,-27.6471241046382
133.864884206999,-27.995000013214
135.935639087853,-31.9366076943141
138.038426460288,-22.3760004714823
140.173741834677,-25.1320401470874
142.342088386434,-21.4207158015203
144.543977074593,-22.2511814750741
146.779926762207,-29.1496584740382
149.05046433862,-27.029790997901
151.356124843621,-24.3963030506528
153.697451593527,-24.3798401506866
156.074996309211,-30.6516576970329
158.489319246111,-26.856872652345
160.940989326253,-25.4587177777043
163.430584272314,-27.3627224299739
165.958690743756,-23.270979255833
168.525904475075,-25.5649391174885
171.132830416178,-24.3234924092188
173.780082874938,-26.4294707578866
176.46828566195,-25.3919521439161
179.198072237533,-24.4057058703159
181.970085860998,-23.6841927863613
184.784979742229,-22.2085656080975
187.643417195609,-29.2115250857513
190.546071796325,-29.8512692692872
193.493627539095,-27.3800059000868
196.486778999347,-25.271421883134
199.526231496888,-27.4287560825433
202.612701262114,-28.2245306426109
205.746915604784,-27.0381932074441
208.929613085404,-27.9831874491072
212.161543689268,-33.5509269329281
215.443469003188,-32.7982161244533
218.776162394955,-33.3287210677485
222.160409195581,-26.1457292114295
225.597006884358,-27.8135563960836
229.086765276777,-29.6615016663197
232.630506715363,-26.6070439437148
236.229066263446,-29.1083313783432
239.883291901949,-29.4850856946231
243.594044729203,-30.461338998102
247.362199163862,-29.5725568179186
251.188643150958,-32.4736669366318
255.074278371136,-32.120677023566
259.020020453132,-26.2604861189653
263.026799189538,-29.0240148734604
267.095558755898,-30.5332832257413
271.227257933203,-28.8862902504344
275.422870333817,-28.5901036218503
279.683384630908,-33.276728357485
284.009804791421,-34.2980572188349
288.403150312661,-34.9644414934834
292.864456462524,-31.851471211358
297.394774523461,-33.0688840006245
301.995172040202,-32.4856590135558
306.666733071318,-31.8259384991465
311.410558444676,-19.7998786348405
316.227766016838,-24.1030638659232
321.119490936482,-29.0830479493129
326.086885911893,-26.1987595940844
331.131121482591,-22.6818526266455
336.253386295163,-26.5944409900763
341.45488738336,-26.1300024834578
346.736850452532,-24.9585244515428
352.100520168452,-25.135410099816
357.547160450621,-26.2979856557274
363.078054770101,-24.6947725898151
368.694506451958,-22.5350902296044
374.397838982381,-19.5015650001327
380.189396320561,-22.5977613976697
386.070543215381,-23.0098881772897
392.042665527015,-23.1162646847033
398.107170553497,-22.3944013469803
404.265487362344,-21.1686417291236
410.519067127308,-26.0844325686035
416.869383470335,-25.5035210540002
423.317932808821,-24.4451970717477
429.866234708228,-23.726512418062
436.515832240166,-22.0534817391803
443.268292346009,-24.7798209414408
450.125206206134,-26.4800623706523
457.088189614875,-28.9346678046146
464.158883361278,-30.0027651899154
471.33895361574,-26.7621069066364
478.630092322638,-23.5544422929731
486.034017599022,-25.9391248657634
493.552474139481,-27.3121986089557
501.187233627272,-27.9211825266051
508.940095151809,-27.72735725844
516.812885632604,-26.3216785891092
524.807460249773,-26.0465901789523
532.9257028812,-28.2937471133669
541.169526546464,-28.258193846697
549.540873857625,-32.4798090648156
558.041717476996,-27.8825232284011
566.674060581991,-24.7145822707924
575.439937337157,-26.3722215486698
584.341413373518,-25.0445793856397
593.380586275328,-27.1563298337914
602.559586074358,-25.9537967180906
611.880575751822,-27.2974820909841
621.345751748076,-26.5399952269631
630.957344480193,-28.2456562906797
640.717618867554,-29.5349183296716
650.628874865557,-28.803343170919
660.693448007596,-29.0533756804622
670.913709955411,-34.4660029198301
681.292069057961,-28.7840797099811
691.830970918936,-31.1858053186825
702.532898973052,-33.3388664897382
713.400375071256,-25.735747428256
724.43596007499,-29.1461279673605
735.642254459641,-31.0040812933409
747.021898927332,-28.6314446007976
758.577575029184,-28.6354385458934
770.312005797215,-34.3617620517297
782.227956386003,-32.5718242410043
794.328234724282,-38.7288893781683
806.615692176613,-32.1426575482418
819.093224215297,-32.052556568992
831.763771102671,-29.7635001083135
844.630318583969,-29.8033068759781
857.695898590894,-32.7167383438092
870.96358995608,-37.3305992871719
884.4365191386,-31.0037816795716
898.117860960695,-31.3082471147498
912.01083935591,-34.3790496329551
926.118728128793,-34.4904553368186
940.444851726352,-33.4092325179132
954.992586021436,-29.3098701674145
969.765359108249,-32.5870967868587
984.766652110158,-31.7783052414073
1000,-31.9741067804644
1015.46899243308,-33.9309578696308
1031.17727459306,-31.6981823767768
1047.1285480509,-36.2968350289611
1063.32657163716,-33.5190983179257
1079.77516232771,-36.7934867495915
1096.47819614319,-34.374939818335
1113.43960906236,-33.6207384970014
1130.66339794964,-35.179142909404
1148.15362149688,-36.1575409760706
1165.91440117983,-35.7409505446292
1183.9499222293,-39.6896814196055
1202.26443461741,-35.1508742249771
1220.86225405907,-34.0477153073484
1239.74776302894,-34.0175569469751
1258.92541179417,-33.5002590001771
1278.39971946302,-36.2099229934343
1298.17527504985,-34.9121355604931
1318.25673855641,-33.5127221780741
1338.64884206999,-37.1954926942005
1359.35639087853,-37.0884456832764
1380.38426460288,-38.1585566069898
1401.73741834677,-38.2769882546563
1423.42088386434,-35.5707890964101
1445.43977074593,-40.7562331729739
1467.79926762207,-39.0920250716153
1490.5046433862,-39.3727172123006
1513.56124843621,-39.1587862826538
1536.97451593527,-37.274469475999
1560.74996309211,-38.7712814160874
1584.89319246111,-38.8373678429868
1609.40989326254,-37.7269007283579
1634.30584272314,-38.4677147580024
1659.58690743756,-38.0791580190362
1685.25904475075,-37.5469429197259
1711.32830416178,-42.2022764607162
1737.80082874938,-36.6416333791644
1764.6828566195,-39.6643511828176
1791.98072237533,-38.2820763425488
