Trace
Log Plot
A.29.04,N9000B
513 EP4 P13 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,714387117.804802
Electrical Atten,0
Electrical Atten State,False
EnablePMRejection,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
FilteStateArray,False,False,False,False,False,False
HighCutoffFrequencyArray,1000000,1000000,1000000,1000000,1000000,1000000
HighCutoffSlopeArray,0,0,0,0,0,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
LowCutoffFrequencyArray,100,100,100,100,100,100
LowCutoffSlopeArray,0,0,0,0,0,0
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Hold State,None,None,None,None,None,None
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace2
DATA,
100,-19.5055409588767
101.546899243308,-19.6631663187287
103.117727459306,-19.6387529588787
104.71285480509,-19.8958664726999
106.332657163716,-20.3641569119514
107.977516232771,-20.659928527017
109.647819614319,-20.9452534773571
111.343960906236,-21.3137144882092
113.066339794964,-21.6289240149471
114.815362149688,-21.8918628229433
116.591440117983,-21.9548665954177
118.39499222293,-22.1571815312281
120.226443461741,-22.3672469414134
122.086225405907,-22.6741765001083
123.974776302894,-22.7397505104769
125.892541179417,-22.8698934402833
127.839971946302,-23.1856376903779
129.817527504985,-23.5551116384026
131.825673855641,-23.5676919164842
133.864884206999,-23.837963765313
135.935639087853,-24.0821278724829
138.038426460288,-24.3429487623379
140.173741834677,-24.5724072164492
142.342088386434,-24.4497531848291
144.543977074593,-24.6632452854144
146.779926762207,-24.7054767217611
149.05046433862,-24.7174297045432
151.356124843621,-24.8147262328622
153.697451593527,-24.9682142444077
156.074996309211,-25.072204695107
158.489319246111,-24.9758700791239
160.940989326253,-25.1681860981318
163.430584272314,-25.3749027107936
165.958690743756,-25.6817689488481
168.525904475075,-25.8143377571554
171.132830416178,-25.7698501047858
173.780082874938,-25.6095821140225
176.46828566195,-25.7006087129645
179.198072237533,-25.8962978638412
181.970085860998,-26.1337833223242
184.784979742229,-26.0957787480585
187.643417195609,-26.426841689426
190.546071796325,-26.4353702392807
193.493627539095,-26.6654599397791
196.486778999347,-27.0699987295076
199.526231496888,-27.1359454494025
202.612701262114,-27.4115126299804
205.746915604784,-27.4440602912866
208.929613085404,-27.4882500255854
212.161543689268,-27.6365520471754
215.443469003188,-28.1736426993354
218.776162394955,-28.2879614699558
222.160409195581,-28.5052823608031
225.597006884358,-28.6467078316286
229.086765276777,-28.598390681448
232.630506715363,-28.6866598827876
236.229066263446,-28.9582070477764
239.883291901949,-29.0075475458419
243.594044729203,-29.1614387906792
247.362199163862,-29.5208019882348
251.188643150958,-29.8636092284802
255.074278371136,-30.3052755322682
259.020020453132,-30.4810418196907
263.026799189538,-30.4595274966051
267.095558755898,-29.9395572888551
271.227257933203,-29.7658748005372
275.422870333817,-29.5339736301194
279.683384630908,-29.201176745982
284.009804791421,-29.0548456271045
288.403150312661,-28.7984681265889
292.864456462524,-28.6274386770019
297.394774523461,-28.5105193513712
301.995172040202,-28.2638640944604
306.666733071318,-27.7009100103173
311.410558444676,-27.5393844808493
316.227766016838,-27.356957773038
321.119490936482,-27.0043753219628
326.086885911893,-26.8658646316868
331.131121482591,-26.5924506271703
336.253386295163,-26.3616721065268
341.45488738336,-26.4351632349023
346.736850452532,-26.1995592056859
352.100520168452,-25.9532535278834
357.547160450621,-25.618523788697
363.078054770101,-25.1231741469408
368.694506451958,-24.7899295703141
374.397838982381,-24.6895428153326
380.189396320561,-24.9576750953528
386.070543215381,-24.9891213408722
392.042665527015,-25.0835085323098
398.107170553497,-25.1114632979749
404.265487362344,-25.0273795400417
410.519067127308,-24.9907623486972
416.869383470335,-25.2657851468921
423.317932808821,-25.3288832086958
429.866234708228,-25.4420622035272
436.515832240166,-25.6000413784521
443.268292346009,-25.6910912506634
450.125206206134,-25.7545568296941
457.088189614875,-25.9510515497426
464.158883361278,-25.9724023076183
471.33895361574,-26.0587945129997
478.630092322638,-26.1561070577448
486.034017599022,-26.3475884433101
493.552474139481,-26.554298497107
501.187233627272,-26.7957393242745
508.940095151809,-27.125700066745
516.812885632604,-27.4447883037403
524.807460249773,-27.45080103649
532.9257028812,-27.5082419878631
541.169526546464,-27.6086358382171
549.540873857625,-27.918029198631
558.041717476996,-28.0275610575858
566.674060581991,-28.1711153603137
575.439937337157,-28.4008894369319
584.341413373518,-28.5814644533179
593.380586275328,-28.7854933434648
602.559586074358,-28.9924891303835
611.880575751822,-29.1545925939182
621.345751748076,-29.4008867871107
630.957344480193,-29.4890487094057
640.717618867554,-29.6290295641247
650.628874865557,-29.7191888596862
660.693448007596,-29.8348877052946
670.913709955411,-30.0445904953518
681.292069057961,-29.9843336548349
691.830970918936,-29.8854074452785
702.532898973052,-29.8889283612833
713.400375071256,-29.7604997181328
724.43596007499,-29.6593387702647
735.642254459641,-29.6966641883846
747.021898927332,-29.9623967659638
758.577575029184,-30.1810304400295
770.312005797215,-30.3167605949628
782.227956386003,-30.3566148655671
794.328234724282,-30.7084656409596
806.615692176613,-31.0391077161281
819.093224215297,-31.1641898075197
831.763771102671,-31.239430801114
844.630318583969,-31.0468914299164
857.695898590894,-31.0459877675795
870.96358995608,-31.1898219236217
884.4365191386,-31.3292315056016
898.117860960695,-31.5416983192231
912.01083935591,-31.5445037619893
926.118728128793,-31.852132993697
940.444851726352,-32.1645718180227
954.992586021436,-32.4054208256057
969.765359108249,-32.7700021865492
984.766652110158,-32.8462334922496
1000,-32.9686528515966
1015.46899243308,-33.3720012369342
1031.17727459306,-33.7080954440483
1047.1285480509,-33.7910552734534
1063.32657163716,-33.9827281510517
1079.77516232771,-34.3549719960947
1096.47819614319,-34.5393555301159
1113.43960906236,-34.5843584106677
1130.66339794964,-34.5634028045252
1148.15362149688,-34.5095263015502
1165.91440117983,-34.8659645716398
1183.9499222293,-35.1707011036847
1202.26443461741,-35.4306813356124
1220.86225405907,-35.5952049463692
1239.74776302894,-35.6257332794788
1258.92541179417,-35.6833707211416
1278.39971946302,-35.775554251762
1298.17527504985,-36.0606862128728
1318.25673855641,-36.1104436399781
1338.64884206999,-36.261328465522
1359.35639087853,-36.391536354514
1380.38426460288,-36.5058658955873
1401.73741834677,-36.8011832453945
1423.42088386434,-37.0410998689723
1445.43977074593,-37.2403549220868
1467.79926762207,-37.2358368332462
1490.5046433862,-37.4250113199951
1513.56124843621,-37.6355744299605
1536.97451593527,-37.7016479060233
1560.74996309211,-37.8306955148445
1584.89319246111,-38.1401930598468
1609.40989326254,-38.4189943540187
1634.30584272314,-38.6612510583696
1659.58690743756,-38.3663350868711
1685.25904475075,-38.1474318440034
1711.32830416178,-37.9335260468153
1737.80082874938,-37.8130279289238
1764.6828566195,-37.8263448458519
1791.98072237533,-37.768804241355
