[Hz],Trace1[dBm]
6.250000000E+08,-1.11428E+02
6.250000000E+08,-6.81567E+01
6.250400000E+08,-1.12123E+02
6.250400000E+08,-6.80408E+01
6.250800000E+08,-1.08837E+02
6.250800000E+08,-6.72443E+01
6.251200000E+08,-1.10015E+02
6.251200000E+08,-6.71588E+01
6.251600000E+08,-1.04128E+02
6.251600000E+08,-6.82544E+01
6.252000000E+08,-1.10515E+02
6.252000000E+08,-6.77692E+01
6.252400000E+08,-1.12905E+02
6.252400000E+08,-6.89075E+01
6.252800000E+08,-1.07418E+02
6.252800000E+08,-6.84161E+01
6.253200000E+08,-1.04076E+02
6.253200000E+08,-6.82880E+01
6.253600000E+08,-1.01595E+02
6.253600000E+08,-6.76959E+01
6.254000000E+08,-1.13936E+02
6.254000000E+08,-6.69788E+01
6.254400000E+08,-1.14598E+02
6.254400000E+08,-6.96887E+01
6.254800000E+08,-1.09462E+02
6.254800000E+08,-6.78729E+01
6.255200000E+08,-1.03929E+02
6.255200000E+08,-6.61914E+01
6.255600000E+08,-1.10460E+02
6.255600000E+08,-6.72382E+01
6.256000000E+08,-1.05617E+02
6.256000000E+08,-6.55566E+01
6.256400000E+08,-1.14312E+02
6.256400000E+08,-6.79980E+01
6.256800000E+08,-1.10982E+02
6.256800000E+08,-6.81628E+01
6.257200000E+08,-1.15947E+02
6.257200000E+08,-6.71313E+01
6.257600000E+08,-1.05489E+02
6.257600000E+08,-6.82727E+01
6.258000000E+08,-1.09047E+02
6.258000000E+08,-6.79218E+01
6.258400000E+08,-1.07698E+02
6.258400000E+08,-6.76288E+01
6.258800000E+08,-1.02028E+02
6.258800000E+08,-6.73297E+01
6.259200000E+08,-1.14208E+02
6.259200000E+08,-6.84436E+01
6.259600000E+08,-1.00731E+02
6.259600000E+08,-6.83917E+01
6.260000000E+08,-1.07793E+02
6.260000000E+08,-6.71924E+01
6.260400000E+08,-1.22524E+02
6.260400000E+08,-6.74304E+01
6.260800000E+08,-1.07411E+02
6.260800000E+08,-6.70917E+01
6.261200000E+08,-1.05181E+02
6.261200000E+08,-6.79767E+01
6.261600000E+08,-1.09359E+02
6.261600000E+08,-6.86298E+01
6.262000000E+08,-1.04793E+02
6.262000000E+08,-6.80865E+01
6.262400000E+08,-1.08373E+02
6.262400000E+08,-6.70612E+01
6.262800000E+08,-1.20418E+02
6.262800000E+08,-6.69330E+01
6.263200000E+08,-1.04512E+02
6.263200000E+08,-6.80957E+01
6.263600000E+08,-1.08046E+02
6.263600000E+08,-6.69360E+01
6.264000000E+08,-1.08626E+02
6.264000000E+08,-6.86023E+01
6.264400000E+08,-1.06728E+02
6.264400000E+08,-6.68842E+01
6.264800000E+08,-1.04995E+02
6.264800000E+08,-6.75739E+01
6.265200000E+08,-1.10295E+02
6.265200000E+08,-6.74182E+01
6.265600000E+08,-1.00231E+02
6.265600000E+08,-6.70459E+01
6.266000000E+08,-1.03157E+02
6.266000000E+08,-6.61914E+01
6.266400000E+08,-1.05834E+02
6.266400000E+08,-6.92676E+01
6.266800000E+08,-1.06774E+02
6.266800000E+08,-6.76044E+01
