[Hz],Trace1[dBm]
6.650000000E+08,-1.04210E+02
6.650000000E+08,-9.01874E+01
6.650140000E+08,-1.04756E+02
6.650140000E+08,-9.14752E+01
6.650280000E+08,-1.03133E+02
6.650280000E+08,-9.01172E+01
6.650420000E+08,-1.05123E+02
6.650420000E+08,-9.07062E+01
6.650560000E+08,-1.04692E+02
6.650560000E+08,-9.14569E+01
6.650700000E+08,-1.06124E+02
6.650700000E+08,-9.10022E+01
6.650840000E+08,-1.03911E+02
6.650840000E+08,-9.10114E+01
6.650980000E+08,-1.03841E+02
6.650980000E+08,-9.01630E+01
6.651120000E+08,-1.03759E+02
6.651120000E+08,-9.01233E+01
6.651260000E+08,-1.05162E+02
6.651260000E+08,-9.08771E+01
6.651400000E+08,-1.05629E+02
6.651400000E+08,-9.17590E+01
6.651540000E+08,-1.06035E+02
6.651540000E+08,-9.09381E+01
6.651680000E+08,-1.05318E+02
6.651680000E+08,-9.02332E+01
6.651820000E+08,-1.04558E+02
6.651820000E+08,-8.98669E+01
6.651960000E+08,-1.04778E+02
6.651960000E+08,-9.06390E+01
6.652100000E+08,-1.04409E+02
6.652100000E+08,-9.09351E+01
6.652240000E+08,-1.05226E+02
6.652240000E+08,-9.14905E+01
6.652380000E+08,-1.03969E+02
6.652380000E+08,-9.10175E+01
6.652520000E+08,-1.02483E+02
6.652520000E+08,-9.13470E+01
6.652660000E+08,-1.04592E+02
6.652660000E+08,-9.04376E+01
6.652800000E+08,-1.04821E+02
6.652800000E+08,-9.15454E+01
6.652940000E+08,-1.03344E+02
6.652940000E+08,-9.07458E+01
6.653080000E+08,-1.05614E+02
6.653080000E+08,-9.02850E+01
6.653220000E+08,-1.05123E+02
6.653220000E+08,-9.08984E+01
6.653360000E+08,-1.04814E+02
6.653360000E+08,-9.10022E+01
6.653500000E+08,-1.05641E+02
6.653500000E+08,-9.13379E+01
6.653640000E+08,-1.04128E+02
6.653640000E+08,-8.98944E+01
6.653780000E+08,-1.04845E+02
6.653780000E+08,-9.12646E+01
6.653920000E+08,-1.04946E+02
6.653920000E+08,-9.00500E+01
6.654060000E+08,-1.02962E+02
6.654060000E+08,-9.10327E+01
6.654200000E+08,-1.06868E+02
6.654200000E+08,-9.19757E+01
6.654340000E+08,-1.05678E+02
6.654340000E+08,-9.11761E+01
6.654480000E+08,-1.05526E+02
6.654480000E+08,-9.11700E+01
6.654620000E+08,-1.06975E+02
6.654620000E+08,-9.02148E+01
6.654760000E+08,-1.05904E+02
6.654760000E+08,-9.11090E+01
6.654900000E+08,-1.04329E+02
