[Hz],Trace1[dBµV]
6.650000000E+08,-3.35339E+00
6.650000000E+08,1.28636E+01
6.650140000E+08,-1.22021E+00
6.650140000E+08,1.30925E+01
6.650280000E+08,-1.38806E+00
6.650280000E+08,1.32115E+01
6.650420000E+08,-3.47412E-01
6.650420000E+08,1.39928E+01
6.650560000E+08,-6.67847E-01
6.650560000E+08,1.30406E+01
6.650700000E+08,-1.73462E-01
6.650700000E+08,1.27660E+01
6.650840000E+08,6.45752E-02
6.650840000E+08,1.29155E+01
6.650980000E+08,-3.50464E-01
6.650980000E+08,1.25035E+01
6.651120000E+08,-2.80273E-01
6.651120000E+08,1.20244E+01
6.651260000E+08,-2.20898E+00
6.651260000E+08,1.29369E+01
6.651400000E+08,8.89893E-02
6.651400000E+08,1.31444E+01
6.651540000E+08,-1.12256E+00
6.651540000E+08,1.29583E+01
6.651680000E+08,-1.23547E+00
6.651680000E+08,1.24181E+01
6.651820000E+08,-3.71826E-01
6.651820000E+08,1.26195E+01
6.651960000E+08,-1.70410E-01
6.651960000E+08,1.17284E+01
6.652100000E+08,-2.07471E+00
6.652100000E+08,1.23784E+01
6.652240000E+08,-9.54712E-01
6.652240000E+08,1.26958E+01
6.652380000E+08,-5.33569E-01
6.652380000E+08,1.33275E+01
6.652520000E+08,-1.93433E+00
6.652520000E+08,1.29644E+01
6.652660000E+08,-2.61182E+00
6.652660000E+08,1.30162E+01
6.652800000E+08,-2.44397E+00
6.652800000E+08,1.28026E+01
6.652940000E+08,-5.51880E-01
6.652940000E+08,1.26775E+01
6.653080000E+08,-2.00928E-01
6.653080000E+08,1.23174E+01
6.653220000E+08,-3.65723E-01
6.653220000E+08,1.21526E+01
6.653360000E+08,-3.11230E+00
6.653360000E+08,1.28301E+01
6.653500000E+08,-8.96729E-01
6.653500000E+08,1.28820E+01
6.653640000E+08,4.82666E-01
6.653640000E+08,1.26653E+01
6.653780000E+08,-1.91602E+00
6.653780000E+08,1.34191E+01
6.653920000E+08,-4.66431E-01
6.653920000E+08,1.31780E+01
6.654060000E+08,-1.78223E-02
6.654060000E+08,1.30559E+01
6.654200000E+08,-2.39209E+00
6.654200000E+08,1.29949E+01
6.654340000E+08,-2.01062E+00
6.654340000E+08,1.31902E+01
6.654480000E+08,-1.05237E+00
6.654480000E+08,1.35015E+01
6.654620000E+08,-9.82178E-01
6.654620000E+08,1.27019E+01
6.654760000E+08,1.50024E-01
6.654760000E+08,1.39989E+01
6.654900000E+08,1.37817E-01
6.654900000E+08,1.27751E+01
6.655040000E+08,-1.98621E+00
6.655040000E+08,1.26134E+01
6.655180000E+08,-5.79346E-01
6.655180000E+08,1.35411E+01
6.655320000E+08,-8.63159E-01
6.655320000E+08,1.34771E+01
6.655460000E+08,-8.17383E-01
6.655460000E+08,1.28270E+01
6.655600000E+08,-1.24463E+00
6.655600000E+08,1.29796E+01
6.655740000E+08,-2.78271E+00
6.655740000E+08,1.29369E+01
6.655880000E+08,-5.15259E-01
6.655880000E+08,1.34130E+01
6.656020000E+08,-1.65967E+00
6.656020000E+08,1.27568E+01
6.656160000E+08,-2.58911E-01
6.656160000E+08,1.30132E+01
6.656300000E+08,-3.46936E+00
6.656300000E+08,1.28209E+01
6.656440000E+08,-1.87329E+00
6.656440000E+08,1.33519E+01
6.656580000E+08,-8.54004E-01
6.656580000E+08,1.33367E+01
6.656720000E+08,1.68335E-01
6.656720000E+08,1.24089E+01
6.656860000E+08,-2.96582E+00
6.656860000E+08,1.31749E+01
6.657000000E+08,-1.51013E+00
6.657000000E+08,1.33855E+01
6.657140000E+08,-1.87634E+00
6.657140000E+08,1.28423E+01
6.657280000E+08,-1.36841E-01
6.657280000E+08,1.32115E+01
6.657420000E+08,-6.73950E-01
6.657420000E+08,1.25371E+01
6.657560000E+08,-3.04688E-01
6.657560000E+08,1.36937E+01
6.657700000E+08,-1.91602E+00
6.657700000E+08,1.38951E+01
6.657840000E+08,-3.35950E+00
6.657840000E+08,1.29460E+01
6.657980000E+08,1.53076E-01
6.657980000E+08,1.37761E+01
