[Hz],Trace1[dBµV]
6.650000000E+08,2.83557E+00
6.650000000E+08,1.63030E+01
6.650140000E+08,2.75012E+00
6.650140000E+08,1.68584E+01
6.650280000E+08,1.91699E+00
6.650280000E+08,1.97057E+01
6.650420000E+08,9.95361E-01
6.650420000E+08,1.61473E+01
6.650560000E+08,2.19165E+00
6.650560000E+08,1.64403E+01
6.650700000E+08,-1.64307E-01
6.650700000E+08,1.69164E+01
6.650840000E+08,3.56799E+00
6.650840000E+08,1.59612E+01
6.650980000E+08,3.03088E+00
6.650980000E+08,1.61779E+01
6.651120000E+08,2.45410E+00
6.651120000E+08,1.62389E+01
6.651260000E+08,1.75220E+00
6.651260000E+08,1.62725E+01
6.651400000E+08,3.36658E+00
6.651400000E+08,1.66600E+01
6.651540000E+08,4.94873E-01
6.651540000E+08,1.68126E+01
6.651680000E+08,3.78162E+00
6.651680000E+08,1.63243E+01
6.651820000E+08,1.62402E+00
6.651820000E+08,1.54027E+01
6.651960000E+08,2.89355E+00
6.651960000E+08,1.68523E+01
6.652100000E+08,2.64331E+00
6.652100000E+08,1.56896E+01
6.652240000E+08,1.35547E+00
6.652240000E+08,1.62053E+01
6.652380000E+08,2.68909E+00
6.652380000E+08,1.64678E+01
6.652520000E+08,3.99524E+00
6.652520000E+08,1.61809E+01
6.652660000E+08,2.74402E+00
6.652660000E+08,1.59062E+01
6.652800000E+08,1.35852E+00
6.652800000E+08,1.58269E+01
6.652940000E+08,1.93835E+00
6.652940000E+08,1.60558E+01
6.653080000E+08,4.05017E+00
6.653080000E+08,1.62999E+01
6.653220000E+08,3.14990E+00
6.653220000E+08,1.66356E+01
6.653360000E+08,3.86401E+00
6.653360000E+08,1.74230E+01
6.653500000E+08,-3.91846E-02
6.653500000E+08,1.55583E+01
6.653640000E+08,3.31775E+00
6.653640000E+08,1.57109E+01
6.653780000E+08,2.66467E+00
6.653780000E+08,1.56987E+01
6.653920000E+08,2.13977E+00
6.653920000E+08,1.58818E+01
6.654060000E+08,3.42761E+00
6.654060000E+08,1.66448E+01
6.654200000E+08,4.52014E+00
6.654200000E+08,1.79540E+01
6.654340000E+08,2.06653E+00
6.654340000E+08,1.67852E+01
6.654480000E+08,3.25366E+00
6.654480000E+08,1.57079E+01
6.654620000E+08,1.79187E+00
6.654620000E+08,1.72826E+01
6.654760000E+08,1.08997E+00
6.654760000E+08,1.60771E+01
6.654900000E+08,2.38391E+00
6.654900000E+08,1.77831E+01
6.655040000E+08,1.48669E+00
6.655040000E+08,1.58361E+01
6.655180000E+08,3.22925E+00
6.655180000E+08,1.72338E+01
6.655320000E+08,2.38086E+00
6.655320000E+08,1.63579E+01
6.655460000E+08,2.55786E+00
6.655460000E+08,1.53051E+01
6.655600000E+08,1.95667E+00
6.655600000E+08,1.80699E+01
6.655740000E+08,4.94873E-01
6.655740000E+08,1.62786E+01
6.655880000E+08,2.42358E+00
6.655880000E+08,1.66906E+01
6.656020000E+08,3.21094E+00
6.656020000E+08,1.63884E+01
6.656160000E+08,5.89478E-01
6.656160000E+08,1.57415E+01
6.656300000E+08,-4.23706E-01
6.656300000E+08,1.57323E+01
6.656440000E+08,2.00854E+00
6.656440000E+08,1.58605E+01
6.656580000E+08,2.61890E+00
6.656580000E+08,1.56560E+01
6.656720000E+08,3.46118E+00
6.656720000E+08,1.54576E+01
6.656860000E+08,3.18958E+00
6.656860000E+08,1.75786E+01
6.657000000E+08,2.34119E+00
6.657000000E+08,1.51433E+01
6.657140000E+08,9.28223E-01
6.657140000E+08,1.64739E+01
6.657280000E+08,2.73486E+00
6.657280000E+08,1.64250E+01
6.657420000E+08,2.66162E+00
6.657420000E+08,1.63152E+01
6.657560000E+08,2.69519E+00
6.657560000E+08,1.65227E+01
6.657700000E+08,2.60669E+00
6.657700000E+08,1.66417E+01
6.657840000E+08,1.81628E+00
6.657840000E+08,1.63152E+01
6.657980000E+08,3.50085E+00
6.657980000E+08,1.59246E+01
6.658120000E+08,1.40735E+00
6.658120000E+08,1.66967E+01
6.658260000E+08,2.90405E-01
6.658260000E+08,1.55217E+01
6.658400000E+08,1.79797E+00
6.658400000E+08,1.65227E+01
6.658540000E+08,2.65247E+00
6.658540000E+08,1.60344E+01
6.658680000E+08,3.07666E+00
6.658680000E+08,1.60771E+01
6.658820000E+08,4.92603E+00
6.658820000E+08,1.59825E+01
6.658960000E+08,2.94543E+00
6.658960000E+08,1.56682E+01
6.659100000E+08,2.93323E+00
6.659100000E+08,1.72032E+01
6.659240000E+08,3.30078E-01
6.659240000E+08,1.58177E+01
6.659380000E+08,1.07776E+00
6.659380000E+08,1.61016E+01
6.659520000E+08,2.12756E+00
6.659520000E+08,1.60771E+01
6.659660000E+08,3.20178E+00
6.659660000E+08,1.66997E+01
6.659800000E+08,2.15198E+00
6.659800000E+08,1.48381E+01
6.659940000E+08,2.86304E+00
6.659940000E+08,1.66509E+01
6.660080000E+08,3.08582E+00
6.660080000E+08,1.56316E+01
6.660220000E+08,9.50928E-02
6.660220000E+08,1.59124E+01
6.660360000E+08,1.08691E+00
6.660360000E+08,1.65624E+01
6.660500000E+08,1.04419E+00
6.660500000E+08,1.68492E+01
6.660640000E+08,3.15295E+00
6.660640000E+08,1.71025E+01
6.660780000E+08,2.68604E+00
6.660780000E+08,1.71910E+01
6.660920000E+08,7.93945E-01
6.660920000E+08,1.66875E+01
6.661060000E+08,4.13257E+00
6.661060000E+08,1.66204E+01
6.661200000E+08,2.76538E+00
6.661200000E+08,1.65563E+01
6.661340000E+08,2.61890E+00
6.661340000E+08,1.73802E+01
6.661480000E+08,2.57922E+00
6.661480000E+08,1.62877E+01
6.661620000E+08,2.99426E+00
