[Hz],Trace1[dBµV]
6.560000000E+08,-1.11646E+00
6.560000000E+08,1.32848E+01
6.560200000E+08,-1.53149E+00
6.560200000E+08,1.27385E+01
6.560400000E+08,-2.81934E+00
6.560400000E+08,1.40874E+01
6.560600000E+08,-8.81470E-01
6.560600000E+08,1.35045E+01
6.560800000E+08,-1.58337E+00
6.560800000E+08,1.32604E+01
6.561000000E+08,-1.10730E+00
6.561000000E+08,1.31597E+01
6.561200000E+08,-1.61084E+00
6.561200000E+08,1.25707E+01
6.561400000E+08,-1.28125E+00
6.561400000E+08,1.29674E+01
6.561600000E+08,2.47681E-01
6.561600000E+08,1.47679E+01
6.561800000E+08,5.98633E-01
6.561800000E+08,1.32054E+01
6.562000000E+08,-3.48462E+00
6.562000000E+08,1.38738E+01
6.562200000E+08,-2.16321E+00
6.562200000E+08,1.33000E+01
6.562400000E+08,-2.88037E+00
6.562400000E+08,1.28331E+01
6.562600000E+08,-2.80273E-01
6.562600000E+08,1.33184E+01
6.562800000E+08,1.92749E-01
6.562800000E+08,1.37090E+01
6.563000000E+08,1.05640E+00
6.563000000E+08,1.26805E+01
6.563200000E+08,-3.34424E+00
6.563200000E+08,1.38158E+01
6.563400000E+08,-1.02185E+00
6.563400000E+08,1.40142E+01
6.563600000E+08,-2.80273E-01
6.563600000E+08,1.39806E+01
6.563800000E+08,-2.45618E+00
6.563800000E+08,1.32573E+01
6.564000000E+08,-1.99841E+00
6.564000000E+08,1.37548E+01
6.564200000E+08,-5.12207E-01
6.564200000E+08,1.36754E+01
6.564400000E+08,-1.85803E+00
6.564400000E+08,1.29216E+01
6.564600000E+08,-3.03906E+00
6.564600000E+08,1.27141E+01
6.564800000E+08,-1.90381E+00
6.564800000E+08,1.43285E+01
6.565000000E+08,-8.29590E-01
6.565000000E+08,1.34587E+01
6.565200000E+08,-3.40527E+00
6.565200000E+08,1.27751E+01
6.565400000E+08,-3.50598E+00
6.565400000E+08,1.34465E+01
6.565600000E+08,-2.29443E+00
6.565600000E+08,1.41271E+01
