[Hz],Trace1[dBµV]
6.520000000E+08,2.95154E+00
6.520000000E+08,1.63701E+01
6.520200000E+08,2.63110E+00
6.520200000E+08,1.68401E+01
6.520400000E+08,2.46021E+00
6.520400000E+08,1.70964E+01
6.520600000E+08,2.56836E-01
6.520600000E+08,1.72246E+01
6.520800000E+08,2.85388E+00
6.520800000E+08,1.65563E+01
6.521000000E+08,2.76538E+00
6.521000000E+08,1.68401E+01
6.521200000E+08,2.95154E+00
6.521200000E+08,1.65807E+01
6.521400000E+08,1.54468E+00
6.521400000E+08,1.73497E+01
6.521600000E+08,3.02783E+00
6.521600000E+08,1.72094E+01
6.521800000E+08,3.41541E+00
6.521800000E+08,1.69957E+01
6.522000000E+08,4.34619E+00
6.522000000E+08,1.69591E+01
6.522200000E+08,-7.41089E-01
6.522200000E+08,1.73864E+01
6.522400000E+08,1.16626E+00
6.522400000E+08,1.74504E+01
6.522600000E+08,2.64941E+00
6.522600000E+08,1.84240E+01
6.522800000E+08,1.33716E+00
6.522800000E+08,1.63457E+01
6.523000000E+08,2.28931E+00
6.523000000E+08,1.67577E+01
6.523200000E+08,2.86914E+00
6.523200000E+08,1.60619E+01
6.523400000E+08,2.71350E+00
6.523400000E+08,1.80730E+01
6.523600000E+08,2.15503E+00
6.523600000E+08,1.72887E+01
6.523800000E+08,3.42761E+00
6.523800000E+08,1.66906E+01
6.524000000E+08,3.15601E+00
6.524000000E+08,1.64586E+01
6.524200000E+08,2.34729E+00
6.524200000E+08,1.69896E+01
6.524400000E+08,2.50598E+00
6.524400000E+08,1.67882E+01
6.524600000E+08,3.05530E+00
6.524600000E+08,1.79570E+01
6.524800000E+08,1.82849E+00
6.524800000E+08,1.68431E+01
6.525000000E+08,2.22827E+00
6.525000000E+08,1.78746E+01
6.525200000E+08,1.73999E+00
6.525200000E+08,1.67241E+01
6.525400000E+08,2.93933E+00
6.525400000E+08,1.80089E+01
6.525600000E+08,3.54358E+00
6.525600000E+08,1.67180E+01
6.525800000E+08,-2.65015E-01
6.525800000E+08,1.79174E+01
6.526000000E+08,2.60364E+00
6.526000000E+08,1.79845E+01
6.526200000E+08,5.46753E-01
6.526200000E+08,1.68309E+01
6.526400000E+08,1.44092E+00
6.526400000E+08,1.68035E+01
6.526600000E+08,3.48254E+00
6.526600000E+08,1.65074E+01
6.526800000E+08,3.77246E+00
6.526800000E+08,1.66814E+01
6.527000000E+08,3.58936E+00
6.527000000E+08,1.67180E+01
6.527200000E+08,1.83765E+00
6.527200000E+08,1.75176E+01
6.527400000E+08,1.89868E+00
6.527400000E+08,1.75725E+01
6.527600000E+08,2.75317E+00
6.527600000E+08,1.73528E+01
6.527800000E+08,2.89966E+00
6.527800000E+08,1.73223E+01
6.528000000E+08,1.88342E+00
6.528000000E+08,1.67302E+01
6.528200000E+08,3.18652E+00
6.528200000E+08,1.68340E+01
6.528400000E+08,2.82642E+00
6.528400000E+08,1.75603E+01
6.528600000E+08,3.54663E+00
6.528600000E+08,1.80059E+01
6.528800000E+08,2.92712E+00
6.528800000E+08,1.62999E+01
6.529000000E+08,3.82434E+00
6.529000000E+08,1.65502E+01
6.529200000E+08,3.65955E+00
6.529200000E+08,1.66997E+01
6.529400000E+08,3.53442E+00
6.529400000E+08,1.68645E+01
6.529600000E+08,2.85693E+00
6.529600000E+08,1.69683E+01
6.529800000E+08,2.88745E+00
6.529800000E+08,1.64373E+01
6.530000000E+08,1.96582E+00
6.530000000E+08,1.80425E+01
6.530200000E+08,3.10107E+00
6.530200000E+08,1.70659E+01
6.530400000E+08,4.01660E+00
6.530400000E+08,1.69866E+01
6.530600000E+08,2.43274E+00
6.530600000E+08,1.62969E+01
6.530800000E+08,9.03809E-01
6.530800000E+08,1.83049E+01
6.531000000E+08,3.71753E+00
6.531000000E+08,1.71300E+01
6.531200000E+08,3.37878E+00
6.531200000E+08,1.73284E+01
6.531400000E+08,1.85596E+00
6.531400000E+08,1.67760E+01
6.531600000E+08,3.70837E+00
6.531600000E+08,1.65197E+01
6.531800000E+08,2.23438E+00
6.531800000E+08,1.75359E+01
6.532000000E+08,2.94849E+00
6.532000000E+08,1.77800E+01
6.532200000E+08,2.04822E+00
6.532200000E+08,1.62053E+01
6.532400000E+08,7.35962E-01
6.532400000E+08,1.66997E+01
6.532600000E+08,3.06750E+00
6.532600000E+08,1.72185E+01
6.532800000E+08,2.09094E+00
6.532800000E+08,1.68523E+01
6.533000000E+08,7.17651E-01
6.533000000E+08,1.69072E+01
6.533200000E+08,3.99524E+00
6.533200000E+08,1.72399E+01
6.533400000E+08,3.20789E+00
6.533400000E+08,1.69377E+01
6.533600000E+08,3.01257E+00
6.533600000E+08,1.65471E+01
6.533800000E+08,4.02271E+00
6.533800000E+08,1.59948E+01
6.534000000E+08,1.13403E-01
6.534000000E+08,1.60894E+01
6.534200000E+08,2.95154E+00
6.534200000E+08,1.72521E+01
6.534400000E+08,2.95154E+00
6.534400000E+08,1.65319E+01
6.534600000E+08,2.47241E+00
6.534600000E+08,1.70781E+01
6.534800000E+08,2.62195E+00
6.534800000E+08,1.74352E+01
