MeasResult
PNOISE:LPL
A.19.05,N9000B
503 EP4 P03 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,True
Cancellation,False
Carrier Frequency,174043309.238646
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,0,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,0,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,10000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6,MeasResult7,MeasResult8
-49.63,601,100,100,9.91E+37,100,0,
174043309.238646,601,-28.72,-29.72,,-28.72,,
57.0026985508232,0,100.7705,100.7705,,-29.72,,
0.994884772233666,,-30.98,-29.81,,9.91E+37,,
4035.57270976287,,101.5469,101.5469,,1000,,
-29.72,,-31.29,-30,,-38.93,,
-50.28,,102.3293,102.3293,,-39.1,,
,,-29.32,-30.02,,9.91E+37,,
,,103.1177,103.1177,,10000,,
,,-29.29,-30.11,,-49.69,,
,,103.9122,103.9122,,-50.28,,
,,-29.87,-30.11,,9.91E+37,,
,,104.7129,104.7129,,,,
,,-30.7,-30.08,,,,
,,105.5196,105.5196,,,,
,,-30.84,-30.06,,,,
,,106.3327,106.3327,,,,
,,-27.75,-30.03,,,,
,,107.1519,107.1519,,,,
,,-32.27,-30.02,,,,
,,107.9775,107.9775,,,,
,,-30.52,-30.03,,,,
,,108.8095,108.8095,,,,
,,-31.02,-30.04,,,,
,,109.6478,109.6478,,,,
,,-30.77,-30.1,,,,
,,110.4926,110.4926,,,,
,,-29.15,-30.08,,,,
,,111.344,111.344,,,,
,,-30.98,-30.01,,,,
,,112.2018,112.2018,,,,
,,-28.35,-30.04,,,,
,,113.0663,113.0663,,,,
,,-29.48,-30.07,,,,
,,113.9375,113.9375,,,,
,,-28.71,-30.11,,,,
,,114.8154,114.8154,,,,
,,-30.15,-30.11,,,,
,,115.7,115.7,,,,
,,-29.44,-30.13,,,,
,,116.5914,116.5914,,,,
,,-30.22,-30.24,,,,
,,117.4898,117.4898,,,,
,,-30.65,-30.2,,,,
,,118.395,118.395,,,,
,,-30.33,-30.21,,,,
,,119.3072,119.3072,,,,
,,-30.31,-30.23,,,,
,,120.2264,120.2264,,,,
,,-30.34,-30.19,,,,
,,121.1528,121.1528,,,,
,,-29.68,-30.2,,,,
,,122.0862,122.0862,,,,
,,-27.08,-30.07,,,,
,,123.0269,123.0269,,,,
,,-28.73,-30.18,,,,
,,123.9748,123.9748,,,,
,,-30.76,-30.29,,,,
,,124.93,124.93,,,,
,,-30.61,-30.47,,,,
,,125.8925,125.8925,,,,
,,-31.22,-30.46,,,,
,,126.8625,126.8625,,,,
,,-30.46,-30.5,,,,
,,127.84,127.84,,,,
,,-31.23,-30.5,,,,
,,128.825,128.825,,,,
,,-30.7,-30.5,,,,
,,129.8175,129.8175,,,,
,,-31.66,-30.49,,,,
,,130.8177,130.8177,,,,
,,-29.77,-30.53,,,,
,,131.8257,131.8257,,,,
,,-29.37,-30.51,,,,
,,132.8414,132.8414,,,,
,,-28.05,-30.53,,,,
,,133.8649,133.8649,,,,
,,-30.92,-30.54,,,,
,,134.8963,134.8963,,,,
,,-31.92,-30.66,,,,
,,135.9356,135.9356,,,,
,,-32.79,-30.7,,,,
,,136.983,136.983,,,,
,,-29.98,-30.74,,,,
,,138.0384,138.0384,,,,
,,-30.24,-30.8,,,,
,,139.102,139.102,,,,
,,-30.4,-30.87,,,,
,,140.1737,140.1737,,,,
,,-30.69,-30.93,,,,
,,141.2538,141.2538,,,,
,,-30,-31.08,,,,
,,142.3421,142.3421,,,,
,,-31.26,-31.18,,,,
,,143.4388,143.4388,,,,
,,-29.84,-31.2,,,,
,,144.544,144.544,,,,
,,-30.16,-31.34,,,,
,,145.6577,145.6577,,,,
,,-30.34,-31.62,,,,
,,146.7799,146.7799,,,,
,,-32.89,-31.71,,,,
,,147.9108,147.9108,,,,
,,-31.53,-31.72,,,,
,,149.0505,149.0505,,,,
,,-31.63,-31.67,,,,
,,150.1989,150.1989,,,,
,,-32.44,-31.83,,,,
,,151.3561,151.3561,,,,
,,-32.19,-31.99,,,,
,,152.5223,152.5223,,,,
,,-32.67,-32.13,,,,
,,153.6975,153.6975,,,,
,,-33.99,-32.19,,,,
