MeasResult
PNOISE:LPL
A.14.04,N9030A
550 DP2 EDP EP1 EXM FS1 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,System.Object[],System.Object[],System.Object[]
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,100000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,System.Object[],System.Object[]
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
-17.98,601,100,100,9.91E+37,100
12126190628.2229,601,-34.07,-34.02,,-34.07
32.4150756435108,0,101.1579,101.1579,,-34.02
0.565749797262283,,-34.68,-34.06,,9.91E+37
364.726895030157,,102.3293,102.3293,,1000
-34.02,,-37.31,-34.52,,-37.85
-115.4,,103.5142,103.5142,,-48.4
,,-29.03,-34.67,,9.91E+37
,,104.7129,104.7129,,10000
,,-35.21,-34.62,,-97.93
,,105.9254,105.9254,,-98.69
,,-34.74,-34.78,,9.91E+37
,,107.1519,107.1519,,100000
,,-33.32,-34.96,,-115.23
,,108.3927,108.3927,,-115.4
,,-37.09,-35.14,,9.91E+37
,,109.6478,109.6478,,
,,-37.13,-35.26,,
,,110.9175,110.9175,,
,,-37.24,-35.31,,
,,112.2018,112.2018,,
,,-35.92,-35.26,,
,,113.5011,113.5011,,
,,-33.31,-35.23,,
,,114.8154,114.8154,,
,,-37.36,-35.33,,
,,116.1449,116.1449,,
,,-32.21,-35.4,,
,,117.4898,117.4898,,
,,-33.48,-35.27,,
,,118.8502,118.8502,,
,,-40.81,-35.53,,
,,120.2264,120.2264,,
,,-38.52,-35.55,,
,,121.6186,121.6186,,
,,-35.25,-35.68,,
,,123.0269,123.0269,,
,,-37.94,-35.76,,
,,124.4515,124.4515,,
,,-34.95,-35.73,,
,,125.8925,125.8925,,
,,-34.25,-35.67,,
,,127.3503,127.3503,,
,,-32.56,-35.49,,
,,128.825,128.825,,
,,-33.85,-35.57,,
,,130.3167,130.3167,,
,,-36.54,-35.56,,
,,131.8257,131.8257,,
,,-36.28,-35.34,,
