# Frequency; PSD [dBc/Hz]
1.22070312e-01;3.63302994e+01
1.83105469e-01;2.36876278e+01
2.44140625e-01;1.94781628e+01
3.05175781e-01;1.78010006e+01
3.66210938e-01;1.61339569e+01
4.27246094e-01;1.48661852e+01
4.88281250e-01;1.37466288e+01
5.49316406e-01;1.20175314e+01
6.10351562e-01;1.25663176e+01
6.71386719e-01;1.15443869e+01
7.32421875e-01;1.06053524e+01
7.93457031e-01;9.72673416e+00
8.54492188e-01;9.11089325e+00
9.15527344e-01;8.48392868e+00
9.76562500e-01;7.71199369e+00
1.03759766e+00;7.08755827e+00
1.09863281e+00;6.64688396e+00
1.15966797e+00;6.14824009e+00
1.22070312e+00;5.48412991e+00
1.28173828e+00;4.91914606e+00
1.34277344e+00;4.46249914e+00
1.40380859e+00;3.86716533e+00
1.46484375e+00;3.29960132e+00
1.52587891e+00;2.96458268e+00
1.58691406e+00;2.60289812e+00
1.64794922e+00;2.11574554e+00
1.70898438e+00;1.66590691e+00
1.77001953e+00;1.45763290e+00
1.83105469e+00;1.18630791e+00
1.89208984e+00;7.37065315e-01
1.95312500e+00;4.64888066e-01
2.01416016e+00;2.84475565e-01
2.07519531e+00;-4.91458513e-02
2.13623047e+00;-3.76229048e-01
2.19726562e+00;-6.00544035e-01
2.25830078e+00;-7.67797053e-01
2.31933594e+00;-1.11511588e+00
2.38037109e+00;-1.53318644e+00
2.44140625e+00;-1.80029058e+00
2.50244141e+00;-2.16636753e+00
2.56347656e+00;-2.67771482e+00
2.62451172e+00;-3.20485115e+00
2.68554688e+00;-3.62225175e+00
2.74658203e+00;-4.01955462e+00
2.80761719e+00;-4.59048319e+00
2.86865234e+00;-5.09119606e+00
2.92968750e+00;-5.41550970e+00
2.99072266e+00;-5.83703613e+00
3.05175781e+00;-6.30781174e+00
3.11279297e+00;-6.70654440e+00
3.17382812e+00;-7.02604580e+00
3.23486328e+00;-7.48338699e+00
3.29589844e+00;-8.01376915e+00
3.35693359e+00;-8.27282524e+00
